Study_Title,Demographic_Count,Economic_Count,Environmental_Count,Distance_Count,Temporal_Count,Uncategorized_Count,Total_Variables
"Right place, right time? Making crime pattern theory time-specific",0,0,1,2,3,12,18
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,3,0,1,5,0,10,19
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,6,1,0,4,1,5,17
Spatial analysis with preference specification of latent decision makers for criminal event prediction,0,0,1,3,1,3,8
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,4,0,0,4,1,15,24
Target Selection Models with Preference Variation Between Offenders,1,0,2,4,0,4,11
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,3,0,0,3,0,10,16
The Importance of Importance Sampling,0,0,0,0,2,9,11
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,5,0,2,3,2,3,15
The usefulness of past crime data as an attractiveness index for residential burglars,0,1,5,2,0,5,13
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,3,0,3,3,0,11,20
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,4,0,1,4,2,13,24
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,5,1,0,2,1,21,30
