"Title","Data_Collection_Period","Study_Period","Country","City_Region","Study_Area_Size_km2","Elicit_Study_Area_km2","Total_Units_Region","Average_Unit_Size_km2","Area_Calculation_Method","Area_Source","Population_per_Unit_Numeric","Crime_Type","Sample_Size_Numeric","Number_of_Crimes_Numeric","Number_of_Offenders_Numeric","Rationale_Category","Study_Design","Discrete_Choice_Model","Estimation_Method","Model_Comparison_Status","Sample_Size_Effects_Status","Robustness_Checks_Status","Scale_Recommendations_Status","Scale_Limitations_Status","Cross_Scale_Comparisons_Status","Quoted_Rationale","Justification_Summary","Sampling_Approach","Choice_Set_Definition","Alternative_Selection","Significant_Predictors","Effect_Directions","Data_Sources","Data_Availability","Data_Quality_Issues","Missing_Data_Issues","Data_Source_Limitations","Measurement_Issues","Temporal_Limitations","Generalizability","Context_Specificity","Comparative_Limitations","Spatial_Scale_Recommendations","Data_Collection_Suggestions","Methodological_Improvements","Demographic_Variables","Demographic_Count","Economic_Variables","Economic_Count","Environmental_Variables","Environmental_Count","Distance_Variables","Distance_Count","Temporal_Variables","Temporal_Count","Total_Variables"
"Burglar Target Selection: Netherlands Study (The Hague)",NA,NA,"Netherlands","The Hague",NA,NA,NA,NA,NA,NA,NA,"Burglary",NA,276,NA,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Netherlands context - Neighborhoods)""","Spatial units chosen based on equivalence in size of burglar population and number of targets for Netherlands context, likely due to data availability and administrative convenience.","Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.","Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.","Based on geographical characteristics and presence of targets.","Proximity to home, proportion of single-family dwellings, number of households.","Positive for all significant predictors.","Municipal Agency for Urban Development (The Hague, Netherlands)","Limited by inconsistency in measuring residential real estate value across regions","Relies solely on cleared offense data, which may not accurately represent all criminal activity.","Indicator of ethnic heterogeneity unavailable for UK and Australia.","Police-recorded crime data may have nonprobabilistic sampling issues.","Assumption that crime trips originate from an offender's residence may not always be accurate.",NA,"Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.","Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.","Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.","Use consolidated models for statistical comparisons across different environments.","Use administrative and census data to estimate the consolidated model.","Relax assumptions in the conditional logit model and use more complex models.",NA,0,"1. Residential Real Estate Value | Number",1,"1. Residential Mobility | Number; 2. Residential mobility | Percentage",2,"1. Proximity | Distance; 2. Proximity to City Center | Distance",2,NA,0,14
"Burglar Target Selection: United Kingdom Study (Birmingham)",NA,NA,"United Kingdom","Birmingham",NA,NA,NA,NA,NA,NA,NA,"Burglary",NA,276,NA,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (UK context - Super Output Areas)""","Spatial units chosen based on equivalence in size of burglar population and number of targets for UK context, likely due to data availability and administrative convenience.","Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.","Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.","Based on geographical characteristics and presence of targets.","Proximity to home, proportion of single-family dwellings, number of households.","Positive for all significant predictors.","ONS (United Kingdom)","Limited by inconsistency in measuring residential real estate value across regions","Relies solely on cleared offense data, which may not accurately represent all criminal activity.","Indicator of ethnic heterogeneity unavailable for UK and Australia.","Police-recorded crime data may have nonprobabilistic sampling issues.","Assumption that crime trips originate from an offender's residence may not always be accurate.",NA,"Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.","Findings specific to Birmingham, UK context due to differences in target densities and Super Output Area characteristics.","Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.","Use consolidated models for statistical comparisons across different environments.","Use administrative and census data to estimate the consolidated model.","Relax assumptions in the conditional logit model and use more complex models.",NA,0,"1. Residential Real Estate Value | Number",1,"1. Residential Mobility | Number; 2. Residential mobility | Percentage",2,"1. Proximity | Distance; 2. Proximity to City Center | Distance",2,NA,0,14
"Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China","2012-2016","2012-2016","China","Zg City",2.74,NA,NA,NA,NA,NA,NA,"Burglary",3860,3860,3772,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""","Communities were chosen due to their homogeneous population and consistency with other studies.","The study used data on 3860 residential burglaries committed by 3772 burglars, focusing on arrested offenders only.","Choice sets were constructed by considering physical barriers between the centroid of a burglar's residential community and potential target communities.","Alternatives were selected based on physical barriers between origin and destination.","Distance from home, physical barriers (rivers and major roads), social barriers (local vs. nonlocal communities).","Physical barriers decrease targeting likelihood; being closer to home increases targeting likelihood.","The Municipal Public Security Bureau of ZG city; census data from 2010","Limited to arrested burglars; data from non-arrested burglars not included","Limited to arrested burglars, which may not represent all burglars.","Lack of direct income level data; substituted with indirect measures.","Temporal mismatch between census data (2010) and burglary data (2012-2016).",NA,"Temporal mismatch affects social barrier and control variables.","The findings are specific to arrested burglars in ZG city and may not generalize to all burglars in the city or to other contexts.","The study's findings are specific to the Chinese context, particularly the distinction between local residents and domestic migrant workers.","The study uses census data from 2010 for analysis of data from 2012 to 2016, introducing a temporal mismatch that limits comparisons across time periods.","Consider the impact of physical and social barriers at various scales.","Include more direct measures of wealth and address temporal mismatches in data collection.","Improve analytical approaches by including non-arrested burglars and addressing data limitations.","1. Proportion of local residents with ZG city Hukou status | Percentage; 2. Community categorization by majority population type (local, domestic migrant, mixed) | Binary",2,"1. Average rent price | Number; 2. Rent categories (no rent, low, medium, high) | Binary",2,"1. Physical Barriers | Number; 2. Building Type | Percentage",2,"1. Distance Measure | Distance; 2. Accessibility Measure | Distance; 3. Distance | Distance",3,NA,0,19
"CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?","2006-2009","2006-2009","Netherlands","The Hague (Greater Area)",2.96,NA,NA,NA,NA,NA,7000,"Burglary",2926,6283,4654,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b), it is plausible that those living in or frequently visiting such an area will be familiar with it.""","Chosen due to design for minimal travel restrictions, making them practical and convenient for analysis.","Started with a sample of 10,000 offenders from previous reports and excluded those not meeting specific criteria.","142 four-digit postal code areas of the greater The Hague region.","Geographical set of postal code areas.","Current home location, previous home locations, previous crime locations.","Areas known to multiple offenders are more likely to be targeted.","Police information system of the greater The Hague Police Service; population registration data (BRP); LISA database; Statistics Netherlands","Data not specifically sampled for co-offending; only police arrest data on cleared offences used; potential issues with incomplete data on offender groups","Police arrest data may over-represent co-offending; data biased due to differences between arrested and non-arrested offenders.","Lack of data on non-arrested offenders; potential overestimation of shared awareness space.","Reliance on police arrest data; only includes cleared offenses.","Awareness space measured using only home and crime locations; misses other areas like work or school.","Study limited to crimes between 2006 and 2009.","Limited to the greater The Hague region, which restricts generalizability to other areas.","Findings are specific to the greater The Hague region and may not apply elsewhere.","No direct comparisons across different contexts or time periods.","Study larger areas to generalize findings.","Interview offenders to gather more detailed information about their awareness spaces and co-offending networks.","Use more detailed spatial units or incorporate additional data sources.","1. Total number of residents | Number; 2. Number of residents with a non-Western ethnic background | Number; 3. Population density | Number",3,NA,0,NA,0,NA,0,"1. Previous Home Location | Percentage; 2. Previous Crime Location | Number; 3. Previous Crime Location | Binary",3,20
"Co-offending and the Choice of Target Areas in Burglary","1996-2004","1996-2004","Netherlands","The Hague",89,NA,NA,NA,NA,NA,4952,"Burglary",1174,1174,750,"Not specified","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified",NA,"The use of residential neighborhoods as spatial units is likely due to data availability and administrative convenience, although not explicitly justified in the paper.","Comprehensive sampling of detected residential burglaries in The Hague from 1996 to 2004.","Neighborhoods as potential target areas based on distance from offender's home.","Based on distance and neighborhood characteristics like physical accessibility and social disorganization.","Physical accessibility, proximity to the home neighbourhood.","Increase choice probability.","Police force that services the greater The Hague area","Limited by a low detection rate of 7%","Low detection rate (7%) could bias results if related to location choice criteria.","Potential incompleteness of police data on number of offenders involved.","Reliance on police data with low detection rate and potential incompleteness.","Potential underestimation of co-offenders due to incomplete data.","Study covers 1996-2004, but no specific temporal issues mentioned.","Findings may not be generalizable to other cities or contexts.","Findings are specific to The Hague and may not apply to other cities or regions.","The study does not provide a basis for comparison across different cities or contexts.","Focus on neighborhood-level analysis.","Improve data on co-offending dynamics and non-arrested accomplices.","Address low detection rates and their impact.","1. Ethnic Heterogeneity | Percentage; 2. Number of Residents | Number",2,"1. Mean Income per Resident | Number",1,"1. Residential Mobility | Percentage; 2. Average Value of Residential Properties | Percentage",2,"1. [Social_Accessibility | Distance; 2. Home-to-crime distance | Distance; 3. Distance to city centre | Distance; 4. Physical accessibility | Percentage",4,NA,0,16
"Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices","Wednesday, December 28, 2016 (for mobile phone data)","2014-2016","China","Zg City",3000,NA,NA,NA,NA,NA,5956,"Theft",3436,3436,12670,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""because census units have a size similar to those in comparable studies, because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""","Census units were chosen for their similarity in size to previous studies, equal size, and homogeneity in population composition, aligning with theoretical and methodological considerations.","Census units were used as spatial units; initially 1891 units, but 275 were excluded due to limited mobility data, leaving 1616 units.","1616 census units as alternatives.","Based on crime generators and mobility flows.","Distance, mobility flows, subway stations, cinemas, hospitals, proportion of non-locals.","Stronger mobility flows increase targeting probability; distance remains significant despite reduced effect.","Crime data from police authorities of ZG City; Mobile phone location data from a major mobile phone service provider in China","Limited by exclusion of cases due to lack of geographic detail; Only 4G users' data from one mobile phone network provider","Exclusion of cases due to lack of geographic detail.","Exclusion of February data due to Chinese Spring Festival.","Use of data from only one mobile phone network provider.","Exclusion of co-offending groups.","Analysis only on weekdays; ignoring temporal variation.","The findings might be applicable to other countries, but this is tentative and requires further research.","The study is conducted in a specific Chinese context, which might not be directly comparable to other settings.","The study is limited to theft from the person and does not explore other types of crimes.","Not explicitly mentioned.","Use cell phone data to measure population mobility and potentially incorporate time use data.","Incorporate temporal variation and additional data types to improve analytical approaches.","1. Population size | Number; 2. Mean population | Number",2,NA,0,NA,0,"1. Median Distance | Distance; 2. Average Crime Trip Distance | Distance; 3. Euclidean Distance | Distance; 4. Euclidean distances between census units | Distance",4,NA,0,26
"Discrete choice analysis of spatial attack sites",NA,"1997","United States","Richmond, Virginia",NA,NA,NA,NA,NA,NA,NA,"Breaking And Entering",425,637,NA,"Practical Constraint","Cross-sectional","Multinomial Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The resolution of the grid used must be fine enough to capture the variance of spatial features.""","Practical consideration for capturing spatial feature variance","All reported breaking and entering crimes in Richmond, VA, for the year 1997, with a focus on the third quarter.","Grid over Richmond with 4,895 centroids as alternatives.","Crimes mapped to nearest grid cell centroid.","Proximity measures (u30), density measurements (u66).","Proximity (u30) is attractive (negative coefficient), density (u66) is positively associated with selection likelihood.","Richmond City Records Management Center; publicly available GIS layers; census information",NA,"Potential for multicollinearity among features.","Limited dataset to residential breaking and entering crimes in the third quarter of 1997.","Limited to City of Richmond, VA, for the year 1997.","Use of grid system and aggregated demographic variables.","Limited to third quarter of 1997.","Limited to urban crime dataset; may not generalize to other contexts.","Findings specific to breaking and entering crimes in Richmond, VA, 1997.","No direct comparison across contexts or time periods.","Not mentioned.","Not mentioned.","Refine spatial hierarchy models to reduce complexity while maintaining interpretability.","1. Demographic Profile Variables | Number",1,NA,0,"1. u66 | Density",1,"1. u30 | Distance; 2. u 26 | Distance; 3. u 27 | Distance; 4. u 30 | Distance",4,NA,0,6
"Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice","October 2019 (for mobility flows)","2017-2018","China","Zg (City In Southeast China)",0.958,NA,NA,NA,NA,NA,5957,"Burglary",1972,1972,NA,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""These communities with relatively high resident homogeneity are comparable to prior studies in terms of geographic and population sizes.""","The communities were chosen due to their role as the smallest administrative units for data collection and their comparability to prior studies.","Focus on central urban area with available street view images","Conditional logit model evaluating utility of target neighborhoods based on attributes","Based on characteristics of residential and target neighborhoods","Physical disorder, distance from home, population size, presence of newer buildings, transportation facilities like subway stations.","Physical disorder in non-disadvantaged neighborhoods increases likelihood for disadvantaged burglars, decreases it for non-disadvantaged burglars. Distance from home reduces likelihood more for non-disadvantaged burglars. Population size increases likelihood for both groups. Newer buildings and subway stations increase risk.","Police arrest records; Mobile phone mobility data; Point of interest data; Community-level socio-demographic data; Street view images from Baidu Map",NA,"Lack of consideration of other neighborhood structural conditions such as social cohesion, ecological networks, and collective efficacy.","Difficulty in obtaining the history of criminals' activity space locations.",NA,"Use of log(mobility flow+1) and reliance on robust standard errors for confidence intervals.","Not explicitly mentioned.","The study is conducted in a specific city in China, which may not be representative of other urban or rural areas. The findings might not generalize to different cultural or socioeconomic contexts.","The study is specific to the city of ZG in southeast China, and the findings may be influenced by local factors such as urban planning, policing strategies, and cultural norms.","The study does not provide a direct comparison with other cities or countries, which limits the ability to generalize findings across different contexts.","Not explicitly mentioned.","Not explicitly mentioned.","Not explicitly mentioned.","1. Population (log) | Number; 2. Population size | Number",2,NA,0,"1. Proportion of high-rise residential buildings | Percentage; 2. Physical Disorder | Number",2,"1. Subway Stations | Distance; 2. Bus Stops | Distance; 3. Distance from home | Distance",3,NA,0,17
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","2012-2016","2012-2016","China","Zg City",1971,NA,NA,NA,NA,NA,NA,"Robbery",7860,7860,4358,"Not specified","Cross-sectional","Conditional Logit",NA,"Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not specified","Neighborhood units used as spatial scale, but specific reasons not detailed.","Spatial sampling using neighborhood units in ZG city, China.","Each robbery geocoded into one of 1971 neighborhood units.","Neighborhoods where robberies occurred serve as alternatives.","Cybercafés, transportation hubs, schools, distance of journey to crime.","Cybercafés increase choice probability for juvenile and young adult robbers; transportation hubs increase it for young adult and adult robbers; schools have a positive effect on all age groups with a marginal age decay effect; distance of journey to crime decreases choice probability.","ZG City Public Security Bureau","Confidential","Confidentiality of data may limit verification or sharing.","Additional attributes of offenders (e.g., household registration, socioeconomic status) are not included.","Confidential data may restrict access or sharing.","Odds ratios in models are not as high as desired.",NA,"Limited to a large Chinese city; may not generalize to other contexts or countries.","Findings are specific to the Chinese context, particularly in terms of social disorganization and routine activity nodes.","Focus on street robbery in a specific Chinese context; not directly comparable to other crime types or contexts.",NA,NA,"Include additional attributes of offenders in future studies.","1. Age groups (juvenile, young adult, adult) | Percentage",1,NA,0,NA,0,"1. Distance of Journey to Crime | Distance",1,NA,0,16
"Do Migrant and Native Robbers Target Different Places?","2010-2016","2012-2016","China","Zg City",1971,NA,NA,NA,NA,NA,NA,"Robbery",4358,7860,7124,"Not specified","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified",NA,"The spatial units are neighborhoods, likely chosen due to data availability and administrative convenience.","Arrest data from 2012 to 2016, focusing on street robbers within ZG City.","Neighborhood characteristics data including POI, traffic road network, and mobile phone data.","Based on domicile attributes and household registration attributes.","Wholesale markets, sports stadiums, transportation hubs, subway stations.","Wholesale markets increase choice probability for migrant robbers; sports stadiums decrease choice probability for migrant robbers; transportation hubs and subway stations increase choice probability for migrant robbers.","Arrest data from ZG City's Public Security Department; POI data from Daodaotong Map; Traffic road network vector map data from Daodaotong Map; Bus stop data from Baidu API; Mobile phone data (source not disclosed); Social and economic data from the National Bureau of Statistics of China","Limited due to agreement restrictions on crime data and mobile phone data","Exclusion of data due to residence outside the study area or unknown residence.","Unavailability of data on family disruption and poverty.","Use of 'pinyin' codes for place names due to confidentiality agreements.","Potential oversimplification in measuring journey to crime distances.","Data limited to 2012-2016.","The study is specific to ZG City and may not be representative of other cities or countries.","Findings are specific to the context of ZG City and the Hukou system.","The study does not provide comparisons across different cities or regions.","Not explicitly mentioned.","Improve data collection to address underreporting issues.","Not explicitly mentioned.","1. Gender | Binary; 2. Ethnicity | Binary; 3. Ambient population | Number",3,NA,0,"1. Density of road network | Density",1,"1. Distance of Journey to Crime | Distance; 2. Distance of journey to crime | Distance",2,NA,0,29
"Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago","1996-1998","1996-1998","United States","Chicago",483.62,NA,NA,NA,NA,NA,NA,"Robbery",11999,12938,NA,"Prior Research","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated","Census blocks are used due to their appropriateness for detailed spatial analysis and data availability","Sampling of alternatives technique","Chosen census block plus a random sample of other census blocks","Random sampling of census blocks","Cash economies, illegal markets, accessibility, restaurants and fast-food outlets, liquor stores.","Generally positive, increasing the likelihood of robbery.","Chicago Police Department; U.S. Census; marketing research firm",NA,"The data did not allow for the identification of offenders across multiple robberies.","The data excluded robberies committed by non-residents and those on expressways or college campuses.","The business data lacked information on opening and closing hours.","Time was used as a proxy for physical presence and business hours.","The study did not measure actual business hours or human presence.","Findings may not be generalizable to other cities or contexts.","Findings are specific to Chicago's context.","Focus on Chicago limits comparisons with other studies or contexts.","The study suggests using fine-grained spatial units like census blocks.","Utilize new technologies for data collection on human presence.","Conduct sensitivity analyses for temporal bandwidth.","1. Gender | Percentage; 2. Racial and Ethnic Background | Percentage; 3. Age | Number; 4. Total Population | Number; 5. Racial and Ethnic Composition | Percentage; 6. Ethnic Diversity | Binary; 7. Block population | Number; 8. Racial/ethnic composition | Binary",8,NA,0,"1. Business density | Binary; 2. Non-residential census blocks | Number",2,"1. Accessibility | Binary; 2. Distance between offender homes and robbery locations within census block | Distance; 3. Euclidean distances between offender homes and census block midpoints | Distance; 4. Accessibility: Block on main street | Binary; 5. Accessibility: Block with El station | Binary; 6. Home-crime distance distribution | Distance; 7. Negative log of distance | Distance; 8. Distance from Home | Distance",8,"1. Time of Day | Number; 2. Day of Week | Number",2,36
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","1996-2001","1996-2001","Netherlands","The Hague",0.65,NA,NA,NA,NA,NA,4950,"Burglary",89,26000,NA,"Data Availability","Cross-sectional",NA,NA,"Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated, but implied by data source","Neighborhoods were used as spatial units because they are the administrative divisions for which data was readily available from the municipality of The Hague","Data from police records and focus on neighborhoods within The Hague.","Spatially weighted measure of proximity to potential burglars and their homes.","Not explicitly mentioned.","Proximity to burglars' homes, proximity to the CBD, lack of territoriality, and affluence.","These variables increase the likelihood of burglary in neighborhoods.","Statistical publication of the municipality of The Hague (DSO, 2001); Police records from the police force of Haaglanden; Real estate tax administration data","Limited by a residential burglary clearance rate of about 6 percent","SWEBER measure does not link offenders' homes to crime locations; low clearance rate might make apprehended burglars unrepresentative.","No mobility data available for 2000 and 2001.","Police-recorded data limited by low clearance rate.","Operationalization of ethnic heterogeneity and residential mobility.","Data from 1996 to 2001; might not capture changes outside this period.","The study's findings are based on data from a single city, which may not generalize to other urban environments or contexts.","The study's findings are specific to The Hague, Netherlands, and may not apply to other cities with different demographic, economic, or spatial characteristics.","The study is limited to a specific time period and location, making it difficult to compare findings across different contexts or time periods.","Use spatially weighted measures for optimal spatial units.","Collect data on accessibility and spatial dynamics.","Use spatially weighted measures for better analysis.","1. Ethnic Heterogeneity | Number",1,"1. Average real estate value of residential units | Percentage; 2. Real Estate Value | Percentage",2,"1. Residential units' visible cues | Number; 2. Residential Mobility | Rate",2,"1. Journey-to-crime | Distance; 2. Distance decay pattern | Rate; 3. Proximity to CBD | Distance; 4. Concentric zone model | Distance; 5. Proximity to Central Business District | Distance",5,NA,0,19
"Effects of residential history on commercial robbers' crime location choices","2004","2004-2005","Netherlands","Nationwide",4006,NA,NA,NA,NA,NA,4900,"Robbery",276,4657,NA,"Theory-Method","Cross-sectional","Conditional Logit",NA,"Not Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""","Postal code areas are chosen because they represent familiar areas for residents, consistent with crime pattern theory.","Selected all commercial robberies in 2004 and 2005, then filtered for solitary offenders with available residential histories.","Compared targeted postal code areas with alternative areas not targeted by offenders.","Postal code areas not targeted by offenders were used as alternatives.","Duration of residence in current and former areas, recency of residence in former areas.","Longer durations and more recent residences increase choice probability.","National Commercial Robbery Registration System (LORS); Nationwide Citizen Information System (GBA); Database containing demographic, social, and economic information on postal code areas","Limited by reliability of residential addresses in GBA system","Inaccuracies in residential addresses in the GBA system; data unreliability masking real effects.","Limited sample size.","GBA system inaccuracies in reflecting current residences.","Approximation of 'awareness space' by residential experience.","Focus on 2004 and 2005.","Findings may not generalize to other types of crimes or geographical contexts.","Findings are specific to commercial robberies in the Netherlands.","No direct comparisons across different contexts or time periods.","Explore other spatial scales or units for analysis.","Consider direct measurements of awareness space by contacting offenders for their recollections of past spatial behavior.","Improve the reliability of residential histories by assessing their accuracy through offender accounts.","1. Population density | Distance; 2. Population size | Number; 3. Population percentages of 15-25-year-old | Percentage; 4. Foreign-born residents | Percentage; 5. Single residents | Percentage; 6. Population percentages of 15-25-year-old, foreign-born, and single residents | Percentage",6,NA,0,"1. Mean value of residential property | Number",1,"1. Distance to the nearest highway ramp | Distance; 2. Distance between current residence and crime location | Distance; 3. Distance decay | Percentage",3,NA,0,12
"Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices","2009-2018","2009-2018","New Zealand","Not Specified",1.2,NA,NA,NA,NA,NA,2000,"Burglary",NA,17054,NA,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Consistent with previous studies (e.g., Clare et al., 2009; Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""","SA2s were chosen for consistency with previous studies and to balance spatial spill-over and heterogeneity considerations.","Stratified importance sampling","Neighborhoods (SA2s) as alternatives","Chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s","Presence of H f H s nodes.","H f H s nodes increase choice probability.","New Zealand Police National Intelligence Application (NIA); NZ Statistics Census and Business Demography data",NA,"Data does not capture all pre-offense activity locations; imprecision in filling missing data; overestimation of frequency for certain activity locations.","Not all pre-offense activity locations captured; missing data required imputation.","Police administrative data may not capture all relevant activity locations.","Reliability and relevance measures are proxies; frequency overestimation for certain activity locations.","Not mentioned.","Findings likely generalize beyond included crimes, but further research is needed; the study supports generalizability across contexts.","Findings are based on New Zealand data, which may have unique characteristics; further testing is needed for other contexts.","The study does not compare across different contexts or time periods; future research should explore these aspects.","Not mentioned.","Future research should consider using time-use surveys and in-depth interviews for more detailed data.","The study suggests using complementary methods to improve data completeness and detail.","1. Gender | Percentage; 2. Age | Number",2,NA,0,NA,0,"1. Distance decay | Percentage; 2. Distance Bands | Distance",2,NA,0,10
"FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *","2006-2009","2006-2009","Netherlands","The Hague (Greater Area)",2.96,NA,NA,NA,NA,NA,7000,"Not Specified",19420,19420,7910,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""","The spatial units were chosen because they are familiar to residents and visitors, aligning with the study's focus on awareness spaces.","Data from the police information system was used to sample offenders and their offenses.","Four-digit postal code areas in the greater The Hague area, totaling 142 alternative areas.","Alternatives were selected based on the four-digit postal code areas.","Current and former residential areas of family members.","Current familial residential areas increase the probability of being targeted more than former familial residential areas.","Police information system; Population registration data (BRP); LISA data; Census-like statistics from Statistics Netherlands",NA,"Indirect measurement of awareness spaces based on family visits.","No direct data on offenders' time spent in family members' areas.","Reliance on register data without direct activity measures.","Awareness spaces not directly measured.","No consideration of changes in awareness spaces over time.","Findings may not generalize to other geographical areas or populations due to the specific urban context.","Findings are specific to the urban context of The Hague.","The study does not allow for comparisons across different crime types or contexts.","Research should be conducted in larger geographical areas.","Direct measurement of awareness spaces is recommended.","Future studies should improve data collection by directly measuring awareness spaces.","1. Population density | Number; 2. Proportion of residents with a non-Western background | Percentage; 3. Average population size | Number; 4. Ethnic diversity | Number; 5. Population Density | Distance; 6. Proportion of Residents with a Non-Western Background | Percentage",6,NA,0,NA,0,"1. Euclidean Distance | Distance; 2. Distance | Distance",2,"1. Previous Crime Location | Binary",1,28
"Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices","2001-2002","2001-2002","Australia","Perth",6.76,NA,NA,NA,NA,NA,4669,"Burglary",1761,1761,1761,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated, but implied due to administrative convenience and data availability","Suburbs were chosen due to their alignment with administrative units and available data in Western Australia","Data from Western Australian Police on residential burglary incidents.","291 residential suburbs selected as potential targets.","Suburbs included as part of the choice set for each offender.","Physical barriers (rivers and major roads), connectors (train lines), distance, and age.","Barriers decrease choice probability; connectors increase it. Distance decreases choice probability, with a greater effect for juveniles.","Western Australian Police; Australian Bureau of Statistics (ABS)","Limited by low identification rate of offenders; only 49.7% of identified cases were included in the final dataset","Low detection rate may have influenced outcomes in a nonrandom way.","Unique identification of offenders was not possible.","Exclusion of suburbs outside Perth metropolitan area.","Model may not fully account for unconscious routine behaviors.",NA,"Exclusion of suburbs outside Perth metropolitan area limits generalizability.","Findings are specific to Perth, Western Australia.","Spatial scale selection may not be applicable across different cities.","Use more uniform areas for analysis.","Not mentioned.","Consider the role of unconscious routine in offender behavior.","1. Age | Number; 2. Sex | Binary; 3. Population Size | Number; 4. Population Density | Distance; 5. Ethnic Heterogeneity | Percentage; 6. Land Use - Population Density | Number",6,"1. Victim Suburb Weekly Income | Number; 2. Socio-Economic Index for Areas (SEIFA) | Index; 3. Median Weekly Income Bracket | Number",3,"1. Residential Mobility Rates | Rate; 2. Physical Barriers - Swan River | Binary; 3. Physical Barriers - Major Roads | Binary",3,"1. Total Residential Units | Distance; 2. Land Use - Suburb Size | Distance; 3. D ij | Distance",3,NA,0,23
