Study_ID,Title_of_the_study,Citation,Year,Size_of_the_unit,Unit,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_unit_size,DOI,ISSN,Journal,Volume,Issue,Data_Collection_Period,Study_Period,Country,City_Region,Crime_Type,Crime_Type_Standardized,Rationale_Category,Study_Design,Discrete_Choice_Model,Estimation_Method,Quoted_Rationale,Justification_Summary,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Significant_Predictors,Effect_Directions,Data_Sources,Data_Availability,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
11,spatial analysis with preference specification of latent decision makers for criminal event prediction,"(Xue & Brown, 2006)",2006,0.062,km2,Grid_cell,2517,~1200,"he paper does not report the spatial unit size directly but uses a regular grid of 2,517 cells to represent spatial alternatives in Richmond, VA. The average area per grid cell was estimated by dividing the total area of Richmond (155 km²) by the number of grid cells (2,517), resulting in an average of approximately 0.062 km² per grid cell.",https://doi.org/10.1016/j.dss.2004.06.007,NA,Decision Support Systems,41,3,1997-1997,1997-1997,United States,"Richmond, Va",Residential Breaking And Entering (B & E),Burglary,Data Availability,NA,Multinomial Logit,Maximum Likelihood,"""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""",Block groups were used due to their alignment with census data availability and their suitability for representing spatial alternatives within the study area.,Importance sampling technique,Aggregated into 2517 regular grids,Aggregated into grids and importance sampling,Feature values attached to spatial alternatives and specified preferences of decision makers.,Increase probability of correct location choice.,Regional Crime Analysis Program (ReCAP); criminal incident reporting mainframe system (RAMS); census data; calculated distance values,NA,Limited toolsets for analysis.,Characteristics of individuals and choice sets are not directly observed.,Attributes derived from census data and distance values may be correlated.,Large number of alternatives and attributes makes measurement challenging.,Focus on past data for prediction may imply temporal resolution issues.,"Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.",Limited comparison to hot spot methods; no comprehensive comparison across contexts or time periods.,The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.,Future research should improve data collection and analytical methods to better capture criminal decision-making processes.,The study suggests improving analytical approaches by refining the models and incorporating more detailed spatial data.,NA,0,P.CARE.PH; FAM.DENSITY,2,D.HIGHWAY; FAM.DENSITY; P.CARE.PH; D.HOSPITAL,4,D.HIGHWAY; D.HOSPITAL,2,Time; Location; Census Data; Distance Values,4,12
12,Modelling the spatial decision making of terrorists: The discrete choice approach,"(Marchment & Gill, 2019)",2019,0.15,km2,Small_areas,890,150,"The paper does not report the spatial unit size directly but uses Small Areas (SAs) as the spatial unit. The average area per SA in Belfast was estimated by dividing the total area of Belfast (132 km²) by the number of SAs (890), resulting in an average of approximately 0.15 km² per SA.",https://doi.org/10.1016/j.apgeog.2019.01.009,0143-6228,Applied geography,104,NA,1969-1989,1969-1989,Northern Ireland,Belfast,Terrorist Attacks By The Provisional Irish Republican Army (Pira),Other Specific Crimes,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""As no sociodemographic variables were included in the analysis, it was deemed that SAs would be appropriate to use""","SAs were chosen due to their suitability for statistical analysis and the lack of sociodemographic data, aligning with data availability and administrative convenience.",Retrospective sampling using existing datasets and newspaper archives.,"Constructed using 4537 ""small areas"" (SAs) in Belfast.",Based on geographical boundary data from NISRA.,"Distance from home, presence of major roads, presence of military bases or police stations.","Increased distance from home decreases choice probability; presence of major roads, military bases, or police stations increases choice probability.",Existing dataset from social network analysis of PIRA's active core members; The Irish Times newspaper archives; NISRA; Conflict and Politics in Northern Ireland web service (CAIN),Limited by inability to attribute some attacks to specific individuals; smaller sample size compared to other studies,Difficulties due to historical nature of records.,Unavailability of data on affluence levels and residential segregation.,Historical nature of records; unavailability of certain data.,Arbitrary areal unit boundaries; potential inaccuracy in characteristic data.,Retrospective nature limited data availability at small area level.,Limited to Belfast and PIRA members; replication needed in other cities and with different groups.,Findings specific to Belfast and PIRA context.,Restricted to one city and one terrorist group; difficult to compare across contexts or time periods.,Use smaller areal units to capture more detailed social context factors.,Gather more comprehensive data on terrorist activities and use mixed logit or latent class models for analysis.,Use spatiotemporal models and consider repeat victimization patterns.,Number of PIRA members; Residential segregation; Recognition as strangers,3,NA,0,Major Road; Police Station; Military Base; River,4,Home-to-crime distance; Distance to city center; Euclidean distance; Ghosh distance; Major thoroughfares; River as barrier,6,NA,0,13
13,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),"(Johnson & Summers, 2015)",2015,0.2,km2,Lower_Super_Output_Area,198,721,"This paper doesnot report the spatial unit size. The average area per LSOA was estimated by assuming similar population density to Bernasco & Nieuwbeerta (2005), where the average unit had 4,952 people and an area of 0.65 km². With an average LSOA population of 1,524, the estimated area per LSOA is approximately 0.20 km².",https://doi.org/10.1177/0011128714540276,0011-1287,Crime and Delinquency,61,3,2001-2005,2001-2005,United Kingdom,County Of Dorset,Theft,Theft,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"Not explicitly quoted, but implied due to data availability and administrative convenience","LSOAs were likely chosen due to their standard use in UK census data and administrative convenience, although not explicitly justified in the paper.","Data from detected incidents of theft from vehicles (TFV) in Dorset, UK.",U.K. census Lower Super Output Areas (LSOAs) as the unit of analysis.,Based on availability of geographical coordinates for offense and offender home locations.,"Distance, presence of schools, proximity to city center, presence of train stations, connectivity via major roads, population turnover, and social heterogeneity.","Offenders prefer areas closer to home, with schools (for younger offenders), closer to city centers (for adult offenders), with train stations, and with higher connectivity. They also prefer areas with higher population turnover and social heterogeneity.",Police data for detected crimes; GIS data for origin-destination flows,Crimes committed by offenders living outside the study area were excluded,Dependency in data due to reoffending could lead to errors in statistical inference.,Crimes committed by offenders living outside the study area were excluded.,Indirect measures of socioeconomic heterogeneity and population turnover.,Number of registered vehicles and car parks may not reflect actual abundance.,Focus on a 5-year period.,"Study extends external validity by examining a new crime type and location, but exclusion of external crimes and focus on TFV may limit generalizability.","Findings specific to TFV in Dorset, UK; may not apply to other crimes or locations.",No direct comparisons across different contexts or time periods.,The study suggests using smaller spatial units like Lower Super Output Areas (LSOAs) for analysis.,Future research should collect data on routine activity nodes beyond home locations.,The study suggests using the discrete choice approach to examine offender decision-making.,Population density; Household size/composition; Population turnover,3,Socioeconomic Heterogeneity,1,Schools; City Centers; Major Roads; Train Stations,4,Home-to-crime distance; Distance to city center; Connectivity via major roads; Adjacency,4,Time Frame; Robust Standard Errors; Unit of Analysis; Random Utility Model; Interaction Terms,5,17
14,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),"(Baudains et al., 2013)",2013,0.33,km2,Lower_Super_Output_Area,4765,2299,"The paper does not report the spatial unit size and uses LSOAs (Lower Super Output Areas) as the spatial unit. The average area per LSOA was estimated by dividing the total area of Greater London (1,569 km²) by the number of LSOAs (4,765), resulting in an average of approximately 0.33 km² per LSOA.",https://doi.org/10.1111/1745-9125.12004,0011-1384,Criminology,51,2,August 2011 (implied),Aug-11,United Kingdom,London,Riot-Related Incidents,Other Specific Crimes,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""",LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics.,Comprehensive collection of all riot-related incidents detected by the police in London during August 2011.,U.K. census Lower Super Output Areas (LSOA) as alternatives.,LSOAs within Greater London as spatial units for analysis.,"Proximity to home, schools, transport hubs, retail facilities, previous rioting activity, deprivation, population churn.","Increased likelihood for areas close to home, with schools, transport hubs, retail facilities, and previous rioting; decreased likelihood for crossing the Thames River.",Metropolitan Police Service; 2001 U.K. Census; Index of Multiple Deprivation (IMD) 2010; U.K. Office for National Statistics,Data regarding police activity was unavailable for analysis,Use of 2001 census data for estimating ethnic diversity and population churn.,Unavailability of data on police activity.,Reliance on 2001 census data for social demographics.,Potential for unobserved heterogeneity in measuring recent activity.,"Focus on August 6-11, 2011.",The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.,The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.,The study does not compare findings across different riots or contexts.,Use smaller spatial units like LSOAs for more representative data.,Include data on police resource allocation and social media influence.,Use discrete choice approaches for analyzing offender spatial decision making.,Population Churn Rates; Ethnic Heterogeneity; Number of Schools; Age Distribution; Propinquity; Social Disorganization,6,Index of Multiple Deprivation (IMD),1,Routine Activity Nodes; Transport Hubs; Retail Centers; Schools; River Thames,5,Home-to-crime distance; Distance to city center; Presence of underground station; Thames River barrier; Propinquity; Contagion measure,6,Prior Offenses; Propinquity; Contagion; Discrete Choice Approach; Population Churn Rates; Ethnic Heterogeneity; Deprivation; Population Density; McFadden Pseudo R-squared,9,27
15,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"(Rowan, Appleby & McGloin, 2022)",2022,0.37,km2,Census_block_group,653,6249,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. Baltimore City is divided into 653 census block groups. The average area per block group can be estimated by dividing the total area of Baltimore (238.5 km2 by the number of block groups (653), resulting in an average of approximately 0.37 km2 per block group.",https://doi.org/10.1093/bjc/azab093,0007-0955,The British Journal of Criminology,62,3,NA,2013-2016,United States,"Baltimore City, Maryland",Group Crime,Multiple/Mixed Crime Types,Prior Research,Cross-sectional,Not applicable (uses spatially lagged negative binomial regression),Maximum Likelihood,"""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""",The choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research.,Publicly available arrest data from Baltimore City (2013-16),Census block groups,All available arrest data within the specified time frame,"Number of bars, pedestrian-oriented street density, poverty, racial/ethnic heterogeneity.",Number of bars and pedestrian-oriented street density increase group crime rates; poverty increases group crime rates; racial/ethnic heterogeneity decreases group crime rates.,Environmental Protection Agency; Baltimore City Police Department; Baltimore City Open Data Portal; U.S. Census Bureau; American Community Survey,Limitations include exclusion of crimes not reported to the police and potential incomplete geocoding of arrests,Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.,Incomplete geocoding due to missing or problematic location information.,Publicly available arrest data may not capture all criminal events.,Potential for incorrect coding of incidents as solo crimes.,Data limited to 2013-2016.,Findings are limited by focus on a single city and may not generalize to other contexts.,Findings may be specific to Baltimore City's unique design and connectivity.,No basis for comparison across different locales or time periods.,Use smaller microunits than census block groups.,Collect qualitative data on co-offending motivations and processes.,Use alternative data sources to overcome official records limitations.,Population Density; Ethnic Heterogeneity; Population Turnover; Schools,4,Poverty; Population density; Ethnic heterogeneity,3,Bars; Schools; Transit Stations; Shopping Centers; Pedestrian-Oriented Street Density; Auto-Oriented Street Density,6,Auto-oriented street density; Pedestrian-oriented street density,2,Time Frame; Spatial Lag Operator; Solo Crime Rate; Population Density; Racial/Ethnic Heterogeneity; Population Turnover; Poverty,7,22
16,Modelling taste heterogeneity regarding offence location choices (Census output area),"(Frith, 2019)",2019,0.44,km2,"Census_output_
areas",616,1105,NA,https://doi.org/10.1016/j.jocm.2019.100187,1755-5345,Journal of choice modelling,33,NA,2008-2012,2008-2012,United Kingdom,York,Serious Acquisitive Crime (Sac),Other Specific Crimes,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""The alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",Chosen based on data availability and preference for finer spatial granularity,"Revealed preference data collection for SAC in York, UK.",Restricted to output areas (neighbourhoods) within York.,Output areas as smallest units for analysis.,"Distance from home, distance to city centre, socioeconomic heterogeneity, and previous offence locations.",Distance and distance to city centre generally have negative effects; socioeconomic heterogeneity and previous offence locations have positive effects.,Revealed preference data for SAC; 2011 UK Census; UK Land Registry,Limited to detected crimes within the study period; ignores undetected crimes or those before April 2008,"The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.",The analysis assumes offenders with one offence in the time period are not repeat offenders.,"The study relies on revealed preference data, which may not fully capture the decision-making process.","The study groups different types of offenders together, which may mask differences in behavior.",The study is limited to data from April 2008 to March 2012.,Grouping different offense types together may limit generalizability to specific types of offenders.,"Findings may be specific to the study context (York, UK).",The study's context specificity and dataset may limit comparisons across different contexts or time periods.,Use smaller spatial units for more accurate insights into social organization.,Use stated preference analyses to support findings.,Consider alternative decision rules like regret minimization.,Ethnic heterogeneity; Residential Churn; Gender; Age group,4,Affluence; Number of potential targets,2,Number of potential targets,1,Distance from the offender's home; Distance from the city centre; Road network data,3,NA,0,10
17,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),"(Bernasco et al., 2015)",2015,0.51,km2,Lower_Level_Super_Output_Area_(LSOA),1687,3337,NA,https://doi.org/10.1016/j.apgeog.2015.03.014,0143-6228,Applied geography,60,NA,2007-2012,2007-2012,United Kingdom,West Midlands,Burglary,Burglary,Prior Research,Longitudinal,Multinomial Logit,Maximum Likelihood,"""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""","LSOAs were chosen for their balance in size and their alignment with social homogeneity measures, allowing for effective analysis of crime location choice and spillover effects.","Data from 3,337 detected burglaries in the West Midlands, UK, between 2007 and 2012.",UK Census Lower Level Super Output Area (LSOA) as the basic spatial unit of analysis.,"Each burglary is a discrete choice among 1,687 LSOAs.","Recency of prior burglaries, spatial proximity to previous targets, distance from burglar's residence, number of households, house price, ethnic diversity, population turnover.",Recent prior burglaries and proximity increase choice probability; distance from residence decreases it.,Police-recorded burglary data from West Midlands police force; UK Land Registry; Department for Transport; 2001 UK census,NA,Detected burglaries only; considered unsuccessful due to arrests.,Success of previous burglaries; prior home locations.,Police-recorded data; may not capture all burglaries.,Success/failure of previous burglaries not accounted for.,Fixed period for past burglaries; may not capture long-term patterns.,The study's findings might not generalize to other types of crimes or to different geographical contexts.,The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.,The study is limited to a specific time period (2007-2012) and does not allow for comparisons across different time periods or contexts.,Not explicitly mentioned.,Offender-based research to measure same-offender involvement.,Address potential unobserved heterogeneity.,Population Turnover; Ethnic Diversity; Total Number of Households,3,Average House Price; Total Number of Households; Population Turnover,3,"Affluent neighborhoods; Neighborhoods with high guardianship; Accessible residential properties; Connectors (e.g., transit lines); Barriers (e.g., wide rivers); Street permeability; Higher altitude; Train stations; Total number of households; Average house price; Ethnic diversity; Population turnover; Distance to city center",13,Distance to Offender's Residence; Distance to City Center; Presence of Train Stations; Presence of Bus Stations,4,Temporal Categories; Distance to Residence; Distance to City Center; Total Number of Households; Average House Price; Ethnic Diversity; Population Turnover,7,30
18,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,"(Bernasco & Nieuwbeerta, 2005)",2005,0.65,km2,Neighborhood,89,548,NA,https://doi.org/10.1093/bjc/azh070,1464-3529,The British Journal of Criminology,45,3,1996-2001,1996-2001,Netherlands,The Hague,Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,Not explicitly quoted,Chosen based on administrative boundaries and data availability from the municipality of The Hague,"Data on residential burglaries from police records in The Hague, 1996-2001.",Each burglary associated with all 89 neighbourhoods in The Hague.,All 89 neighbourhoods considered as potential alternatives for each burglary.,"Ethnic heterogeneity, percentage of single-family dwellings, proximity to the offender's home, number of residential units.","Increased ethnic heterogeneity and percentage of single-family dwellings increase the likelihood of selection. Proximity to the offender's home increases the likelihood, while proximity to the city center decreases it.",Haaglanden police force; statistical publications of the municipality of The Hague,Limited by a low detection rate of 7%,Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.,Burglaries outside The Hague excluded due to lack of data on neighbourhood characteristics.,Limited to The Hague due to unavailability of data on other areas.,Assumption that all choice criteria are equally important for all burglars.,Not mentioned.,Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.,Findings specific to The Hague; results may be influenced by unique city characteristics.,No comparison across different contexts or time periods.,The study suggests using neighborhood-level data for analysis.,The study implies the need for detailed data on neighborhood characteristics and offender attributes.,The use of the conditional logit model is recommended for its ease of estimation and interpretation.,Ethnic Heterogeneity; Residential Mobility; Age of Burglar; Ethnic Origin of Burglar; Percentage of Single-Family Dwellings,5,Average Residential Real Estate Value,1,Percentage of single-family dwellings; Number of residential units,2,Proximity to Offender's Home; Proximity to City Centre; Distance Between Neighbourhoods,3,Proximity to City Centre; Proximity to Burglar's Home; Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Number of Residential Units; Age of Burglar; Ethnic Origin of Burglar,8,19
19,Co-offending and the Choice of Target Areas in Burglary,"(Bernasco, 2006)",2006,0.65,km2,Neighborhood,89,1174,NA,https://doi.org/10.1002/jip.49,1544-4759,Journal of Investigative Psychology and Offender Profiling,3,3,1996-2004,1996-2004,Netherlands,The Hague,Burglary,Burglary,Not specified,Cross-sectional,Conditional Logit,Maximum Likelihood,NA,"The use of residential neighborhoods as spatial units is likely due to data availability and administrative convenience, although not explicitly justified in the paper.",Comprehensive sampling of detected residential burglaries in The Hague from 1996 to 2004.,Neighborhoods as potential target areas based on distance from offender's home.,Based on distance and neighborhood characteristics like physical accessibility and social disorganization.,"Physical accessibility, proximity to the home neighbourhood.",Increase choice probability.,Police force that services the greater The Hague area,Limited by a low detection rate of 7%,Low detection rate (7%) could bias results if related to location choice criteria.,Potential incompleteness of police data on number of offenders involved.,Reliance on police data with low detection rate and potential incompleteness.,Potential underestimation of co-offenders due to incomplete data.,"Study covers 1996-2004, but no specific temporal issues mentioned.",Findings may not be generalizable to other cities or contexts.,Findings are specific to The Hague and may not apply to other cities or regions.,The study does not provide a basis for comparison across different cities or contexts.,Focus on neighborhood-level analysis.,Improve data on co-offending dynamics and non-arrested accomplices.,Address low detection rates and their impact.,Residential Mobility; Ethnic Heterogeneity; Number of Properties; Average Neighbourhood Area; Number of Residents,5,Average Value of Residential Properties; Percentage of Owner-Occupied Properties; Mean Income per Resident,3,[Architectural_Features; [Public_Facilities; [Residential_Units; [Physical_Accessibility; [Social_Accessibility,5,Home-to-crime distance; Distance to city centre; Physical accessibility,3,Number of properties in a neighbourhood,1,17
20,Burglar Target Selection: A Cross-national Comparison (NL),"(Townsley et al., 2015)",2015,0.65,km2,Neighborhood,89,548,NA,https://doi.org/10.1177/0022427814541447,0022-4278,The Journal of Research in Crime and Delinquency,52,1,NA,NA,Netherlands,The Hague,Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Netherlands context - Neighborhoods)""","Spatial units chosen based on equivalence in size of burglar population and number of targets for Netherlands context, likely due to data availability and administrative convenience.",Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,"Municipal Agency for Urban Development (The Hague, Netherlands)",Limited by inconsistency in measuring residential real estate value across regions,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
21,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,"(Bernasco & Luykx, 2003)",2003,0.65,km2,Neighborhood,89,26000,NA,https://doi.org/10.1111/j.1745-9125.2003.tb01011.x,0011-1384,Criminology,41,3,1996-2001,1996-2001,Netherlands,The Hague,Burglary,Burglary,Data Availability,Cross-sectional,NA,NA,"Not explicitly stated, but implied by data source",Neighborhoods were used as spatial units because they are the administrative divisions for which data was readily available from the municipality of The Hague,Data from police records and focus on neighborhoods within The Hague.,Spatially weighted measure of proximity to potential burglars and their homes.,Not explicitly mentioned.,"Proximity to burglars' homes, proximity to the CBD, lack of territoriality, and affluence.",These variables increase the likelihood of burglary in neighborhoods.,"Statistical publication of the municipality of The Hague (DSO, 2001); Police records from the police force of Haaglanden; Real estate tax administration data",Limited by a residential burglary clearance rate of about 6 percent,SWEBER measure does not link offenders' homes to crime locations; low clearance rate might make apprehended burglars unrepresentative.,No mobility data available for 2000 and 2001.,Police-recorded data limited by low clearance rate.,Operationalization of ethnic heterogeneity and residential mobility.,Data from 1996 to 2001; might not capture changes outside this period.,"The study's findings are based on data from a single city, which may not generalize to other urban environments or contexts.","The study's findings are specific to The Hague, Netherlands, and may not apply to other cities with different demographic, economic, or spatial characteristics.","The study is limited to a specific time period and location, making it difficult to compare findings across different contexts or time periods.",Use spatially weighted measures for optimal spatial units.,Collect data on accessibility and spatial dynamics.,Use spatially weighted measures for better analysis.,Ethnic Heterogeneity; Residential Mobility,2,Percentage of owner-occupied dwellings; Average real estate value of residential units; Home ownership,3,Residential units' visible cues; Public facilities in the central business district; Likelihood of successful completion; Social cohesion and collective efficacy; Mobility of burglars,5,Journey-to-crime; Distance decay pattern; SWEBER (spatially weighted burglar exposition rate); Proximity to CBD; Concentric zone model,5,Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Home Ownership; Proximity to Central Business District; Moran's I Statistic,6,21
22,Where offenders choose to attack: A discrete choice model of robberies in Chicago,"(Bernasco & Block, 2009)",2009,0.7,km2,Census_tract,844,12872,"The paper does not report the spatial unit size. It uses 844 census tracts in Chicago as spatial units but does not specify their area. We estimated the average tract size by dividing Chicago’s total land area (589 km²) by the number of tracts, resulting in an average of approximately 0.70 km² per tract.",https://doi.org/10.1111/j.1745-9125.2009.00140.x,0011-1384,Criminology,47,1,1996-1998,1996-1998,United States,Chicago,Robbery,Robbery,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the 'collective efficacy' measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""",Chosen due to data availability for collective efficacy measures and computational limitations with smaller units,"Random sampling of 3,000 robbery cases for model development and another 6,000 cases for testing.",Based on 844 census tracts in Chicago.,"Based on characteristics of census tracts such as distance, racial and ethnic dissimilarity, and gang territorial dissimilarity.","Distance from home, racial and ethnic dissimilarity, gang territorial dissimilarity, presence of drug markets, prostitution markets, high schools, retail activities, and collective efficacy.","Distance from home decreases choice probability; similarity in racial and ethnic composition, presence of drug markets, prostitution markets, high schools, and retail activities increase choice probability; collective efficacy decreases choice probability.",CPD records; U.S. Census Bureau; Chicago Police Department; Chicago Public Schools; Claritas; Sampson et al.,Excluded tracts with a population below 100; unable to identify repeat offenders across incidents,Exclusion of unreported robberies may underestimate the attraction value of illegal markets.,Unable to identify repeat offenders across multiple incidents.,Collective efficacy measure has greater error due to aggregation from survey data.,Collective efficacy measure's aggregation may introduce measurement errors.,Neglects temporal variation in robbery patterns.,Limited to Chicago; use of census tracts may affect generalizability.,Findings specific to Chicago's demographic and spatial context.,No direct comparisons across contexts or time periods.,Use smaller units of spatial aggregation.,Incorporate temporal data to improve understanding of spatial target selection.,Integrate journey to crime research with geographic distribution of criminal opportunities.,Population size; Racial and ethnic composition; Collective efficacy; Age of offenders; Sex of offenders,5,"Presence of illegal markets; Cash-intensive businesses (check-cashing outlets, ATMs, pawn shops, bars); Deprived areas/cash economies; Retail employment",4,Presence of illegal markets; Check-cashing outlets; Automatic teller machines (ATMs); Pawn shops; Bars and taverns; Drug markets; Prostitution markets; High schools; Retail activities; Collective efficacy,10,Home-to-crime distance; Euclidean distance; Adjacency; Racial and ethnic dissimilarity; Gang territorial dissimilarity,5,Time and Place of Incident; Cross-Validation; Collective Efficacy; Social Barriers; Attractive Targets,5,29
23,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',"(Vandeviver & Bernasco, 2020)",2020,0.79,km2,Statistical_districts,193,679,NA,https://doi.org/10.1007/s10940-019-09431-y,0748-4518,Journal of Quantitative Criminology,36,4,NA,2005-2014,Belgium,Ghent,Burglary,Burglary,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size.""",The spatial units were chosen for their comparability to previous studies and their suitability for analyzing burglary target choice at the residence level.,"Combining data on burglaries with data on residences and neighborhoods in Ghent, Belgium, using a discrete spatial choice approach.",'Residence' as the main unit of analysis.,Discrete choice framework evaluating neighborhood and residence attributes.,"Residential density, prior burglary activity, building construction type, number of residential units, rental status, distance from the offender's home.","Lower residential density, prior burglary activity, detached or single-unit buildings, renter-occupied residences, and proximity to the offender's home increase choice probability.","Police-recorded information on burglars and residential burglaries; Census information on residences and neighborhoods in Ghent, Belgium",Limited to cleared burglaries; potential biases in selection of burglars and burglaries,Potential selectivity in the sample due to selection criteria.,Lack of personal data on burglars; absence of certain residential features and situational cues.,Census data lacks relevant variables for burglary target selection.,Neighborhood and residence data not measured at the same time as burglaries.,"Neighborhood and residence data only from 2011, not matching burglary period.","Findings may not be generalizable to other contexts or cities beyond Ghent, Belgium.","Findings are specific to the context of Ghent, Belgium.",Data collection at different times for burglary and neighborhood/residence data limits comparisons across time periods.,Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,Population; Ethnic Heterogeneity; Rental Units; Household Size; Household Composition; Rental Status,6,Median income; Residential density; Proportion rental units; Higher real estate values; Higher population turnover rates,5,Residential Density; Building Type; Housing Characteristics; Prior Burglary Activity,4,Distance,1,Prior burglary in neighborhood; Distance from offender's home; Statistical districts; Single-offender selection; Conditional logit model; Generalized variance inflation factors (GVIFs),6,22
