Study_Title,Demographic_Variables,Economic_Variables,Environmental_Variables,Distance_Variables,Temporal_Variables,Uncategorized_Variables,All_Variables
Burglar Target Selection: Netherlands Study (The Hague),NA,1. Residential Real Estate Value | Number,1. Residential Mobility | Number; 2. Residential mobility | Percentage,1. Proximity | Distance; 2. Proximity to City Center | Distance,NA,1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,1. Residential Mobility | Number; 2. Social Cohesion | Number; 3. Residential Real Estate Value | Number; 4. Number of households | Number; 5. Proportion of single-family dwellings | Percentage; 6. Residential mobility | Percentage; 7. Availability of potential targets | Number; 8. Proximity | Distance; 9. Proximity to City Center | Distance; 10. Proportion of Single-Family Dwellings | Percentage; 11. Number of Households | Number; 12. Jurisdictional Dummies | Binary; 13. Robust Standard Errors | Number; 14. Wald Tests | Number
Burglar Target Selection: United Kingdom Study (Birmingham),NA,1. Residential Real Estate Value | Number,1. Residential Mobility | Number; 2. Residential mobility | Percentage,1. Proximity | Distance; 2. Proximity to City Center | Distance,NA,1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,1. Residential Mobility | Number; 2. Social Cohesion | Number; 3. Residential Real Estate Value | Number; 4. Number of households | Number; 5. Proportion of single-family dwellings | Percentage; 6. Residential mobility | Percentage; 7. Availability of potential targets | Number; 8. Proximity | Distance; 9. Proximity to City Center | Distance; 10. Proportion of Single-Family Dwellings | Percentage; 11. Number of Households | Number; 12. Jurisdictional Dummies | Binary; 13. Robust Standard Errors | Number; 14. Wald Tests | Number
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"1. Proportion of local residents with ZG city Hukou status | Percentage; 2. Community categorization by majority population type (local, domestic migrant, mixed) | Binary","1. Average rent price | Number; 2. Rent categories (no rent, low, medium, high) | Binary",1. Physical Barriers | Number; 2. Building Type | Percentage,1. Distance Measure | Distance; 2. Accessibility Measure | Distance; 3. Distance | Distance,NA,1. Social barriers based on Hukou status | Binary; 2. Limited social network overlap | Number; 3. Number of households in a community | Number; 4. Proportion of houses built after 2000 | Percentage; 5. Number of households | Number; 6. Proportion of high-rise buildings | Percentage; 7. Natural log of the number of households | Number; 8. Affluence Measures | Percentage; 9. Affluence Measures | Number; 10. Household Count | Number,"1. Proportion of local residents with ZG city Hukou status | Percentage; 2. Community categorization by majority population type (local, domestic migrant, mixed) | Binary; 3. Social barriers based on Hukou status | Binary; 4. Limited social network overlap | Number; 5. Number of households in a community | Number; 6. Proportion of houses built after 2000 | Percentage; 7. Average rent price | Number; 8. Rent categories (no rent, low, medium, high) | Binary; 9. Number of households | Number; 10. Proportion of high-rise buildings | Percentage; 11. Natural log of the number of households | Number; 12. Physical Barriers | Number; 13. Distance Measure | Distance; 14. Accessibility Measure | Distance; 15. Distance | Distance; 16. Affluence Measures | Percentage; 17. Affluence Measures | Number; 18. Building Type | Percentage; 19. Household Count | Number"
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,1. Total number of residents | Number; 2. Number of residents with a non-Western ethnic background | Number; 3. Population density | Number,NA,NA,NA,1. Previous Home Location | Percentage; 2. Previous Crime Location | Number; 3. Previous Crime Location | Binary,"1. Number of single-person households | Number; 2. Number of retail stores | Number; 3. Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number; 4. Retail stores | Number; 5. Hotels | Number; 6. Restaurants | Number; 7. Bars | Number; 8. Schools | Number; 9. Cultural facilities | Number; 10. Health care institutions | Number; 11. Sport and leisure facilities | Number; 12. Home Location | Percentage; 13. Area Characteristics | Number; 14. Shared Awareness Space | Percentage","1. Total number of residents | Number; 2. Number of residents with a non-Western ethnic background | Number; 3. Number of single-person households | Number; 4. Population density | Number; 5. Number of retail stores | Number; 6. Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number; 7. Retail stores | Number; 8. Hotels | Number; 9. Restaurants | Number; 10. Bars | Number; 11. Schools | Number; 12. Cultural facilities | Number; 13. Health care institutions | Number; 14. Sport and leisure facilities | Number; 15. Home Location | Percentage; 16. Previous Home Location | Percentage; 17. Previous Crime Location | Number; 18. Area Characteristics | Number; 19. Previous Crime Location | Binary; 20. Shared Awareness Space | Percentage"
Co-offending and the Choice of Target Areas in Burglary,1. Ethnic Heterogeneity | Percentage; 2. Number of Residents | Number,1. Mean Income per Resident | Number,1. Residential Mobility | Percentage; 2. Average Value of Residential Properties | Percentage,1. [Social_Accessibility | Distance; 2. Home-to-crime distance | Distance; 3. Distance to city centre | Distance; 4. Physical accessibility | Percentage,NA,1. Number of Properties | Percentage; 2. Percentage of Owner-Occupied Properties | Percentage; 3. [Architectural_Features | Percentage; 4. [Public_Facilities | Percentage; 5. [Residential_Units | Number; 6. [Physical_Accessibility | Percentage; 7. Number of properties in a neighbourhood | Number,1. Residential Mobility | Percentage; 2. Ethnic Heterogeneity | Percentage; 3. Number of Properties | Percentage; 4. Number of Residents | Number; 5. Average Value of Residential Properties | Percentage; 6. Percentage of Owner-Occupied Properties | Percentage; 7. Mean Income per Resident | Number; 8. [Architectural_Features | Percentage; 9. [Public_Facilities | Percentage; 10. [Residential_Units | Number; 11. [Physical_Accessibility | Percentage; 12. [Social_Accessibility | Distance; 13. Home-to-crime distance | Distance; 14. Distance to city centre | Distance; 15. Physical accessibility | Percentage; 16. Number of properties in a neighbourhood | Number
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,1. Population size | Number; 2. Mean population | Number,NA,NA,1. Median Distance | Distance; 2. Average Crime Trip Distance | Distance; 3. Euclidean Distance | Distance; 4. Euclidean distances between census units | Distance,NA,1. Proportion of non-locals | Percentage; 2. Hukou status | Percentage; 3. Primary schools | Number; 4. Middle schools | Number; 5. Hospitals | Number; 6. Basic stores | Number; 7. Markets | Number; 8. Supermarkets | Number; 9. Restaurants | Number; 10. Cinemas | Number; 11. Bars | Number; 12. Banks | Number; 13. Subway stations | Number; 14. Bus stops | Number; 15. Relative Mobility | Percentage; 16. Exclusion of February | Number; 17. Selection of weekdays | Number; 18. Clearance rate of theft from the person | Percentage; 19. Geographical location of study area | Number; 20. Exclusion of census units due to limited mobility data | Number,1. Population size | Number; 2. Proportion of non-locals | Percentage; 3. Hukou status | Percentage; 4. Primary schools | Number; 5. Middle schools | Number; 6. Hospitals | Number; 7. Basic stores | Number; 8. Markets | Number; 9. Supermarkets | Number; 10. Restaurants | Number; 11. Cinemas | Number; 12. Bars | Number; 13. Banks | Number; 14. Subway stations | Number; 15. Bus stops | Number; 16. Median Distance | Distance; 17. Average Crime Trip Distance | Distance; 18. Euclidean Distance | Distance; 19. Relative Mobility | Percentage; 20. Exclusion of February | Number; 21. Selection of weekdays | Number; 22. Clearance rate of theft from the person | Percentage; 23. Geographical location of study area | Number; 24. Mean population | Number; 25. Exclusion of census units due to limited mobility data | Number; 26. Euclidean distances between census units | Distance
Discrete choice analysis of spatial attack sites,1. Demographic Profile Variables | Number,NA,1. u66 | Density,1. u30 | Distance; 2. u 26 | Distance; 3. u 27 | Distance; 4. u 30 | Distance,NA,NA,1. Demographic Profile Variables | Number; 2. u30 | Distance; 3. u66 | Density; 4. u 26 | Distance; 5. u 27 | Distance; 6. u 30 | Distance
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,1. Population (log) | Number; 2. Population size | Number,NA,1. Proportion of high-rise residential buildings | Percentage; 2. Physical Disorder | Number,1. Subway Stations | Distance; 2. Bus Stops | Distance; 3. Distance from home | Distance,NA,1. Proportion of buildings built after 2000 | Percentage; 2. Low educational attainment | Percentage; 3. Newer Buildings | Binary; 4. Parks | Binary; 5. Entertainment Venues | Number; 6. Newer buildings | Number; 7. Subway stations | Number; 8. Bus stops | Number; 9. Parks | Number; 10. Entertainment venues | Number,1. Population (log) | Number; 2. Proportion of high-rise residential buildings | Percentage; 3. Proportion of buildings built after 2000 | Percentage; 4. Low educational attainment | Percentage; 5. Physical Disorder | Number; 6. Newer Buildings | Binary; 7. Parks | Binary; 8. Entertainment Venues | Number; 9. Subway Stations | Distance; 10. Bus Stops | Distance; 11. Distance from home | Distance; 12. Population size | Number; 13. Newer buildings | Number; 14. Subway stations | Number; 15. Bus stops | Number; 16. Parks | Number; 17. Entertainment venues | Number
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","1. Age groups (juvenile, young adult, adult) | Percentage",NA,NA,1. Distance of Journey to Crime | Distance,NA,1. Proportion of migrants | Percentage; 2. Proportion of young adults | Percentage; 3. Social cohesion | Number; 4. Cybercafés | Number; 5. Schools | Number; 6. Wholesale markets | Number; 7. Bars and clubs | Number; 8. Routine activity nodes | Number; 9. Bus Stops | Number; 10. Subway Stations | Number; 11. Bus stops | Number; 12. Subway stations | Number; 13. Malls and supermarkets | Number; 14. Car parks | Number,"1. Proportion of migrants | Percentage; 2. Proportion of young adults | Percentage; 3. Age groups (juvenile, young adult, adult) | Percentage; 4. Social cohesion | Number; 5. Cybercafés | Number; 6. Schools | Number; 7. Wholesale markets | Number; 8. Bars and clubs | Number; 9. Routine activity nodes | Number; 10. Distance of Journey to Crime | Distance; 11. Bus Stops | Number; 12. Subway Stations | Number; 13. Bus stops | Number; 14. Subway stations | Number; 15. Malls and supermarkets | Number; 16. Car parks | Number"
Do Migrant and Native Robbers Target Different Places?,1. Gender | Binary; 2. Ethnicity | Binary; 3. Ambient population | Number,NA,1. Density of road network | Density,1. Distance of Journey to Crime | Distance; 2. Distance of journey to crime | Distance,NA,1. Education level | Binary; 2. Proportion of migrants | Percentage; 3. Proportion of youngsters | Percentage; 4. Socioeconomic heterogeneity | Index; 5. Daily human mobility | Index; 6. Migration status | Percentage; 7. Wholesale markets | Number; 8. Labor-intensive industrial cluster | Number; 9. Old urban areas and urban villages | Number; 10. Sports stadiums | Number; 11. Malls and supermarkets | Number; 12. Grocers | Number; 13. Bars and clubs | Number; 14. High schools | Number; 15. ATMs and banks | Number; 16. Carparks | Number; 17. Bus stops | Number; 18. Arrest data | Number; 19. POI data | Number; 20. Traffic road network vector map data | Number; 21. Bus stop data | Number; 22. Mobile phone data | Number; 23. Crime prevention | Percentage,1. Gender | Binary; 2. Ethnicity | Binary; 3. Education level | Binary; 4. Proportion of migrants | Percentage; 5. Proportion of youngsters | Percentage; 6. Socioeconomic heterogeneity | Index; 7. Daily human mobility | Index; 8. Migration status | Percentage; 9. Wholesale markets | Number; 10. Labor-intensive industrial cluster | Number; 11. Old urban areas and urban villages | Number; 12. Sports stadiums | Number; 13. Malls and supermarkets | Number; 14. Grocers | Number; 15. Bars and clubs | Number; 16. High schools | Number; 17. ATMs and banks | Number; 18. Carparks | Number; 19. Bus stops | Number; 20. Density of road network | Density; 21. Distance of Journey to Crime | Distance; 22. Arrest data | Number; 23. POI data | Number; 24. Traffic road network vector map data | Number; 25. Bus stop data | Number; 26. Mobile phone data | Number; 27. Distance of journey to crime | Distance; 28. Ambient population | Number; 29. Crime prevention | Percentage
