Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Marre Lammers, Barbara Menting, Stijn Ruiter, Wim Bernasco",-,-,-,-,-,Total study area size = 142 areas * 2.96 km²/area = 420.32 km²,"  - """"The crime had to be committed between 2006 and 2009 in the greater The Hague area, an area consisting of 142 four-digit postal code areas (with an average population size of approximately 7,000 and an average size of 2.96 km²).""""
  - """"The study area covers the greater The Hague area, the Netherlands, and for whom at least one offense had been recorded by the police in this area between 2006 and 2009 and at least one offense within the 3 years prior to the 2006-2009 offense(s).""""",,"- The study area is described as the ""greater The Hague area,"" which is divided into 142 four-digit postal code areas.
- Each of these postal code areas has an average size of 2.96 km².
- To calculate the total study area size, we multiply the number of postal code areas by the average size of each area: 142 areas * 2.96 km²/area.
- This calculation provides the total study area size."
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,Wim Bernasco,-,-,-,-,-,400 sq. km,"  - ""The police force services a geographical area of 400 sq. km that houses a population of one million residents and 460,000 residential units.""
  - ""the study area (Greater The Hague Area) measures 400 sq. km, and houses a population of 1,000,000 residents in 460,000 residential units.""",,"- The paper explicitly states the size of the study area in square kilometers, which is the primary target for this question.
- The first quote mentions that the police force services an area of 400 sq. km, which is part of the study area.
- The second quote confirms that the study area itself, referred to as the Greater The Hague Area, measures 400 sq. km.
- These quotes directly provide the total study area size, making further calculations unnecessary."
The Importance of Importance Sampling,"Wim Medvedev, Oleg N Polaschek, Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,2153 SA2s * median size of 1.962km² = approximately 4221.486km²,"  - ""In this study we used the NZ Census Statistical Area 2 (SA2) as the set of locations from which an offense location could be chosen.""
  - ""SA2s roughly equate to neighborhoods and typically contain 2000-4000 residents in metropolitan areas (1000-5000 in rural areas).""
  - ""SA2s are comparable to the units used in other crime location choice studies (e.g., Clare et al. 2009;Townsley et al. 2015).""
  - ""The data used in this study included solved residential and non-residential burglary, commercial and personal robbery and extra-familial sex offenses occurring between 2009 and 2018 from a national dataset obtained from the New Zealand Police.""",,"- The study uses a national dataset from New Zealand, indicating that the study area is the entire country.
- The study area is divided into SA2s, which are used as the spatial units for analysis.
- There are 2153 SA2s in total, with varying land areas.
- The median land area of an SA2 is 1.962km², but the range is from 0.063km² to 12,042.36km².
- To calculate the total study area size, we need to multiply the number of SA2s by the average or median size of an SA2."
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Marre Lammers,-,-,-,-,-,Total study area size: 142 areas * 2.96 km²/area = 420.32 km²,"  - ""The set of alternatives J in this study contains the 142 four-digit postal code areas of the greater The Hague area.""",,"- The study area is described as the ""greater The Hague region,"" which is divided into 142 four-digit postal code areas.
- Each of these postal code areas has an average size of 2.96 km².
- To calculate the total study area size, we multiply the number of postal code areas by the average size of each area: 142 areas * 2.96 km²/area.
- This calculation provides the total study area size."
"Right place, right time? Making crime pattern theory time-specific","Sabine E M Van Sleeuwen, Stijn Ruiter, Wouter Steenbeek",-,-,-,-,-,"Total study area size = 13,305 neighbourhoods * 2.63 km²/neighbourhood = 35,000.15 km²","  - ""the final dataset for analysis is a data matrix of 944,655 rows (containing 13,305 neighbourhood rows for each of the 71 crimes to be explained).""
  - ""In total, they reported on 71 unique crimes.""",,"- The study involves a dataset that includes 13,305 unique neighbourhoods in the Netherlands, which is a key component of the study area.
- The median area of these neighbourhoods is given as 0.66 km², with a mean area of 2.63 km².
- To calculate the total study area size, we can use the mean area of the neighbourhoods and multiply it by the total number of neighbourhoods.
- The total number of neighbourhoods is explicitly stated as 13,305.
- The mean area per neighbourhood is given as 2.63 km²."
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",-,-,Cities,38,2021,1971 communities * 1.62 km²/community = 3195.02 km²,"  - ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2""
  - ""The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""",,"- The study area is described as covering 1971 communities, which are the spatial units in this context.
- The average size of each community is given as 1.62 km².
- To calculate the total study area size, we can multiply the number of communities by the average size of each community: 1971 communities * 1.62 km²/community.
- This calculation provides a straightforward way to estimate the total study area size."
Do Migrant and Native Robbers Target Different Places?," Liu",-,-,ISPRS Int. J. Geo Inf.,3,2021,3195.02 km²,"  - ""ZG City-one of the largest cities in Southeast China [19]. In 2018, the resident population was 14.9 million, and the GDP of the city was 2.30 trillion with an annual growth rate of 6.50%.""
  - ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""",,"- The paper explicitly states that the study area consists of 1971 neighborhoods with an average area of 1.62 square kilometers. This provides both the total number of spatial units (neighborhoods) and the average size of each unit.
- To calculate the total study area size, we can multiply the number of neighborhoods by the average area of each neighborhood: 1971 neighborhoods * 1.62 km²/neighborhood.
- The calculation yields: 1971 * 1.62 = 3195.02 km².
- The mention of ZG City's population and GDP is not directly relevant to calculating the study area size but provides context about the city's scale."
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Dongping Long, Lin Liu",-,-,Cities,3,2022,3195.02 km²,"  - """"The area under study comprises 1971 neighborhood units with an average area of 1.62 km² (Long et al., 2021).""""",,"- The paper provides the total number of spatial units (neighborhood units) as 1971.
- It also gives the average size of each spatial unit as 1.62 km².
- To calculate the total study area size, we multiply the total number of spatial units by the average size of each unit: 1971 units * 1.62 km²/unit = 3195.02 km²."
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,"Stijn Ruiter, Barbara Menting, Marre Lammers, Wim Bernasco",-,-,British Journal of Criminology,33,2019,"Total study area size = 12,821 neighbourhoods * mean size of 2.63 km² = approximately 33,761.03 km²","  - ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""",,"- The study area is described as ""the entire Netherlands,"" which indicates that the study covers the entire country.
- The spatial unit of analysis is specified as ""neighbourhoods,"" with a total of 12,821 neighbourhoods used in the study.
- The median size of these neighbourhoods is given as 0.68 km², and the mean size is 2.63 km².
- To calculate the total study area size, we can use the mean size of the neighbourhoods multiplied by the total number of neighbourhoods. This gives us an approximate total area."
Location Choice of Snatching Offenders in Chennai City,"K Kuralarasan, Wim Bernasco",-,-,Journal of quantitative criminology,10,2021,438.18 km²,"  - ""It consists of 201 wards with an average surface area of 2.18 km 2 (quartiles 0.97, 1.61 and 2.53) and an average population of 33,195 (quartiles 21,451, 36,560 and 43,622)""
  - ""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere (i.e., Long et al. 2018;Townsley et al. 2015), but due to the high population density in Chennai, the population sizes of wards are larger than those in most other studies.""
  - ""The study area for the present research is the Greater Chennai City Corporation, a metropolitan area with a population of over 6.6 million during the latest census in 2011.""",,"- The study area is described as the Greater Chennai City Corporation, which is a metropolitan area.
- The metropolitan area is divided into 201 wards.
- The average surface area of each ward is given as 2.18 km².
- To find the total study area size, we can multiply the number of wards by the average size of each ward: 201 wards * 2.18 km²/ward = 438.18 km²."
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Barbara Menting,-,-,,14,2018,Total study area size = Average area size per postal code * Number of postal codes included = 1.68 km² * 76 = 127.68 km²,"  - ""Postal code areas were includable when community survey data were available, which applied to 76 (92.7%) of the postal codes in the area""
  - ""Four-digit postal code areas were used as spatial unit of analysis.""
  - ""The three municipalities in this study contained 82 postal code areas in 2006-2009.""
  - ""The study area consisted of three municipalities in the greater The Hague area in the Netherlands: The Hague, Rijswijk, and Leidschendam-Voorburg.""",,"- The study area is described as consisting of three municipalities in the greater The Hague area in the Netherlands.
- The spatial unit of analysis is the four-digit postal code area.
- Initially, there were 82 postal code areas, but after exclusions, 76 were included in the analysis.
- The average area size of each postal code area is given as 1.68 km².
- To calculate the total study area size, we can multiply the average area size of a postal code area by the number of areas included in the analysis."
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",-,-,Sustainability,21,2018,1973 * 1.62 = 3197.26 km²,"  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2""
  - ""The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""",,"- The paper explicitly states that the study area covers 1973 communities, which are the spatial units used in this study.
- It provides the average size of each community as 1.62 km².
- To calculate the total study area size, we can multiply the number of communities by the average size of each community.
- The total study area size = number of communities * average size per community = 1973 * 1.62 km²."
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,Not mentioned (the paper does not provide the total study area size or enough information to calculate it accurately),"  - ""We therefore sampled from alternatives to create a smaller set of alternatives for each offender using stratified importance sampling (Ben-Akiva & Lerman, 1985;McFadden, 1977).""
  - ""Estimating DSCMs requires a dataset that includes one row for each potentially chosen alternative for each decision-maker. However, including all 2,153 SA2s for each offender, would, for example, yield almost 37 million rows for the 17,054 residential burglaries, presenting a computational barrier given the computing equipment available for this project.""
  - ""In the present study the alternatives are the neighborhoods (""Statistical Area 2"" Census Units, or ""SA2s"") from which offenders are selecting when deciding where to commit crime.""
  - ""The study illustrates both the opportunities and challenges involved in employing this methodological paradigm with police administrative data.""",,"- The study uses ""Statistical Area 2"" (SA2) census units as the spatial units for analysis. These units are described as having a median land area of 1.2 km², with a range of 0.84 to 2.2 km².
- The total number of SA2s initially considered is 2,153, but not all were included in the analysis due to sampling.
- The median size of an SA2 is given as 1.2 km², which can be used to estimate the total area if the number of SA2s analyzed is known.
- However, the exact number of SA2s analyzed after sampling is not explicitly provided, making it difficult to calculate the total study area size directly."
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",-,-,Crime and delinquency,3,2022,Not mentioned (the paper does not provide the total study area size or the necessary components to calculate it),"  - ""However, a handful of block groups were removed due to missing data on some Census variables, leaving the total number of neighborhoods analyzed at 304.""
  - ""we include demographic and economic data from the US Census for all 334 block groups in the city.""
  - ""We use block groups to define a neighborhood because these are the smallest unit available where meaningful sociodemographic data are available.""
  - ""we use a valuable dataset comprised of all suspects arrested for burglary over a 13-year period in Tampa, Florida.""",,"- The study is conducted in Tampa, Florida, which is the study area.
- The study uses data from 334 block groups initially, which are the spatial units in this context.
- After exclusions due to missing data, 304 block groups were analyzed.
- The paper does not provide the average or typical size of a block group in square kilometers, nor does it mention the total area of the study region explicitly.
- Since the exact size of each block group or the total area of the study region is not provided, we cannot calculate the total study area size directly from the information given."
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,"Liang Cai, Guangwen Song, Yanji Zhang",-,-,-,-,-,"1,652 units * 0.958km²/unit = 1,581.616km²","  - ""We focus on the central urban area of the city where the majority of population reside and commute and where street view images are available.""",,"- The study focuses on the city of ZG, which has a total population exceeding 5 million, indicating a large urban area.
- The study area is specifically the central urban area of the city, which is where the majority of the population resides and commutes.
- The total number of spatial units (communities) in the ZG region is 2,643, with an average size of 2.813km².
- After excluding communities without street view images, the number of units analyzed is 1,652, with an average size of 0.958km².
- To calculate the total study area size, we can multiply the number of units analyzed by their average size: 1,652 units * 0.958km²/unit."
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,Not mentioned (the paper does not provide the total number of SA2s or the total study area size),"  - ""The small and relatively homogenous size of the sampled SA2s reflects that the vast majority were in urban areas.""
  - ""We analysed 17,054 residential burglaries, 10,353 nonresidential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offences.""",,"- The study uses ""Statistical Area 2"" (SA2) as the spatial unit, which is a common administrative division in New Zealand.
- The median land area of the sampled SA2s is given as 1.2 km², with quartiles ranging from 0.84 to 2.2 km². This provides a typical size for each spatial unit.
- The study is conducted at a national level, covering New Zealand, but the total number of SA2s is not explicitly mentioned.
- The paper does not provide a direct total study area size or the total number of SA2s used in the analysis. However, it does mention that the study covers a large national dataset, implying a comprehensive coverage of New Zealand.
- Since the total number of SA2s and the exact study area size are not provided, we cannot calculate the total study area size directly from the information given."
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,"Wim Bernasco, Richard Block",-,-,,277,2009,Not mentioned (the paper does not provide the average size of a census tract or the total study area size),"  - ""Tracts with a population below 100 were not used in the analysis, which applies to 21 tracts (2.4 percent); the other 844 census tracts are considered in the analysis.""
  - ""Data on the population size and the racial and ethnic composition of the 865 census tracts in the city of Chicago in 2000 were taken from the public files of the U.S. Census Bureau.""
  - ""the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the ""collective efficacy"" measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""",,"- The study focuses on the city of Chicago, specifically using data from 1996-1998.
- The total number of spatial units initially considered is 865 census tracts.
- After excluding tracts with a population below 100, 844 census tracts were analyzed.
- The average size of a census tract is not explicitly mentioned in the paper, but we can infer that the study area size is related to the number of census tracts and their typical size.
- Without the average size of a census tract, we cannot calculate the total study area size directly from the information provided."
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,"Alyssa W Chamberlain, Lyndsay N Boggess",-,-,,30,2016,Not mentioned (the paper does not provide information on the size of the study area or the average size of a census block group),"  - ""The final data set contains information on all 334 block groups in the City of Tampa.""
  - ""The final sample includes 5,182 incidents committed by 6,846 suspects which were aggregated to the census block group, the operational definition of neighborhood.""
  - ""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""",,"- The study area is the City of Tampa, Florida, as indicated by the context of the paper.
- The total number of spatial units (census block groups) in the study area is explicitly mentioned as 334.
- The paper does not provide the average or typical size of a census block group in square kilometers, nor does it mention the total area of the city or any other relevant spatial unit size.
- The study focuses on the analysis of these 334 block groups, but without specific information on the size of each block group or the total area covered by these units, we cannot calculate the total study area size."
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",-,-,-,-,-,more than 3000 km²,"  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""",,"- The study area is described as covering ""more than 3000 km²,"" which directly provides the total study area size.
- The average size of a census unit is given as 1.62 km², but this is not necessary for calculating the total study area size since the total area is explicitly mentioned.
- The number of census units and their average size could be used to estimate the total area if it were not already provided, but in this case, it is not needed."
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","Christophe Vandeviver, Wim Bernasco",-,-,-,-,-,156 km²,"  - ""On average, the 193 residential neighborhoods have a population of 1287 residents (standard deviation [sd] = 1299), 717 residences (sd = 785) and cover an area of 0.79 (sd = 1.00) square kilometers.""
  - ""The Census subdivides Ghent in geographical entities called 'statistical districts', of which 193 have a residential function.""",,"- The paper explicitly states that the city of Ghent, which is the study area, covers an area of approximately 156 km². This directly answers the question about the total study area size.
- The additional information about the number of neighborhoods and their average size is not necessary for calculating the total study area size, as the total area is already provided."
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","Wim Bernasco, Floor Luykx",-,-,,197,2003,"- Total number of spatial units (before exclusions): 94 neighborhoods
- Average size of each spatial unit: 0.65 km²
- Units actually analyzed (after exclusions): 89 neighborhoods
- Total study area size: 89 neighborhoods * 0.65 km² = 57.85 km²","  - ""The city comprises 94 neighborhoods.""
  - ""Counting the 89 neighborhoods analyzed, the average neighborhood has a surface of 0.65 square kilometers, is the home to 4950, residents and contains 2350 residential units.""
  - ""We used data on 89 neighborhoods, as 5 neighborhoods are almost or completely non-residential (industrial areas, parks, dune area).""",,"- The paper mentions that the city of The Hague is divided into 94 neighborhoods, but 5 of these are excluded from the analysis because they are non-residential.
- The average size of each neighborhood is given as 0.65 square kilometers.
- To calculate the total study area size, we need to multiply the average size of a neighborhood by the number of neighborhoods actually analyzed, which is 89."
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,"Shane D Johnson, Lucia Summers",-,-,Crime and delinquency,85,2015,Not mentioned (no information on the total study area size in square kilometers is included in the paper),"  - ""LSOAs are somewhat smaller than the areas used in most (but not all; for example, Bernasco et al., 2013) previous studies of this kind. For example, in the Bernasco and Nieuwbeerta (2005) study, the areas selected had an average population of 4,952 and around 2,380 households.""
  - ""Data for crimes detected by the police were acquired for the county of Dorset (UK) for the 5-year period January 1, 2001, to December 31, 2005.""
  - ""Using a Geographical Information System (GIS), the police data were ""related"" to maps of the area to determine origindestination flows.""
  - ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA). For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""",,"- The study area is described as being in the county of Dorset, UK, but no direct mention of the total area size is provided.
- The unit of analysis is the Lower Super Output Area (LSOA), with 198 LSOAs in the study area.
- Each LSOA has a population of around 1,524 people and about 662 residential households, but no specific area size is mentioned.
- The paper does not provide a direct calculation or mention of the total study area size in square kilometers."
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",-,-,,3,2021,0.14 square miles * 653 = 91.42 square miles,"  - ""The average census block group in Baltimore has 2.4 census blocks, is .14 square miles, and has an average of 953 residents.""
  - ""During this time period, there were a total of N = 6,249 incidents across 653 census block groups (Average Rate = 1.93 per 100 residents, SD = 11.24).""
  - ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""Data include street connectivity measures from the Environmental Protection Agency and publicly available arrest information from Baltimore City (2013-16).""",,"- The study focuses on Baltimore City, using data from 2013 to 2016.
- The study area is described in terms of census block groups, with an average size of 0.14 square miles per census block group.
- The total number of census block groups analyzed is 653.
- To calculate the total study area size, we can multiply the average size of a census block group by the total number of census block groups."
