Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Marre Lammers, Barbara Menting, Stijn Ruiter, Wim Bernasco",-,-,-,-,-,"Total Study Area Size: Approximately 420.32 km²
Study Area Description: Greater The Hague area, Netherlands
Area Calculation Method: Calculated from number of postal code areas and average area size
Area Source: Paper's methodology section
Alternative Size Info: 142 four-digit postal code areas, average size 2.96 km²
Context Notes: Average population size approximately 7,000 per postal code area","  - ""The average shortest distance from residence to boundary was 7.1 km, which is much larger than the mean and median distance between residence and crime location (2.9 and 1.9 km, respectively), suggesting that a bias caused by edge effects is unlikely.""",,"- The study area is described as the ""greater The Hague area"" in the Netherlands, which provides a geographic description.
- The study area is further defined as consisting of 142 four-digit postal code areas, with each area having an average size of 2.96 km².
- To calculate the total study area size, we can multiply the number of postal code areas by the average size of each area: 142 areas × 2.96 km²/area = approximately 420.32 km².
- The mention of the average population size and the average size of each postal code area provides additional context about the study area.
- The discussion about distances and edge effects suggests that the study area is large enough to minimize bias from edge effects."
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,Wim Bernasco,-,-,-,-,-,400 sq. km,"  - ""The police force services a geographical area of 400 sq. km that houses a population of one million residents and 460,000 residential units.""
  - ""the study area (Greater The Hague Area) measures 400 sq. km, and houses a population of 1,000,000 residents in 460,000 residential units.""",,"- The paper explicitly mentions the size of the study area in square kilometers. The first quote provides the size of the geographical area served by the police force, which is 400 sq. km.
- The second quote confirms that the study area, specifically the Greater The Hague Area, also measures 400 sq. km.
- Both quotes clearly state the total study area size in square kilometers, which is a direct answer to the question."
The Importance of Importance Sampling,"Wim Medvedev, Oleg N Polaschek, Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,"Total Study Area Size: Not specified (varies by SA2, median 1.962km²)
Study Area Description: National dataset covering all SA2s in New Zealand
Area Calculation Method: Not mentioned (implied use of SA2 boundaries)
Area Source: New Zealand Census data
Alternative Size Info: Range 0.063km² to 12,042.36km², median 1.962km²
Context Notes: SA2s used as neighborhoods; population density varies","  - ""In this study we used the NZ Census Statistical Area 2 (SA2) as the set of locations from which an offense location could be chosen. SA2s roughly equate to neighborhoods and typically contain 2000-4000 residents in metropolitan areas (1000-5000 in rural areas).""
  - ""The outcome variable was the choice of SA2: in which of the 2153 SA2 areas of New Zealand did the offender commit the index offense?""
  - ""The data used in this study included solved residential and non-residential burglary, commercial and personal robbery and extra-familial sex offenses occurring between 2009 and 2018 from a national dataset obtained from the New Zealand Police.""",,"- The study uses a national dataset from New Zealand, indicating that the study area is nationwide.
- The study area is defined by the use of NZ Census Statistical Area 2 (SA2) units, which are described as roughly equivalent to neighborhoods.
- The total number of SA2s used in the study is 2153, and these units vary in size from 0.063km² to 12,042.36km², with a median size of 1.962km².
- The study area description is national, covering all SA2s in New Zealand, which are used as the spatial units for analysis.
- The area calculation method is not explicitly mentioned, but it is implied that the SA2 boundaries are used as defined by the New Zealand Census.
- The area source is the New Zealand Census data, as indicated by the use of SA2s.
- Alternative size information is provided by the range and median size of the SA2s.
- Context notes include the variation in population density and the use of SA2s as neighborhoods."
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Marre Lammers,-,-,-,-,-,"Total Study Area Size: Approximately 420.32 km²
Study Area Description: Greater The Hague region
Area Calculation Method: Based on number and average size of postal code areas
Area Source: Data used in the study
Alternative Size Info: None found
Context Notes: None","  - ""The total number of four-digit postal code areas in the data is 142.""
  - ""The dependent variable in this study is the choice of an area j from a geographical set of alternatives J to co-offend in. This co-offended crime had to be committed between 2006 and 2009 in the greater The Hague region.""
  - ""The current study will take a next step in gaining insight into the relationship between co-offending and crime location choice, by using one model to analyse previous and current home locations of all offenders involved, as well as previous crime locations and measures of attractiveness of targets.""
  - ""The data were analysed using a discrete spatial choice model.""",,"- The study focuses on the greater The Hague region in The Netherlands, which is the study area.
- The study area is described as consisting of 142 four-digit postal code areas.
- Each postal code area has an average size of 2.96 km².
- To find the total study area size, we can multiply the number of postal code areas by the average size of each area: 142 areas × 2.96 km²/area = approximately 420.32 km².
- The study area description is the greater The Hague region, which is covered by these postal code areas.
- The area calculation method is based on the number and average size of the postal code areas.
- The area source is the data used in the study, which includes these postal code areas.
- There is no alternative size information or context notes provided in the paper."
"Right place, right time? Making crime pattern theory time-specific","Sabine E M Van Sleeuwen, Stijn Ruiter, Wouter Steenbeek",-,-,-,-,-,"Total Study Area Size: Not specified (but can be estimated from 13,305 neighborhoods with a mean area of 2.63 km²)
Study Area Description: 13,305 unique neighborhoods in the Netherlands
Area Calculation Method: Geocoding longitude-latitude information
Area Source: Statistics Netherlands 2019
Alternative Size Info: Median area of 0.66 km², mean area of 2.63 km²
Context Notes: Focus on neighborhoods where crimes were committed","  - ""In the present study, we extended crime pattern theory and proposed that an offender's spatial knowledge acquired during daily routine activities is not equally applicable to all times of day.""
  - ""The results showed that almost 40% of the offences (39.4%) were committed within the neighbourhoods of offenders' activity nodes, increasing to 84.5% when including first-, second-and third-order spatial lags surrounding the activity node neighbourhoods.""
  - ""the final dataset for analysis is a data matrix of 944,655 rows (containing 13,305 neighbourhood rows for each of the 71 crimes to be explained).""
  - ""The results show that almost 40% of the offences are committed within the neighbourhoods of offenders' activity nodes, increasing to 85% when including first-, second-and third-order neighbourhoods.""",,"- The paper discusses the spatial distribution of crimes within the Netherlands, specifically focusing on the neighborhoods where offenders commit crimes.
- The study area is described in terms of the number of neighborhoods analyzed, which is 13,305 unique neighborhoods in the Netherlands for the year 2018.
- The median area of these neighborhoods is provided as 0.66 km², with a mean of 2.63 km² and a range from 0.02 to 130.14 km².
- The total study area size can be estimated by multiplying the number of neighborhoods by the average area per neighborhood. However, the paper does not provide a direct total area size calculation.
- The study area description is the Netherlands, specifically focusing on the neighborhoods where crimes were committed.
- The area calculation method is based on geocoding longitude-latitude information to unique neighborhoods.
- The area source is Statistics Netherlands 2019.
- Alternative size information is provided in terms of the number of neighborhoods and their median and mean areas.
- Context notes include the focus on neighborhoods and the spatial distribution of crimes within these areas."
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"Dongping Long, Lin Liu, Mingen Xu, Jiaxin Feng, Jianguo Chen, Li He",-,-,Cities,38,2021,"Total Study Area Size: Approximately 3193.02 km²
Study Area Description: 1971 communities
Area Calculation Method: Calculated from community count and average size
Area Source: Paper's methodology section
Alternative Size Info: Average community size of 1.62 km²
Context Notes: Standard deviation of community sizes is 2.85 km²; minimum size is 0.001 km²; maximum size is 43 km²","  - ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2""
  - ""The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""",,"- The paper provides specific information about the study area size by mentioning that it covers 1971 communities.
- The average size of each community is given as 1.62 km², which can be used to calculate the total study area size.
- To find the total study area size, we multiply the number of communities by the average size of each community: 1971 communities * 1.62 km²/community = approximately 3193.02 km².
- The paper also provides additional details such as the standard deviation, minimum, and maximum sizes of the communities, but these are not necessary for calculating the total study area size."
Do Migrant and Native Robbers Target Different Places?," Liu",-,-,ISPRS Int. J. Geo Inf.,3,2021,"Total Study Area Size: Approximately 3193.02 km²
Study Area Description: 1971 neighborhoods in ZG City
Area Calculation Method: Calculated from neighborhood count and average size
Area Source: Paper's methodology section
Alternative Size Info: 1971 neighborhoods, 1.62 km² average neighborhood size
Context Notes: Based on neighborhood boundaries","  - ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""
  - ""ZG City-one of the largest cities in Southeast China [19]. In 2018, the resident population was 14.9 million, and the GDP of the city was 2.30 trillion with an annual growth rate of 6.50%.""",,"- The paper provides a direct mention of the study area size in terms of the number of neighborhoods and their average area. This is a clear indication of the study area size.
- The quote ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers"" gives us the total number of neighborhoods and their average size, which can be used to calculate the total study area size.
- To calculate the total study area size, we multiply the number of neighborhoods by their average area: 1971 neighborhoods * 1.62 km²/neighborhood = approximately 3193.02 km².
- The paper does not provide a direct total area size in km², but it does give us enough information to calculate it based on the number and average size of the neighborhoods."
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Dongping Long, Lin Liu",-,-,Cities,3,2022,"Total Study Area Size: Approximately 3193.02 km²
Study Area Description: ZG City, a major city in the southeast coastal region of China
Area Calculation Method: Based on number of neighborhood units and average unit size
Area Source: Long et al. (2021)
Alternative Size Info: None found
Context Notes: None","  - ""ZG City is one of the major cities in the southeast coastal region of China, a national central city and the core of the Guangdong-Hong Kong-Macao Greater Bay Area, and has been the political, economic, scientific, educational, and cultural center of southern China.""",,"- The paper provides a direct mention of the study area size in terms of the number of neighborhood units and their average area. This is a clear indication of the study area size.
- The average area of each neighborhood unit is given as 1.62 km², and there are 1971 such units. This allows for the calculation of the total study area size.
- The total study area size can be calculated by multiplying the number of neighborhood units by the average area of each unit: 1971 units × 1.62 km²/unit = approximately 3193.02 km².
- The study area description is provided as ZG City, which is a major city in the southeast coastal region of China, indicating the geographic boundaries of the study.
- The area calculation method is implied to be based on the number of neighborhood units and their average size, which is a common method for estimating area sizes in urban studies.
- The area source is referenced to Long et al. (2021), indicating that the data comes from a previous study or dataset.
- There are no alternative size information or context notes provided in the paper that would alter or qualify the calculated total study area size."
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,"Stijn Ruiter, Barbara Menting, Marre Lammers, Wim Bernasco",-,-,British Journal of Criminology,33,2019,"Total Study Area Size: Approximately 33,000 km² (calculated from 12,821 neighbourhoods × mean size of 2.63 km²)
Study Area Description: Entire Netherlands, divided into 12,821 neighbourhoods
Area Calculation Method: Calculated from neighbourhood count and mean size
Area Source: Statistics Netherlands data
Alternative Size Info: Median neighbourhood size of 0.68 km²
Context Notes: Neighbourhoods are smallest statistical units; mean size used for calculation","  - ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""
  - ""Given their size and homogeneous character, Dutch neighbourhoods are expected to be well known to those who regularly visit them.""
  - ""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""",,"- The study area is described as ""the entire Netherlands,"" which indicates a broad geographic scope.
- The spatial unit of analysis is specified as ""neighbourhoods,"" which are the smallest statistical units in the Netherlands.
- The paper provides specific data on the number of neighbourhoods (12,821) and their median size (0.68 km²), which can be used to estimate the total study area size.
- The mean size of a neighbourhood is given as 2.63 km², which can be used to calculate the total area by multiplying it by the number of neighbourhoods."
Location Choice of Snatching Offenders in Chennai City,"K Kuralarasan, Wim Bernasco",-,-,Journal of quantitative criminology,10,2021,"Total Study Area Size: Approximately 438.18 km²
Study Area Description: Greater Chennai City Corporation, a metropolitan area
Area Calculation Method: Based on average surface area of wards
Area Source: Paper itself
Alternative Size Info: None found
Context Notes: None","  - ""The study area for the present research is the Greater Chennai City Corporation, a metropolitan area with a population of over 6.6 million during the latest census in 2011.""
  - ""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere (i.e., Long et al. 2018;Townsley et al. 2015), but due to the high population density in Chennai, the population sizes of wards are larger than those in most other studies.""",,"- The study area is described as the Greater Chennai City Corporation, which is a metropolitan area.
- The area consists of 201 wards, each with an average surface area of 2.18 km².
- To find the total study area size, we need to multiply the average surface area of a ward by the total number of wards.
- The total study area size can be calculated as 201 wards * 2.18 km² per ward = approximately 438.18 km².
- The study area description is the Greater Chennai City Corporation, which is a metropolitan area.
- The area calculation method is based on the average surface area of the wards.
- The area source is the paper itself, which provides the average surface area of the wards.
- There is no alternative size information or context notes provided in the paper."
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Barbara Menting,-,-,,14,2018,"Total Study Area Size: Not specified (average area size of postal code areas is 1.68 km²)
Study Area Description: Three municipalities in the greater The Hague area: The Hague, Rijswijk, and Leidschendam-Voorburg
Area Calculation Method: Not mentioned
Area Source: Paper provides average area size of postal code areas
Alternative Size Info: Average area size of postal code areas is 1.68 km²
Context Notes: Study area consists of 76 postal code areas","  - ""The study area consisted of three municipalities in the greater The Hague area in the Netherlands: The Hague, Rijswijk, and Leidschendam-Voorburg.""
  - ""The three municipalities in this study contained 82 postal code areas in 2006-2009. Postal code areas were includable when community survey data were available, which applied to 76 (92.7%) of the postal codes in the area""",,"- The study area is described as consisting of three municipalities in the greater The Hague area in the Netherlands: The Hague, Rijswijk, and Leidschendam-Voorburg.
- The study area includes 76 postal code areas, which are the spatial units of analysis.
- The average area size of these postal code areas is given as 1.68 km², with a standard deviation of 2.61 and a range from 0.12 to 22.26 km².
- The total study area size can be estimated by multiplying the average area size by the number of postal code areas, but the paper does not provide a direct total area size calculation."
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","Dongping Long, Lin Liu, Jiaxin Feng, Suhong Zhou, Fengrui Jing",-,-,Sustainability,21,2018,"Total Study Area Size: Approximately 3197.86 km²
Study Area Description: 1973 communities
Area Calculation Method: Calculated from community count and average size
Area Source: Paper data
Alternative Size Info: None found
Context Notes: None","  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2""
  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""",,"- The paper provides specific information about the study area size by mentioning the number of communities and their average size.
- The average size of each community is given as 1.62 km².
- The total number of communities is 1973.
- To calculate the total study area size, we can multiply the number of communities by the average size of each community: 1973 communities × 1.62 km²/community = approximately 3197.86 km².
- The paper does not provide a direct total area size, but it gives enough information to calculate it.
- The study area description is provided as covering 1973 communities.
- The area calculation method is implied to be based on the average size of communities.
- The area source is the paper itself, as it provides the necessary data for calculation.
- There are no alternative size information or context notes provided in the paper."
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,Not specified (the paper does not provide a total study area size in km²),"  - ""The study illustrates both the opportunities and challenges involved in employing this methodological paradigm with police administrative data.""
  - ""The present findings build on prior studies that employed DSCMs to study individual reliability and relevance variables in isolation (e.g., Bernasco, 2019;Ruiter, 2017;van Sleeuwen et al., 2021), by demonstrating how these variables operate collectively.""
  - ""the alternatives are the neighborhoods (""Statistical Area 2"" Census Units, or ""SA2s"") from which offenders are selecting when deciding where to commit crime.""",,"- The study uses ""Statistical Area 2"" (SA2) census units as the spatial unit for analysis, which indicates that the study area is divided into these units.
- The paper provides a description of the size of these SA2s, stating that they ""usually contain 2,000-4,000 residents"" and have a ""median of 1.2 km² land area, with 50% sized between 0.84 and 2.2 km².""
- This information suggests that the study area is composed of multiple SA2s, but the total size of the study area is not explicitly mentioned in terms of total km².
- The focus of the study is on the reliability and relevance of offenders' knowledge of locations, rather than on the total size of the study area.
- The paper does not provide a direct statement or calculation for the total study area size in km²."
