Title,Year,Authors,Journal,DOI,Filename,Country,City_Region,Study_Area_Size,Crime_Type,Study_Period,Data_Collection_Period,SUoA_Type,SUoA_Size,Number_of_Units,Sample_Size,Number_of_Crimes_Analyzed,Discrete_Choice_Model,Software_Used,Main_Results,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",NA,Marre Lammers; Barbara Menting; Stijn Ruiter; Wim Bernasco,NA,NA,"Lammers_Year_BitingOnceTwice.pdf (assuming ""Year"" is the publication year, which is not provided)",Netherlands,The greater The Hague area,2.96 km² (average size of each postal code area),Multiple types,2006,"Not explicitly mentioned, but implied to be after the offenses were committed",Four,Average size of 2.96 km²,142,"12,639 choice observations or events.","12,639 offenses.",Conditional logit,NA,"Prior crime locations strongly influence subsequent crime location choices, with stronger effects for frequent, recent, nearby, and same",Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Ethnic Background,3,"Population density; Proportion of single-person households; Proportion of residents with a non-Western ethnic background; Number of retail stores; Number of hotels, restaurants, and bars; Number of people working",6,"Retail stores; Hotels, restaurants, and bars; Schools; Culture; Health care; Sports and leisure facilities; Number of people working",7,Distance to Prior Crime Location; Distance from Residential Area to Target Areas,2,Recency Variables; Residential Area Variables; Population Density; Proportion of Single-Person Households; Proportion of Non-Western Residents,5,23
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,NA,Wim Bernasco,NA,NA,NA,Netherlands,Greater The Hague Area,400 sq. km,Residential burglary,2002,NA,Postal code areas,Approximately the size of a football field,"23,984","1,871 journey","1,311 burglaries",Multinomial logit,NA,The number of residential properties and proximity to the offender's home increase the likelihood of an area being chosen for burglary.,Number of Residents; Age Composition; Ethnic Composition,3,Average Value of Properties; Number of Residential Properties,2,Residential Units; Spatial Competition,2,Euclidean Distance; Physical Barriers; Journey-to-Crime Distance; Spatial Competition Variable; Home-to-Target Distance,5,Distance between burglar's home and target address; Number of residential units in postal code areas; Ethnic composition of population in postal code areas; Spatial competition variable,4,16
The Importance of Importance Sampling,NA,Wim Medvedev; Oleg N Polaschek; Sophie Curtis,NA,NA,NA,New Zealand,National,Not explicitly given,Non,2009,"Not explicitly mentioned, but implied to be during the study period",NZ Census Statistical Area 2 (SA2),"0.063 km² to 12,042.36 km² (median 1.962 km²)",2153,Random samples of 50% of the offenders within each offense type,NA,Conditional logit,R,Importance sampling is more consistent with full model results and computationally efficient compared to simple random sampling.,NA,0,Number of households in the SA2; Number of business units in any industry; Number of business units for industries targeted in commercial robbery; Number of commercial or public business units,4,Number of households in SA2; Number of business units in any industry; Number of business units for targeted industries; Number of commercial or public business units; Presence of activity nodes in SA2,5,Distance to Activity Nodes,1,Day-of-week effects; Time-of-day effects; Year dummies; Opportunity measures,4,14
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,NA,Marre Lammers,NA,NA,MarreLammers.pdf,The Netherlands,The greater The Hague region,2.96 km² (average size of four,"Various (most common: burglary, theft, public disorder crimes, assault)",2006,NA,Administrative unit (four,Average size of 2.96 km²,142,"2,926 groups of offenders.","6,283 crimes, with 3,612 co",Conditional logit,NA,Co,Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Population density,4,"Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Number of retail stores; Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities",5,Retail stores; Hotels; Restaurants; Bars; Schools; Cultural facilities; Health care institutions; Sport and leisure facilities; Population density,9,Home Location; Previous Home Location; Previous Crime Location,3,Area Characteristics; Home Location; Previous Home Location; Previous Crime Location; Shared Awareness Space,5,26
"Right place, right time? Making crime pattern theory time-specific",2021,Sabine E M Van Sleeuwen; Stijn Ruiter; Wouter Steenbeek,NA,NA,VanSleeuwen2021RightPlaceRightTime.pdf,Netherlands,The Hague and North,"Median area of neighbourhoods: 3.37 km², 14.5 km², 55.6 km²",Multiple types,2017,May to August 2019,Neighbourhood,"Median area = 0.66 km², Mean = 2.63 km², Range = 0.02","13,305",71 crimes.,71 unique crimes.,Conditional logit,NA,"Almost 40% of crimes are committed within offenders' activity nodes, increasing to 85% with surrounding areas.",NA,0,NA,0,Home occupancy in residential neighbourhoods; Number of cars parked on a parking lot; Presence of locks and escape routes; Residences; Schools; Jobs; Sports activities; Shopping; Going out; Neighbourhoods of offenders' activity nodes,10,Spatial Lags; Neighbourhood Proximity; Geocoded Neighbourhoods,3,Neighbourhood routinely visited at same time of day as crime event; Neighbourhood routinely visited at different time of day as crime event; Time of day; Crime committed in neighbourhood; Pseudo-R 2,5,18
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,2021,Dongping Long; Lin Liu; Mingen Xu; Jiaxin Feng; Jianguo Chen; Li He,Cities,NA,Long_2021_AmbientPopulationSurveillanceCameras.pdf,China,ZG City,"1971 communities, average size of 1.62 km²",Street robbery,2012,12,Administrative unit (communities),"Average size of 1.62 km², varies 0.001",1971,4358 street robbers.,"Implied to be related to 11,455 arrest records.",Conditional logit,STATA 13.0,"Ambient population and surveillance cameras significantly hinder street robbers' crime location choice, acting as guardians.",Hukou status; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Social cohesion; Collective efficacy; Types of housing,7,GDP; Annual Increase Rate; Socioeconomic Heterogeneity; Economic Inequality; Proportion of Youngsters,5,Malls and supermarkets; Grocers and terminal markets; Bars and clubs; Cybercafés and sports stadiums; High schools; ATMs and banks; Car parks; Surveillance cameras; Ambient population,9,Distance of Journey to Crime; Density of Road Network; Bus Stops; Transportation Hubs; Subway Stations,5,Crime generators and attractors; Density of road network; Distance of journey to crime; Social disorganization; Logged distance of journey to crime,5,31
Do Migrant and Native Robbers Target Different Places?,2021,Liu,ISPRS Int. J. Geo,NA,Liu2021DoMigrantAndNativeRobbersTargetDifferentPlaces.pdf,China,ZG City,1971 neighborhoods with an average area of 1.62 square kilometers,Street robbery,2012 to 2016,Arrest data: 2012 to 2016; POI data: 2014; Traffic road network vector map data: 2014; Bus stop data: 2015; Mobile phone data: May 2016; Census data: 2010,Neighborhood,1.62 square kilometers,1971,4358 street robbers (708 randomly selected migrant robbers and 708 native robbers).,7860 records involving 7124 unique offenders.,Conditional logit,Stata 13.0,Migrant robbers prefer labor,Gender; Ethnicity; Education level; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Daily human mobility; Migration status,8,Wholesale markets; Proportion of migrants; Socioeconomic heterogeneity,3,Labor-intensive industrial cluster; Old urban areas and urban villages; Wholesale markets; Sports stadiums; Malls and supermarkets; Grocers; Bars and clubs; High schools; ATMs and banks; Carparks; Bus stops; Density of road network,12,Distance of Journey to Crime,1,Arrest data; POI data; Traffic road network vector map data; Bus stop data; Mobile phone data; Distance of journey to crime; Ambient population; Crime prevention; Proportion of migrants,9,33
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",2022,Dongping Long; Lin Liu,NA,NA,Long_2022_Juvenile_Young_Adult_Adult_Offenders_Target_Different_Places_Chinese_Context.pdf,China,ZG city,1971 neighborhood units with an average area of 1.62 km²,Street robbery,2012,2012,Neighborhood units,1.62 km²,1971,7860 choice observations (street robberies).,7860 street robberies.,Conditional logit,NA,"Street robbers prefer areas frequented by their age group, close to their residence, and low in social cohesion.","Proportion of migrants; Proportion of young adults; Age groups (juvenile, young adult, adult); Social cohesion",4,Proportion of migrants; Proportion of young adults,2,Cybercafés; Schools; Wholesale markets; Bars and clubs; Routine activity nodes,5,Distance of Journey to Crime; Bus Stops; Subway Stations,3,Bus stops; Subway stations; Malls and supermarkets; Car parks,4,18
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,2019,Stijn Ruiter; Barbara Menting; Marre Lammers; Wim Bernasco,NA,NA,Ruiter2019ActivitySpace.pdf,Netherlands,Not specified (entire country),Not explicitly given (median neighbourhood size: 0.68 km²),"Multiple types (violent offences, thefts, vandalism, etc.)",2013,"May, June, and September 2016",Neighbourhood,Median size of 0.68 km² (range: 0.01,"12,821",140 offences,140,Conditional logit,NA,"Offenders are more likely to commit crimes in areas within their activity spaces, particularly in areas with frequently visited activity nodes.",Gender; Age; Residential Population Density; Employee Density; Median Residential Population,5,Residential Population Density; Employee Density,2,Residential population density; Employee density; Dominant land use function; Crime attractors; Visiting frequency,5,Proximity to Residential Area; Proximity to Activity Nodes; Distance Between Locations; Neighbourhood Boundaries,4,Time of Offense; Spatial Lag; Residential Population Density; Employee Density; Cluster-Corrected Standard Errors,5,21
Location Choice of Snatching Offenders in Chennai City,2021,K Kuralarasan; Wim Bernasco,NA,NA,Kuralarasan2021LocationChoiceSnatchingOffendersChennaiCity.pdf,India,Chennai City,2.18 km² (average surface area of 201 wards),Snatching (snatch theft),August 2010 to July 2017,"Not explicitly mentioned, but implied to be during the study period",Administrative unit (wards),Average surface area of 2.18 km² (range: 0.97 to 2.53 km²),201,1573 snatching offenses.,1573.,Conditional logit,NA,Snatching offenders prefer locations close to their residence and tend to re,Population size; Average population per ward; Age structure of offenders; Gender ratio of offenders,4,NA,0,"Retail businesses; Religious facilities (temples, churches, mosques); Educational institutions (schools, colleges); Marriage halls; Jewelry shops; Personal care facilities (barbershops, beauty parlors); Restaurants; Medical facilities (hospitals, medical services)",8,Home-to-crime distance; Journey to crime; Distance to ward centroids; Log-distance effect; Transport hubs; Public transport usage,6,Ward Area; Ward Population,2,20
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,2018,Barbara Menting,NA,NA,Menting_2018_Awareness_Opportunity.pdf,Netherlands,"The Hague, Rijswijk, and Leidschendam",1.68 km² (average area size),Any,2006,2009,Four,Average area size of 1.68 km² (range = 0.12,76,"13,088 choice observations.","13,088 crime incidents.",Conditional logit,NA,"Residential areas of offenders and family are more likely targeted, regardless of criminal opportunity.",Population size; Area size; Collective efficacy; Population density; Proportion of single-person households; Proportion of residents with a non-western background; Age of offenders; Gender of offenders,8,Number_of_Employees,1,Number of bars/restaurants/hotels; Collective efficacy,2,Euclidean Distance; Average Distance Replacement; Postal Code Areas; Travel Restrictions,4,"Former residential area of the offender; Distance between the offender's residential area and the crime location; Previous crime location; Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities; Number of employees; Neighbourhood disorder; Population density; Proportion of single-person households; Proportion of residents with a non-western background",9,24
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2018,Dongping Long; Lin Liu; Jiaxin Feng; Suhong Zhou; Fengrui Jing,Sustainability,NA,Long_2018_Assessing_Influence_Prior_Street_Robbery.pdf,China,ZG City,Average size of 1.62 km² per community,Street robbery,2016,"Not explicitly mentioned, but likely around 2016",Administrative unit,varies 0.001,1973,1262 street robberies.,1262.,Mixed logit,NA,Prior street robbery experiences strongly affect subsequent location choices.,Gender; Age; Hukou Status; Community Size; Social Cohesion; Collective Efficacy,6,GDP; Socioeconomic Heterogeneity; Amount of Lost Property or Money,3,High schools; Shopping malls; Transportation hubs; Bars and clubs; Cybercafés; Grocery stores; Hotels; Restaurants; ATMs; Banks; Subway stations; Bus stations; Surveillance cameras; Daily human mobility,14,Distance of Journey to Prior Robbery; Distance of Journey to Subsequent Robbery,2,Time Interval Between Two Robberies; Distance of Journey to Prior Robbery; Not Arrested in the Act of Prior Robbery; Distance of Journey to Subsequent Robbery; Transportation Hubs; Subway Stations; Bus Stations; Bars and Clubs; Cybercafés; Malls and Supermarkets; High Schools; Surveillance Cameras; Daily Human Mobility; Socioeconomic Heterogeneity,14,39
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,NA,Sophie Curtis,NA,NA,Curtis,New Zealand,Not specified,Median of 1.2 km² (range: 0.84 to 2.2 km² for 50% of areas),Residential burglaries,2009,NA,Statistical Area 2 (SA2) Census Units,"Median land area of 1.2 km², with 50% sized between 0.84 and 2.2 km²","2,153",NA,"17,054 residential burglaries, 10,353 non",Conditional logit,NA,Offenders are most likely to commit crimes in locations with high reliability and relevance.,Gender; Age,2,Number of premises per SA2; Number of business units in commercial or public industries,2,Number of households; Number of business units in any industry; Number of business units in commercial industries; Number of business units in commercial or public industries,4,Distance to activity nodes; Distance decay,2,Opportunity Variables; Distance Bands,2,12
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,2022,Alyssa W Chamberlain; Lyndsay N Boggess; Taylor Fisher,NA,NA,Chamberlain_2022_Traveling_Alone_Together.pdf,United States,"Tampa, Florida",NA,Burglary,January 2000 to September 2012,January 2000 to September 2012,Block group,Not specified,304,"4,920 burglary arrests.","7,124 burglary incidents.",Conditional logit,Stata,"Adult burglars travel further and are more sensitive to neighborhood conditions than juveniles, with little difference in target decisions due to group participation.",Racial/Ethnic Heterogeneity; Percent Occupied Housing Units; Percent Black Residents; Percent Latino Residents; Residential Stability,5,Concentrated Disadvantage; Residential Stability; Percent Occupied Housing Units; Gini Coefficient,4,Disorganized neighborhoods; Familiarity with neighborhoods; Activity spaces; Structural elements; Socially organized areas; Social distance; Routine activities; Hangouts and loitering hotspots,8,Euclidean Distance; Average Distance Traveled; Distance Squared,3,Time Period; Concentrated Disadvantage; Residential Stability; Racial/Ethnic Heterogeneity; Percent Occupied Housing Units; Gini Coefficient; Racial Composition; Discrete Choice Modeling Framework; Seemingly Unrelated Estimation,9,29
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2024,Liang Cai; Guangwen Song; Yanji Zhang,NA,NA,Cai_2024_Divergent_Decision-Making.pdf,China,ZG (city in southeast China),Average community size of 0.958km²,Burglary,2017,October 2019 (for mobility flows),Administrative unit (communities),Average size of 0.958km²,"1,652","1,972 burglary cases","1,972 burglary cases",Conditional logit,NA,Burglars' location choices are influenced by the social context of their residential neighborhood and the target neighborhood. Non,Population (log); Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Low educational attainment,4,"Unemployment rate; Low educational attainment; Share of non-locals; Overcrowding; Share of renters; Average rent price; Access to tap water, bath, and kitchen; Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Number of subway stations; Number of entertainment venues",11,Physical Disorder; Newer Buildings; Parks; Entertainment Venues,4,Distance from Burglar's Home; Subway Stations; Bus Stops,3,Time period; Mobility flows; Distance from home; Population size; Newer buildings; Subway stations; Bus stops; Parks; Entertainment venues,9,31
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,2022,Sophie Curtis,NA,https:// doi. org/ 10. 1007/ s11896,Curtis-Ham_2022_Relationships_Between_Offenders_Crime_Locations.pdf,New Zealand,Not specified (national scope),Median land area of SA2s = 1.2 km²,Residential burglaries,2009,"Not explicitly mentioned, but inferred to be during the study period",Administrative unit (Statistical Area 2),"Median land area of 1.2 km² (quartiles 0.84, 2.2 km²)",NA,"38,120","38,120",Conditional logit,NA,"Offenders are more likely to commit crimes near their activity locations, especially those visited frequently or providing relevant knowledge about crime opportunities.",Population Density; Household Size/Composition; Demographic Characteristics of Offenders,3,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries,4,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries; Schools; Prior crimes,6,Distance Bands; Median Nearest Neighbor Distance,2,Temporal Filter; Recency of Prior Crimes; Spatial Unit; Opportunity,4,19
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,2009,Wim Bernasco; Richard Block,NA,10.1111/j.  1745,BernascoBlock2009.pdf,United States,Chicago,NA,Robbery,1996,1996,Census tract,NA,844,"9,000 (3,000 for development + 6,000 for testing).","75,078 incidents.",Conditional logit,Stata,"Robbers tend to choose areas close to their homes, with similar racial and ethnic compositions, and areas with high concentrations of potential victims and crime generators like drug markets and prostitution.",Population size; Racial and ethnic composition; Collective efficacy; Age of offenders; Sex of offenders,5,"Presence of illegal markets; Cash-intensive businesses (check-cashing outlets, ATMs, pawn shops, bars); Deprived areas/cash economies; Retail employment",4,Presence of illegal markets; Check-cashing outlets; Automatic teller machines (ATMs); Pawn shops; Bars and taverns; Drug markets; Prostitution markets; High schools; Retail activities; Collective efficacy,10,Home-to-crime distance; Euclidean distance; Adjacency; Racial and ethnic dissimilarity; Gang territorial dissimilarity,5,Time and Place of Incident; Cross-Validation; Collective Efficacy; Social Barriers; Attractive Targets,5,29
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,2016,Alyssa W Chamberlain; Lyndsay N Boggess,NA,NA,NA,United States,"Tampa, Florida",NA,Burglary,January 2000 through September 2012,January 2000 through September 2012,Census block group,Not specified,334,"5,182 incidents.","7,124 burglary arrests.",Conditional logit,Stata 14.0,Burglary location choice is influenced by both target neighborhood characteristics and the offender's home neighborhood characteristics.,Residential Stability; Single-Parent Households; Racial/Ethnic Heterogeneity; Percentage of Black Residents; Percentage of Latino Residents; Social Disorganization; Social Cohesion,7,Concentrated Disadvantage Index; Median Income; Median Home Value; Percentage of Residents Below Poverty; Percentage of Unemployed; Percentage of Occupied Units,6,Routine Activities; Familiarity; Social Cohesion; Residential Instability; Racial/Ethnic Heterogeneity; Anonymity; Reduced Likelihood of Apprehension,7,Home-to-crime distance; Euclidean distance; Distance squared,3,Time Period; Normalization of Data; Euclidean Distance; Distance Squared; Centering of Distance Measures; Series of Models; Variance Inflation Factors,7,30
