S.No,,Article Title,Abstract,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI Link,Early Access Date,Date of Export
11,y,The usefulness of past crime data as an attractiveness index for residential burglars,"This study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model. We show that past crime data are an important index of a neighbourhood's attractiveness and can be combined with other attractiveness indices adapted from previous studies. We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500m grid cells) in Sendai City, Japan. The results showed that residential burglars were attracted to the following potential locations for crimes: (a) areas in proximity to his or her own residence; (b) areas having many or at least a higher proportion of residential burglaries in the past; (c) areas having many residential units; and (d) areas having a higher proportion of single-family dwellings. The results confirm the validity of past crime data as an index of a neighbourhood's attractiveness for residential burglary.",1544-4759,1544-4767,2018,15,3,257,270,http://dx.doi.org/10.1002/jip.1507,,22/02/2024
12,y,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,"Research demonstrates that crime is spatially concentrated. However, most research relies on information about where crimes occur, without reference to where offenders reside. This study examines how the characteristics of neighborhoods and their proximity to offender home locations affect offender spatial decision making. Using a discrete choice model and data for detected incidents of theft from vehicles (TFV), we test predictions from two theoretical perspectives-crime pattern and social disorganization theories. We demonstrate that offenders favor areas that are low in social cohesion and closer to their home, or other age-related activity nodes. For adult offenders, choices also appear to be influenced by how accessible a neighborhood is via the street network. The implications for criminological theory and crime prevention are discussed.",0011-1287,1552-387X,2015,61,3,454,480,http://dx.doi.org/10.1177/0011128714540276,,22/02/2024
13,y,AWARENESS x OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,"According to crime pattern theory, offenders likely commit crimes in areas where their awareness space overlaps with criminal opportunity. If both are necessary conditions for crime to take place somewhere, their influence on crime location choice likely depends upon one another. Interactions between two activity nodes-residential area of (1) offenders, (2) offenders' family-and two criminal opportunity indicators-number of bars/restaurants/hotels, collective efficacy-were tested and found (N = 13,088 any-crime-type offences committed by 5377 offenders): both residential area types were more often targeted than areas where offenders/family did not live, with no/lesser difference between low versus high criminal opportunity. Areas where offenders/family did not live were statistically significantly least often targeted when criminal opportunity there was low.",0007-0955,1464-3529,2018,58,5,1171,1192,http://dx.doi.org/10.1093/bjc/azx049,,22/02/2024
14,y,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"Objectives: This article examines the hypothesis that in street robbery location choices, the importance of location attributes is conditional on the time of day and on the day of the week. Method: The hypothesis is assessed by estimating and comparing separate discrete location choice models for each two-hour time block of the day and for each day of the week. The spatial units of analysis are census blocks. Their relevant attributes include presence of various legal and illegal cash economies, presence of high schools, measures of accessibility, and distance from the offender's home. Results: The hypothesis is strongly rejected because for almost all census block attributes, their importance hardly depends on time of day or day of week. Only the effect of high schools in census blocks follows expectations, as its effect is only demonstrated at the times and on the days that schools are open. Conclusions: The results suggest that street robbers' location choices are not as strongly driven by spatial variations in immediate opportunities as has been suggested in previous studies. Rather, street robbers seem to perpetrate in the environs of cash economies and transit hubs most of the time irrespective of how many potential victims are around.",0022-4278,1552-731X,2017,54,2,244,275,http://dx.doi.org/10.1177/0022427816680681,,22/02/2024
15,t,A framework for estimating crime location choice based on awareness space,"This paper extends Crime Pattern Theory, proposing a theoretical framework which aims to explain how offenders' previous routine activity locations influence their future offence locations. The framework draws on studies of individual level crime location choice and location choice in non-criminal contexts, to identify attributes of prior activities associated with the selection of the location for future crime. We group these attributes into two proposed mechanisms: reliability and relevance. Offenders are more likely to commit crime where they have reliable knowledge that is relevant to the particular crime. The perceived reliability of offenders' knowledge about a potential crime location is affected by the frequency, recency and duration of their prior activities in that location. Relevance reflects knowledge of a potential crime location's crime opportunities and is affected by the type of behaviour, type of location and timing of prior activities in that location. We apply the framework to generate testable hypotheses to guide future studies of crime location choice and suggest directions for further theoretical and empirical work. Understanding crime location choice using this framework could also help inform policing investigations and crime prevention strategies.",,2193-7680,2020,9,1,,,http://dx.doi.org/10.1186/s40163-020-00132-7,,22/02/2024
16,y,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING,"Explaining why crime is spatially concentrated has been a central theme of much criminological research. Although various theories focus on neighborhood social processes, environmental criminology asserts that the physical environment plays a central role by shaping people's activity patterns and the opportunities for crime. Here, we test theoretical expectations regarding the role of the road network in shaping the spatial distribution of crime and, in contrast to prior research, disentangle how it might influence offender awareness of criminal opportunities and the supply of ambient guardianship. With a mixed logit (discrete choice) model, we use data regarding (N = 459) residential burglaries (for the first time) to model offender spatial decision-making at the street segment level. Novel graph theory metrics are developed to estimate offender awareness of street segments and to estimate levels of ambient guardianship, distinguishing between local and nonlocal guardianship. As predicted by crime pattern theory, novel metrics concerning offender familiarity and effort were significant predictors of residential burglary location choices. And, in line with Newman's (1972) concept of defensible space, nonlocal (local) pedestrian traffic was found to be associated with an increase (decrease) in burglary risk. Our findings also demonstrate that taste preferences vary across offenders, which presents a challenge for future research to explain.",0011-1384,1745-9125,2017,55,2,344,376,http://dx.doi.org/10.1111/1745-9125.12133,,22/02/2024
17,n,Revisiting the choice model of Ponzi and Pyramid schemes: analysis of case law,"This exploratory study operationalizes the variables comprising the choice model of white collar crime through analyzing cases decided by federal courts, the Securities and Exchange Commission (SEC), and the Federal Trade Commission (FTC). Cases were extracted from the LEXIS-NEXIS, WESTLAW, and the NERA Economic Consulting databases and categorized according to the indicators of the choice model: size of pool of criminally predisposed, supply of lure, prevailing beliefs about credibility of external oversight, internal oversight and self-restraint, and supply of criminal opportunities. The findings show that unequal access to information among the investors and misuse of trust and affinity relationships affected the size of the pool of criminally tempted individuals. Supply of lure was affected through advances in modern technology and promises of wealth and material success at low costs and risks. Prevailing beliefs about the credibility of external oversight and internal corporate regulatory controls were affected by the efficiency and effectiveness of enforcement authorities. Variables described by the choice model of white collar crime can be operationalized through analysis of existing case law.",0925-4994,1573-0751,2013,60,4,375,400,http://dx.doi.org/10.1007/s10611-013-9456-8,,22/02/2024
18,y,Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"Previous research evaluating burglars' offending location choices has produced mixed findings about the influence of physical barriers and connectors on offender movement patterns. Consequently, this article utilises the discrete spatial choice approach to formally evaluate the impact of barriers and connectors on residential burglars' macro-level offending location choices. Data from Perth, Western Australia, demonstrated that physical barriers and connectors exert significant influence on offender decision-making at this level, and that the influence of impermeable barriers increases with proximity of these obstacles to the offender's point of origin. These findings provide formalised evidence for the independent importance of physical barriers and connectors in offender movement and are discussed with respect to current environmental criminology theory.",0004-8658,1837-9273,2009,42,2,139,158,http://dx.doi.org/10.1375/acri.42.2.139,,22/02/2024
19,only used distance,Crime location choices: A geographical analysis of German serial killers,"The present study examined whether there are different processes operating in the crime location choices between body-disposing and non-body-disposing serial killers and between sexual serial killers and acquisitive serial killers. A sample of 49 series of solved German serial killings is used to examine the differences in travelled distances between these groups of killers. Nonparametric tests revealed that body-disposing and non-body-disposing serial killers and sexual and acquisitive serial killers did not constitute subgroups of serial killers regarding their spatial behaviour. The results suggest that the compared groups are subjected to the same factors that influence their travelled distances. Furthermore, the possible role of planning and anticipated emotions in crime location choices of serial killers is discussed, as well as the limitations of the study and recommendations for future research.",1544-4759,1544-4767,2019,16,2,110,123,http://dx.doi.org/10.1002/jip.1521,,22/02/2024
20,n,Shame and rational choice in offending decisions,"This study examined the effects of shame proneness and two types of anticipated shame states-shame due to exposure and shame without exposure-in a rational choice model of offending intentions. Using scenario-based survey data from a sample of university students, it was found that (a) anticipated shame states without exposure reduced intentions to drive drunk and shoplift and (b) anticipated shame states due to exposure reduced shoplifting intentions. By contrast shame proneness had a positive effect on decisions to commit both drunk driving and shoplifting. The findings support the rational choice model of offending and indicate that the effects of shame are important components in individuals' decisions to offend.",0093-8548,1552-3594,1997,24,2,234,255,http://dx.doi.org/10.1177/0093854897024002006,,22/02/2024
21,y,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"ObjectiveAccording to routine activity theory and crime pattern theory, crime feeds on the legal routine activities of offenders and unguarded victims. Based on this assumption, the present study investigates whether daily mobility flows of the urban population help predict where individual thieves commit crimes.MethodsGeocoded tracks of mobile phones are used to estimate the intensity of population mobility between pairs of 1616 communities in a large city in China. Using data on 3436 police-recorded thefts from the person, we apply discrete choice models to assess whether mobility flows help explain where offenders go to perpetrate crime.ResultsAccounting for the presence of crime generators and distance to the offender's home location, we find that the stronger a community is connected by population flows to where the offender lives, the larger its probability of being targeted.ConclusionsThe mobility flow measure is a useful addition to the estimated effects of distance and crime generators. It predicts the locations of thefts much better than the presence of crime generators does. However, it does not replace the role of distance, suggesting that offenders are more spatially restricted than others, or that even within their activity spaces they prefer to offend near their homes.",0748-4518,1573-7799,2019,35,4,831,854,http://dx.doi.org/10.1007/s10940-019-09406-z,,22/02/2024
22,q,Structural predictors of choice: Testing a multilevel rational choice theory of crime,"Extant research has provided support for the micro-level predictions of rational choice models of crime. Yet, a central feature of the rational choice perspective in the broader social sciences-that it is multilevel in focus, situating individuals within broader community social structures-has been neglected within criminology. In this article, we discuss and test a model that links community structural characteristics to several individual expectations and preferences relevant to crime. Using data from the Pathways to Desistance study, we find that objective levels of neighborhood concentrated disadvantage influence individuals' perceptions of, and preferences for, the risks, costs, and rewards associated with offending indirectly by affecting perceived disorder and perceived opportunities for legitimate avenues of success within one's neighborhood. The implications of a multilevel rational choice model of offending are discussed.",0011-1384,1745-9125,2022,60,4,606,636,http://dx.doi.org/10.1111/1745-9125.12314,Jul-22,22/02/2024
23,n,Examining Police Effectiveness as a Precursor to Legitimacy and Cooperation with Police,"Numerous studies by Tyler and colleagues, as well as other scholars, support a normative, process model to account for variation in the public's cooperation with police in the USA and other developed nations. However, a recent study in Ghana suggests that in developing countries fraught with high levels of violent crime and corruption, cooperation may instead be accounted for by a utilitarian, rational-choice model. Our study examines whether public cooperation with police in the developing nation of Trinidad and Tobago is associated with the process model or rational-choice model. Using in-person structured interviews with residents, we examined whether victims' decisions to report to police were related to individuals' perceptions about police effectiveness or police legitimacy. We found support for the process model. We discuss possible explanations for the divergence with Tankebe's research in Ghana and suggest avenues for future research.",0741-8825,,2013,30,5,895,925,http://dx.doi.org/10.1080/07418825.2011.633544,,22/02/2024
24,n,An interrupted time series analysis of the differential impact of New Jersey's BAC legislation on driver and passenger crash fatalities,"Most research, drawing on deterrence and rational choice models of social action, examines the effects of reductions of blood alcohol concentration [BAC] limits to secure drunk driving convictions on the total volume of crash fatalities. This paper extends this work by investigating the impact of New Jersey's BAC legislation on total and disaggregated crash fatalities. The results from the interrupted times series analyses show that reducing the BAC limit to 0.8 has no effect on total or driver fatalities, but has a negative and lasting effect on passenger fatalities. The implications of these findings for future research are discussed.",0735-648X,2158-9119,2017,40,4,542,549,http://dx.doi.org/10.1080/0735648X.2016.1158660,,22/02/2024
25,n,"Opportunity, Choice, and Burglary Victimization in Taiwan","This study examined burglary victimization in Taiwan with an application of the structure-choice model that included four theoretical dimensions: proximity to crime, exposure to crime, target attractiveness, and guardianship. Drawing on the 2000 Taiwan Areas Criminal Victimization Survey, the results of the current study showed a moderate effect of the opportunity model on Taiwan's burglary victimization. Also, this study found both consistent and conflicting findings in the current data. The null effect of motorcycles (including scooters) that represented the concept of target attractiveness in relation to burglary risk reflected a difference in population density and transportation needs between Taiwan and the West. Clearly, the role of social context needs to be understood when studies apply a Western model to a non-Western context.",0306-624X,1552-6933,2015,59,8,873,891,http://dx.doi.org/10.1177/0306624X13520439,,22/02/2024
26,n,"Fraud against businesses both online and offline: crime scripts, business characteristics, efforts, and benefits","This study analyses 300 cases of fraudulent activities against Dutch businesses, 100 from each of the following three categories: CEO-fraud, fraudulent contract, and ghost invoice. We examine crime scripts, key characteristics of targeted businesses, and the relationship between input criminal effort and output financial benefit. Results indicate that whilst all CEO-frauds are conducted online, most of the fraudulent contracts and ghost invoices are undertaken via offline means. Both Routine Activity Theory and Rational Choice Model are evidenced-fraudsters clearly take the business size and seasonality into account, and the input criminal effort and output criminal benefit are positively correlated. Having vigilant employees is evidenced as the most effective way of fraud prevention, both online and offline.",,2193-7680,2020,9,1,,,http://dx.doi.org/10.1186/s40163-020-00119-4,,22/02/2024
27,n,The hit rates test for racial bias in motor-vehicle searches,"This paper exposits a rational choice model of police-motorist interactions originally developed in Knowles, Persico, and Todd (Knowles, J., Persico, N., Todd, P. [2001]. Racial bias in motor vehicle searches: Theory and evidence. Journal of Political Economy, 109, 203-299). It discusses how the model provides a test for detecting bias in police enforcement based on the success rate of searches and presents empirical evidence on the model's implications based on policing data from Maryland.",0741-8825,,2008,25,1,37,53,http://dx.doi.org/10.1080/07418820701717201,,22/02/2024
28,n,The Efficacy of Ideographic Models for Geographical Offender Profiling,"Current 'geographical offender profiling' methods that predict an offender's base location from information about where he commits his crimes have been limited by being based on aggregate distributions across a number of offenders, restricting their responsiveness to variations between individuals as well as the possibility of axially distorted distributions. The efficacy of five ideographic models (derived only from individual crime series) was therefore tested. A dataset of 63 burglary series from the UK was analysed using five different ideographic models to make predictions of the likely location of an offenders home/base: (1) a Gaussian-based density analysis (kernel density estimation); (2) a regression-based analysis; (3) an application of the 'Circle Hypothesis'; (4) a mixed Gaussian method; and (5) a Minimum Spanning Tree (MST) analysis. These tests were carried out by incorporating the models into a new version of the widely utilised Dragnet geographical profiling system DragNetP. The efficacy of the models was determined using both distance and area measures. Results were compared between the different models and with previously reported findings employing nomothetic algorithms, Bayesian approaches and human judges. Overall the ideographic models performed better than alternate strategies and human judges. Each model was optimal for some crime series, no one model producing the best results for all series. Although restricted to one limited sample the current study does show that these offenders vary considerably in the spatial distribution of offence location choice. This points to important differences between offenders in the morphology of their crime location choice. Mathematical models therefore need to take this into account. Such models, which do not draw on any aggregate distributions, will improve geographically based investigative decision support systems.",0748-4518,,2013,29,3,423,446,http://dx.doi.org/10.1007/s10940-012-9186-6,,22/02/2024
29,n,The application and robustness of the rational choice perspective in the study of intoxicated and angry intentions to aggress,"Using a rational choice framework, this study examines the effects of alcohol and anger on violent decision making. Male students of legal drinking age participated in a randomized experiment in which intoxication and anger levels were manipulated. Participants read a bar fight scenario and completed a series of questions measuring aggressive intentions and the perceived consequences of violence. Results indicate that alcohol and anger interacted to increase one measure of aggressivity, but the perceived costs and benefits of violence were unaffected. Exploratory analyses call into question the robustness of the rational choice model, suggesting that the perspective may not be the general explanation for crime it is proclaimed to be.",0011-1384,1745-9125,2002,40,4,933,966,http://dx.doi.org/10.1111/j.1745-9125.2002.tb00978.x,,22/02/2024
30,n,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"Neighborhood characteristics are important considerations when offenders make targeting decisions. Movement patterns among adults and juveniles vary widely, which impacts both the number of crime opportunities and the range of neighborhoods to which an offender is exposed. We test whether offending patterns among adult and juvenile burglars vary based on distances traveled, the types of neighborhoods targeted, and whether suspects acted alone or in a group. Using discrete choice modeling, we draw upon a unique sample of cleared burglaries in a representative city in the south over a 13-year period. Results show that adult burglars consistently travel further and are more sensitive to neighborhood conditions than their juvenile counterparts, but that group participation makes little difference in target decisions.",0011-1287,1552-387X,2023,69,11,2075,2101,http://dx.doi.org/10.1177/00111287211067177,Jan-22,22/02/2024
31,n,When to Refrain from Using Likelihood Surface Methods for Geographic Offender Profiling: An Ex Ante Test of Assumptions,"Likelihood surface methods for geographic offender profiling rely on several assumptions regarding the underlying location choice mechanism of an offender. We propose an ex ante test for checking whether a given set of crime locations is compatible with two necessary assumptions: circular symmetry and distance decay. The proposed (SDD) test compares the observed inter point distances of a given series of crimes with a theoretical distribution function governed by these assumptions, using a Monte Carlo simulation procedure for approximating that distribution function. We apply the SDD test to data on serial burglary from both the UK and the Netherlands. In most cases, the assumption of an underlying symmetric distance decay function has to be rejected. Copyright (C) 2011 John Wiley & Sons, Ltd.",1544-4759,,2011,8,3,242,256,http://dx.doi.org/10.1002/jip.141,,22/02/2024
32,y,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,"According to a rational choice theory of crime location choice, offenders commit crimes at locations where the mix of expected rewards and costs is optimal. The present study applied this general theory to a very specific crimeillicit drug dealing in an open air drug marketand tested it in the Red Light District and its neighboring area in downtown Amsterdam, the Netherlands. Data were collected in interviews with 50 dealers of illicit drugs and through systematic observations of the 262 street segments in the study area. It was expected that dealers prefer locations where expected earnings relative to invested time and effort is high and where the risk of apprehension is low. The quantitative findings seem to confirm that dealers go to places where the likelihood of successfully soliciting customers is high, but no evidence is found that they avoid places with informal or formal social control. Qualitative data collected in the same interviews reveal that dealers view social control as a nuisance and risk that can be evaded. We conclude by discussing the implications of our findings for criminological theory and research methods.",1043-9862,1552-5406,2015,31,4,376,408,http://dx.doi.org/10.1177/1043986215608535,,22/02/2024
33,y,How do residential burglars select target areas? A new approach to the analysis of criminal location choice,"This paper introduces the discrete spatial choice approach to the study of criminal target choice. The approach is used to assess whether residential burglars are attracted to target areas that are affluent, accessible, and poorly guarded. In addition, the importance of these criteria is postulated to vary across burglars. The theory is tested using data on 548 residential burglaries, committed by 290 burglars from the city of The Hague, the Netherlands. The likelihood of a neighbourhood's being selected for burglary is heightened by its ethnic heterogeneity, its percentage of single-family dwellings, and its proximity to where the offender lives. The results and prospects of the discrete spatial choice approach for spatial target selection research are discussed.",0007-0955,,2005,45,3,296,315,http://dx.doi.org/10.1093/bjc/azh070,,22/02/2024
34,y,"Location, Location, Location: Effects of Neighborhood and House Attributes on Burglars' Target Selection","Objectives To empirically test whether offenders consider environmental features at multiple spatial scales when selecting a target and examine the simultaneous effect of neighborhood-level and residence-level attributes on residential burglars' choice of residence to burglarize. Methods We combine data on 679 burglaries by 577 burglars committed between 2005 and 2014 with data on approximately 138,000 residences in 193 residential neighborhoods in Ghent, Belgium. Using a discrete spatial choice approach, we estimate the combined effect of neighborhood-level and residence-level attributes on burglars' target choice in a conditional logit model. Results Burglars prefer burglarizing residences in neighborhoods with lower residential density. Burglars also favor burglarizing detached residences, residences in single-unit buildings, and renter-occupied residences. Furthermore, burglars are more likely to target residences in neighborhoods that they previously and recently targeted for burglary, and residences nearby their home. We find significant cross-level interactions between neighborhood and residence attributes in burglary target selection. Conclusions Both area-level and target-level attributes are found to affect burglars' target choices. Our results offer support for theoretical accounts of burglary target selection that characterize it as being informed both by attributes of individual properties and attributes of the environment as well as combinations thereof. This spatial decision-making model implies that environmental information at multiple and increasingly finer scales of spatial resolution informs crime site selection.",0748-4518,1573-7799,2020,36,4,779,821,http://dx.doi.org/10.1007/s10940-019-09431-y,Oct-19,22/02/2024
