"Master_Title","Clean_Title","Match_Type"
"Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA)","LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS","Reverse Fuzzy (Clean in Master)"
"Location Choice of Snatching Offenders in Chennai City (Wards)","Location Choice of Snatching Offenders in Chennai City","Reverse Fuzzy (Clean in Master)"
"Modelling taste heterogeneity regarding offence location choices (Census output area)","Modelling taste heterogeneity regarding offence location choices","Reverse Fuzzy (Clean in Master)"
"Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA)","TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *","Reverse Fuzzy (Clean in Master)"
"Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA)","Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model","Reverse Fuzzy (Clean in Master)"
"The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice","The Importance of Importance Sampling","Reverse Fuzzy (Clean in Master)"
"A discrete spatial choice model of burglary target selection at the house-level","a_discrete_spatial_choice_model_of_burglary_target.pdf","Word Overlap (66.7%)"
"Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods","EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","Word Overlap (90%)"
"divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice","Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice","Word Overlap (80%)"
"Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice","AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE","Word Overlap (84.6%)"
