Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""STUDY CONTEXT & GEOGRAPHY""",quotes,num_quotes
"(Marchment & Gill, 2019)",Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),0.15,Northern Ireland,"- ""The findings support the proposition that terrorists make decisions that are guided by rationality and act in a similar way to urban criminals. A conditional logistic regression ascertained which characteristics increased the likelihood that an area would be selected as a target, using a dataset of attacks carried out by the Provisional Irish Republican Army in Belfast over a twentyyear period.""
  - ""Northern Ireland has been the setting for political violence from different Irish republican paramilitaries, with the mutual aim of removing British rule, since the partitioning of the island of Ireland in the 1920s.""
  - ""Belfast is the capital and largest city of Northern Ireland and is on the flood plain of the River Lagan.""
  - ""To test the hypotheses, we collected attacks by members of PIRA, living in the city of Belfast, Northern Ireland, in the period 1969-1989.""
  - ""The final offence and offender datasets comprised 150 attacks by 127 PIRA members within Belfast.""
  - ""The geographical boundary data for the SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA).""",,6
"(Johnson & Summers, 2015)",Lower_Super_Output_Area,Theft,0.2,United Kingdom,"- ""In the United Kingdom at least, this is a highvolume crime (see Chaplin, Flatley, & Smith, 2011) and hence of interest to scholars and the police alike.""
  - ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA). For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""
  - ""The aim of so doing was twofold. First, to test theories of spatial decision making for a different type of crime that is committed under different conditions to those examined hitherto, thereby testing the generality of the theoretical perspectives considered.""
  - ""Data for crimes detected by the police were acquired for the county of Dorset (UK) for the 5-year period January 1, 2001, to December 31, 2005.""
  - ""Using a discrete choice model and data for detected incidents of theft from vehicles (TFV), we test predictions from two theoretical perspectives-crime pattern and social disorganization theories.""",,7
"(Baudains et al., 2013)",Lower_Super_Output_Area,Riot-Related Incidents,0.33,United Kingdom,"- ""To do this, we use data for all riot-related incidents that occurred in London in August 2011 that were detected by the police.""
  - ""Predominantly, the riots took place in the highly populated areas of London, Birmingham, and Manchester.""
  - ""The police data consist of all offenses that were detected, and that were identified as having been associated with the riots, by the Metropolitan police for the period August 6-11, 2011.""
  - ""Data exist across the complete set of 4,765 LSOAs in the Greater London area, and each LSOA typically consists of around 1,500 residents.""
  - ""The results demonstrate that rioter target choices were far from random and provide support for all three types of theory, but for crime pattern theory in particular.""
  - ""Most crimes were incidents of burglary or theft, which supports the common view that looting was prevalent during the riots, and therefore, it may have influenced the target choice of offenders.""",,7
"(Rowan, Appleby & McGloin, 2022)",Census_block_group,Group Crime,0.37,United States,"- ""Data include street connectivity measures from the Environmental Protection Agency and publicly available arrest information from Baltimore City (2013-16).""
  - ""The current study extends crime pattern theory and addresses this gap in the co-offending literature by considering whether the distribution of co-offences across census block groups in Baltimore City (Maryland) is related to measures of activity nodes and 'connected' street networks, net of the solo crime rate.""
  - ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""The average census block group in Baltimore has 2.4 census blocks, is .14 square miles, and has an average of 953 residents.""
  - ""The outcome of interest in this study is the rate of group crime events in a given census block group.""
  - ""We estimated the overall solo crime rate per 100 people within a census block group by totalling the number of solo crime incidents, dividing it by the total population, and multiplying it by 100 to provide a standardized rate.""
  - ""The fact that only pedestrian-oriented (as opposed to auto-oriented) street connectivity significantly predicted rates of group crime across the census block groups provides preliminary evidence for the type of connectivity that may facilitate group behaviour.""",,11
"(Frith, 2019)","Census_output_
areas",Serious Acquisitive Crime (Sac),0.44,United Kingdom,"- ""This study therefore contributes to the criminological literature by: 1. By estimating the presence and scale of preference variation, including for the first time using the LCL, across a different sample of offenders.""
  - ""For these analyses, revealed preference data for 1,105 recorded3 and solved4 SAC in York committed by 687 offenders living in York between April 2008 and March 2012 were collected.""
  - ""To this end, this study uses the latent class (and mixed and conditional logit) to examine the offence location choices of serious acquisitive crime offenders in York (UK).""",,3
"(Bernasco et al., 2015)",Lower_Level_Super_Output_Area_(LSOA),Burglary,0.51,United Kingdom,"- ""Using data in 3,337 detected burglaries from one UK police force,""
  - ""Data were acquired for all detected residential burglaries committed between January 2007 and December 2012 in the West Midlands, a large metropolitan UK police force""
  - ""The study reported here aims to further explore questions of repeat crime location choices and differs in three key aspects from the study by Lammers et al. (2015). First, it used data from another country (United Kingdom).""
  - ""A residential burglary is the actual or attempted illegal entry into a dwelling with the intent to steal (Bernasco, 2014).""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary.""
  - ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis. LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""",,6
"(Bernasco, 2006)",Neighborhood,Burglary,0.65,Netherlands,"- ""The Hague is situated at the coast of the North Sea. With a population of about 440,000, it is the third largest city in the Netherlands.""
  - ""To test the hypotheses, data were used that pertain to all detected residential burglaries committed by burglars living in the city of The Hague, the Netherlands, in the period 1996-2004.""
  - ""Data on residential burglaries were obtained from the police force that services the greater The Hague area.""
  - ""The Hague comprises of 89 residential neighbourhoods. The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""
  - ""Using data on residential burglaries and residential burglars in The Hague, this study addresses the issue of whether solitary offenders choose their target areas differently from the way offender groups do.""",,5
"(Bernasco & Nieuwbeerta, 2005)",Neighborhood,Burglary,0.65,Netherlands,"- ""The theory is tested using data on 548 residential burglaries, committed by 290 burglars from the city of The Hague, the Netherlands.""
  - ""The Hague is situated at the coast of the North Sea. With a population of about 440,000, it is the third largest city in the Netherlands.""
  - ""In this paper, the discrete spatial choice approach is applied to analyse residential burglars' target area choice in the city of The Hague.""
  - ""Data on residential burglaries were obtained from the Haaglanden (greater The Hague area) police force.""
  - ""The Hague comprises 89 residential neighbourhoods. The average neighbourhood has a surface of 0.65 square kilometres, is home to 4,952 residents and contains 2,380 residential units (DSO 2001).""",,5
"(Bernasco & Block, 2009)",Census_tract,Robbery,0.7,United States,"- ""Testing the model on cleared robbery cases in Chicago in the years 1996-1998,""
  - ""Our empirical investigation of robbery location choice in Chicago builds on theoretical approaches and empirical studies that deal with the selection of attractive targets, the length of the journey to crime, the effects of racial and ethnic barriers to urban travel, the spatial aspects of gang territoriality, and the collective efficacy of residential communities.""
  - ""In the current article, we are interested in the second type of question: What characteristics make a certain area an attractive hunting ground for offenders?""
  - ""The model is estimated using a unique set of data on cleared robbery cases in Chicago and the offenders involved in them, on the communities where the offenders reside, and on those where they attack their victims.""
  - ""Data on the population size and the racial and ethnic composition of the 865 census tracts in the city of Chicago in 2000 were taken from the public files of the U.S. Census Bureau.""
  - ""Data on robbery incidents and arrests during the years 1996-1998 were generated from CPD records.""
  - ""the spatial unit of analysis applies to the definition of what it is that offenders choose when they decide where to offend. In line with many other studies of spatial choice (Block and Block, 1995;Boggs, 1965;Velez, 2001), we use the census tract as our unit of analysis of location choice.""",,8
"(Vandeviver & Bernasco, 2020)",Statistical_districts,Burglary,0.79,Belgium,"- ""We combine data on 679 burglaries by 577 burglars committed between 2005 and 2014 with data on approximately 138,000 residences in 193 residential neighborhoods in Ghent, Belgium.""
  - ""To study burglars' target choices, we apply the discrete choice framework to burglary location choices,""
  - ""The analysis of burglary target choice should thus preferably define 'residence' as its main unit of analysis""
  - ""The Census subdivides Ghent in geographical entities called 'statistical districts', of which 193 have a residential function.""",,4
"(Curtis-Ham et al., 2025)",Statistical_Area,Burglary,1.2,New Zealand,"- ""Using discrete choice models, we analyzed offenders' pre-offense activity locations from police data (home addresses, family members' home addresses, work, school, prior offenses, victimizations, non-crime incidents, and other police contacts) and 17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offenses, in New Zealand.""
  - ""The general pattern of results-supporting H1(a) to (c)-was that offenders were more likely to commit crime near to activity nodes that were high on both reliability and relevance, lower in proximity to activity nodes that were high on only reliability or relevance and lowest in proximity to activity nodes that were low on both reliability and relevance.""
  - ""the alternatives are the neighborhoods (""Statistical Area 2"" Census Units, or ""SA2s"") from which offenders are selecting when deciding where to commit crime.""
  - ""The dataset and data cleaning steps have been described extensively in other studies (Curtis-Ham et al., 2021a , 2022b). Initially, we collected all burglary, robbery, and extrafamilial sex offenses committed between 2009 and 2018 where an offender had been identified with sufficient evidence to prosecute.""
  - ""The study illustrates both the opportunities and challenges involved in employing this methodological paradigm with police administrative data.""",,12
"(A. Chamberlain et al., 2022)",Block_groups,Burglary,1.36,United States,"- ""We test whether offending patterns among adult and juvenile burglars vary based on distances traveled, the types of neighborhoods targeted, and whether suspects acted alone or in a group.""
  - ""Using discrete choice modeling, we draw upon a unique sample of cleared burglaries in a representative city in the south over a 13-year period.""
  - ""The current study assesses how neighborhood socioeconomic and demographic characteristics might differentially influence which neighborhoods are ultimately selected for crime between adults and juveniles, and whether group-offending dynamics alter these selections.""
  - ""In this study, we use a valuable dataset comprised of all suspects arrested for burglary over a 13-year period in Tampa, Florida.""
  - ""We focus on burglary as it is an instrumental crime that may necessitate a higher level of awareness prior to commission and less likely to be motivated by emotion than homicide or assault.""
  - ""We use data from the Tampa, Florida between January 2000 and September 2012.""",,8
"(Curtis-Ham et al., 2022a)","Statistical_Area_
2",Burglary,1.41,New Zealand,"- ""This study leverages a large national dataset of offenders' pre-crime activity locations recorded in a police database, in a previously unresearched context (New Zealand)""
  - ""Using discrete spatial choice models, we identified relationships between proximity to pre-crime activity locations recorded in a police database (e.g., offenders' homes, family members' homes, schools, prior crimes, and other police interactions) and the locations of 17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offences in New Zealand.""
  - ""The data included both serial offenders, whose crimes prior to the reference offence counted as prior crime nodes, and one-off offenders with no prior crimes but at least one other pre-offence activity node. We analysed 17,054 residential burglaries, 10,353 nonresidential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offences.""",,10
"(Song et al., 2019)",Census_unit,Theft,1.62,China,"- ""The data for the present research originates from ZG City,1 a city located in southeast China.""
  - ""TFP is a very common offence in China and elsewhere. It covers theft and attempted theft of items (e.g. cash, phone) directly from the victim without the use or threat of physical force.""
  - ""In the present paper, we focus exclusively on 'theft from the person' or TFP, a non-violent property offense committed in public or semi-public places, excluding burglaries and thefts from vehicles.""
  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""
  - ""The study area is located in the central part of ZG City, and covers more than 3000 km 2""",,7
"(Long et al., 2021)",Community,Robbery,1.62,China,"- ""ZG City is located in the northern part of the Pearl River Delta, on the southeastern coast of China.""
  - ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2""
  - ""The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""
  - ""Crime data on arrested street robbers and their offenses between 2012 and 2016 were provided by the ZG Municipal Public Security Bureau.""
  - ""The basic situation of street robbery cases based on the arrest data. (N = 4358).""
  - ""this study examines the impacts of ambient population and surveillance cameras on street robbery, accounting for the covariates such as crime generators and attractors, accessibility and proximity, and social disorganization.""",,6
"(Long & Liu, 2021)",Neighborhood,Robbery,1.62,China,"- ""Using a kernel density estimation and the discrete spatial choice modeling, we combine the offender data, POI data, and mobile phone data to explain the crime location choice of the street robbers who committed offenses and were arrested from 2012 to 2016 in ZG City, China.""
  - ""ZG City-one of the largest cities in Southeast China [19]. In 2018, the resident population was 14.9 million, and the GDP of the city was 2.30 trillion with an annual growth rate of 6.50%. Due to the influx of large numbers of immigrants, ZG City has become the best place for study on the crime location choice of street robbers under different household registration attributes.""
  - ""Street robbery seriously affects public safety and lifestyles. The comparative research between native and migrant street robbers can find out the difference of crime location choice among them, providing insight for targeted crime prevention and control strategies.""
  - ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""",,4
"(Long & Liu, 2022)",Neighborhood,Robbery,1.62,China,"- ""This study examines 7860 street robberies committed by 4358 street robbers between 2012 and 2016 in ZG city, China.""
  - ""ZG City is one of the major cities in the southeast coastal region of China, a national central city and the core of the Guangdong-Hong Kong-Macao Greater Bay Area, and has been the political, economic, scientific, educational, and cultural center of southern China.""
  - ""this study is concerned with street robbery.""",,4
"(Long et al., 2018)",Community,Robbery,1.62,China,"- ""ZG City is located at the northern part of the Pearl River Delta, on the southeastern coast of China.""
  - ""The data set used in this study includes 1262 detected robberies committed by 527 street robbers from the ZG City Public Security Bureau in China.""
  - ""The dataset contains information on offenders of cleared robberies.""
  - ""Street robbers use threats or physical force to take property away from their victims [3]. Similar to existing research, the ""cleared"" street robbery is one that has been reported to the police, and at least one person has been prosecuted.""
  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""",,5
"(Kuralarasan & Bernasco, 2022)",Wards,Theft,2.18,India,"- ""The present study contributes to this line of research by investigating the location choices of snatching offenders in Chennai City, India.""
  - ""The data comprise 1573 police-recorded snatching offenses committed by 1152 identified offenders across the 201 wards of Chennai City.""
  - ""Snatch theft involves stealing valuables from a victim with or without force (Curran et al. 2005;Patel 2016).""
  - ""It consists of 201 wards with an average surface area of 2.18 km 2 (quartiles 0.97, 1.61 and 2.53) and an average population of 33,195 (quartiles 21,451, 36,560 and 43,622)""
  - ""The study area for the present research is the Greater Chennai City Corporation, a metropolitan area with a population of over 6.6 million during the latest census in 2011.""",,6
"(S. van Sleeuwen et al., 2021)",Neighborhood,Multiple Types,2.63,Netherlands,"- ""Regarding the specific type of offences, the following frequencies were observed for the 71 offences in the dataset: two residential burglaries, nine thefts of/from a bicycle, car or other (motor) vehicle, 40 thefts from a shop/shoplifting, 14 assaults, and six acts of vandalism.""
  - ""The results show that almost 40% of the offences are committed within the neighbourhoods of offenders' activity nodes, increasing to 85% when including first-, second-and third-order neighbourhoods.""
  - ""The survey first asked to report on daily and weekly routine activities, categorized in seven different domains: (1) residences, (2) schools, (3) jobs, (4) sports activities, (5) shopping, (6) going out, and (7) any other activities, for which respondents could specify the type of activity themselves.""
  - ""After obtaining permission of the Ministry of Justice and Security and Dutch National Police for our study design and a positive advice from the Ethics Committee for Legal and Criminological Research of the Vrije Universiteit Amsterdam, data on suspects from the Dutch police regions The Hague and North-Holland for the year 2017 were obtained.""",,6
"(Menting et al., 2020)",Neighborhood,Theft,2.63,Netherlands,"- ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""
  - ""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""
  - ""the victimization and offending domains were subdivided into crime type subdomains: (1) theft of a car/motor/bicycle, (2) other theft, (3) burglary, (4) vandalism, (5) robbery, (6) violence, (7) trafficking drugs (offending only) and ( 8) trafficking weapons (offending only).""
  - ""The 78 offenders in our sample reported a total of 140 offences committed in the study area in the three years (mean = 1.8 per offender, range = 1-8; n per type: 52 violent offences, 46 thefts, 19 acts of vandalism, 16 drug trafficking offences, 4 burglaries, 2 robberies and 1 weapons trafficking offence).""",,5
"(Xiao et al., 2021)",Community,Burglary,2.74,China,"- ""Using data on 3860 residential burglaries committed by 3772 burglars between January 2012 and June 2016 in ZG city, China,""
  - ""In order to test the hypotheses, this study analyzed residential burglary data obtained from the Municipal Public Security Bureau of ZG city, 1 a large city located in the southern part of China.""
  - ""All residential burglaries were geocoded to one of the 2643 communities in ZG city.""
  - ""Communities have a relatively homogeneous population and their average size is 2.74 km-sq.,""
  - ""This study first presents the distribution of the barrier variables as well as their respective bivariate relationships with the residential burglary locations in ZG city""
  - ""This burglary location choice study from China tested how physical and social barriers affect which areas are targeted by residential burglars.""",,6
"(Yue et al., 2023)",Community,Theft,2.81,China,"- ""This study is conducted in ZG city, a megacity in southeast China.""
  - ""Finally, there were 1540 street theft crimes in the selected communities of the study area.""
  - ""The type of crime studied in this paper is street theft crime, which includes snatching, pickpocketing, and theft from the person that happened in the public open space.""
  - ""There are 2643 communities in the ZG city, and this study takes the community as the spatial unit of analysis.""
  - ""With an urbanization rate of 86.46%, the population of permanent residents in the city amounted to 15.30 million in 2019.""",,5
"(Lammers et al., 2015)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Unique data from four different data sources are used to study the crime location choices of 3,666 offenders who committed 12,639 offenses.""
  - ""The results indicate that prior crime locations strongly influence subsequent crime location choices.""
  - ""This study contributes two key innovations to the literature. First, we theorize the effects of prior crime locations.""
  - ""To test our hypotheses, multiple study variables were constructed based on these offenses. First, for each offense and the associated 142 alternative postal code areas, a dichotomous variable previously chosen (0 = no; 1 = yes) was constructed to indicate whether the offender had committed a prior offense in that particular postal code area in the previous 3 years (to test hypothesis 1).""
  - ""The dependent variable is dichotomous, with a value of 1 indicating the area that was chosen by the offender to commit the offense, and 0s for all other postal code areas.""
  - ""the study sample, all their registered offenses in the period 2006-2009 in the greater The Hague area were used in the analyses, as well as""
  - ""The offenses were categorized into eight different crime type categories: violence, property, vandalism, traffic, environmental, drugs, weapons, and other (based on Statistics Netherlands, 2014).""
  - ""The results presented, in particular the finding that repeat offenders are attracted to locations in the proximity of where they recently committed a crime, is consistent with the finding that the same offenders are involved in the majority of (near-) repeat cases (Bernasco, 2008;Johnson, Summers, and Pease, 2009).""",,10
"(Lammers, 2017)",Postal_code_area,Burglary,2.96,Netherlands,"- ""In total, 4,654 offenders from the greater The Hague region in The Netherlands were studied.""
  - ""This co-offended crime had to be committed between 2006 and 2009 in the greater The Hague region.""
  - ""Various crime types are included in the study, the most common crime types are burglary, theft, public disorder crimes and assault.""",,3
"(Menting et al., 2016)",Postal_code_area,Not Specified,2.96,Netherlands,"- ""This study combines police data on 7,910 offenders in the greater The Hague area in the Netherlands and the 19,420 offenses they committed with unique and detailed data to reconstruct the residential histories of their parents, siblings, and children.""
  - ""The results of discrete spatial choice models showed that residential areas of family members are indeed at increased risk of being targeted.""
  - ""The findings may also not apply equally to all offenders as relations between offenders and their families are sometimes difficult or estranged.""
  - ""the study focused only on people who both lived and committed crimes in the greater The Hague area.""",,4
"(S. E. M. van Sleeuwen et al., 2018)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Data on 12,639 offenses committed by 3,666 repeat offenders in the Netherlands are analyzed using discrete spatial choice models.""
  - ""The area comprises of nine municipalities around-and including-the city of The Hague, the third largest city in the Netherlands.""
  - ""These postal code areas have an average population of approximately 7,000 residents and an average area size of about 2.96 km 2""
  - ""The dependent variable represents the choice outcome, that is, the target area the offender has selected from the set of alternative areas.""
  - ""We examine the timing of offenders' crime location choices using offenses with a clear geographic location, such as robbery, burglary, theft, and assault.""
  - ""The crime types were based on the classification scheme as used by Statistics Netherlands (2014): violence, property, vandalism, traffic, environmental, drugs, weapons, and other types of crime.""",,7
"(Bernasco, 2010a)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands.""
  - ""During the years 2004 and 2005, these 3,784 offenders committed a total of 7,179 offenses that were classified as either residential burglary, theft from vehicle, robbery, or assault.""
  - ""The sample was stratified by the type of offense offenders most recently were charged with, so 1,000 offenders were selected whose most recent offense was a residential burglary, 1,000 whose most recent offense was theft from a car, and so on.""
  - ""The second source of data is the population registration data, which are held in a nationwide information system (Dutch acronym GBA) used by Dutch municipalities and several other agencies, to keep track of birth, death, nationality, marriage, divorce, childbirth, and residential addresses of all Dutch citizens.""
  - ""The first data source is a police information system used by the Greater The Hague Police Force that was designed to support crime investigations.""",,6
"(Bernasco, 2010b)",Postal_code_area,Burglary,2.96,Netherlands,"- ""The empirical analysis distinguishes small residential areas approximately the size of a football field, containing only 18 residential units and 40 residents on average.""
  - ""Data for the present analyses were provided by the Haaglanden (greater The Hague area) police force.""
  - ""The police force services a geographical area of 400 sq. km that houses a population of one million residents and 460,000 residential units.""
  - ""the study area (Greater The Hague Area) measures 400 sq. km, and houses a population of 1,000,000 residents in 460,000 residential units.""
  - ""The available data on the attributes of postal codes is limited and refers mostly to the location, the population (number of residents, age, ethnic composition), and the residential units (number of properties and average value) in the area.""
  - ""We analyze the burglary location choice in 1,311 burglaries that involved 1,023 offenders.""",,6
