Title,Study_Period,Data_Collection_Period,Data_Sources,Data_Availability,Population_per_Unit,Quoted_Rationale,Rationale_Category,Justification_Summary,Country,City_Region,Study_Area_Size,Crime_Type,Crime_Types_All,Sample_Size,Number_of_Crimes_Analyzed,Number_of_Offenders,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Sample_Restrictions,Sample_Limitations,Study_Design,Discrete_Choice_Model,Estimation_Method,Model_Comparison,Sample_Size_Effects,Robustness_Checks,Significant_Predictors,Effect_Directions,Scale_Effects,Scale_Sensitivity,Scale_Recommendations,Scale_Limitations,Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Data_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
Burglar Target Selection: Netherlands Study (The Hague),NA,NA,"Municipal Agency for Urban Development (The Hague, Netherlands)",Limited by inconsistency in measuring residential real estate value across regions,NA,"""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Netherlands context - Neighborhoods)""",Data availability / Admin convenience,"Spatial units chosen based on equivalence in size of burglar population and number of targets for Netherlands context, likely due to data availability and administrative convenience.",Netherlands,The Hague,NA,Residential burglary,NA,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).","Not explicitly mentioned, but focus on solo offenders.",Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,"Removal of incidents involving multiple offenders, focus on cleared burglaries attributed to local offenders.",NA,Cross-sectional,Conditional logit,Maximum likelihood,Pooled vs. expanded models compared using bivariate Wald tests,NA,NA,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,Proximity to offenders' homes shows strongest effect in The Hague context (odds ratio: 1.67) due to neighborhood-level spatial organization.,"Results vary with different spatial scales and environmental contexts, such as urban morphology and public transport systems.",Future research should apply the behavioral rule in more study regions to assess meaningful differences.,Differences in neighborhood size and target density affect the results.,Not mentioned.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
Burglar Target Selection: United Kingdom Study (Birmingham),NA,NA,ONS (United Kingdom),Limited by inconsistency in measuring residential real estate value across regions,NA,"""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (UK context - Super Output Areas)""",Data availability / Admin convenience,"Spatial units chosen based on equivalence in size of burglar population and number of targets for UK context, likely due to data availability and administrative convenience.",United Kingdom,Birmingham,NA,Residential burglary,NA,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).","Not explicitly mentioned, but focus on solo offenders.",Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,"Removal of incidents involving multiple offenders, focus on cleared burglaries attributed to local offenders.",NA,Cross-sectional,Conditional logit,Maximum likelihood,Pooled vs. expanded models compared using bivariate Wald tests,NA,NA,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,Proximity to offenders' homes shows strong effect in Birmingham context (odds ratio: 1.90) at Super Output Area level.,"Results vary with different spatial scales and environmental contexts, such as urban morphology and public transport systems.",Future research should apply the behavioral rule in more study regions to assess meaningful differences.,Differences in neighborhood size and target density affect the results.,Not mentioned.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Birmingham, UK context due to differences in target densities and Super Output Area characteristics.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,January 2012 to June 2016,January 2012 to June 2016,The Municipal Public Security Bureau of ZG city; census data from 2010,Limited to arrested burglars; data from non-arrested burglars not included,NA,"""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""",Prior research / Data availability,Communities were chosen due to their homogeneous population and consistency with other studies.,China,ZG city,Average community size is 2.74 km-sq,Residential burglary,NA,3860 choice observations or events.,3860 residential burglaries.,3772 unique offenders.,"The study used data on 3860 residential burglaries committed by 3772 burglars, focusing on arrested offenders only.",Choice sets were constructed by considering physical barriers between the centroid of a burglar's residential community and potential target communities.,Alternatives were selected based on physical barriers between origin and destination.,Limited to arrested offenders only; excluded burglars with unknown Hukou status and those living outside of ZG city or whose home locations could not be geocoded.,NA,Cross-sectional,Conditional logit,Weighted exogenous sample maximum likelihood (WESML),Model 4 has the highest goodness of fit compared to models 2 and 3.,Not mentioned.,NA,"Distance from home, physical barriers (rivers and major roads), social barriers (local vs. nonlocal communities).",Physical barriers decrease targeting likelihood; being closer to home increases targeting likelihood.,"The study found that crossing multiple rivers has a cumulative blocking effect, but no such effect was observed for major roads.","The results varied with different types of barriers; multiple rivers had a stronger effect than single rivers, but multiple major roads did not have a stronger effect than single major roads.",Not mentioned.,Not mentioned.,Not mentioned.,"Limited to arrested burglars, which may not represent all burglars.",Lack of direct income level data; substituted with indirect measures.,Temporal mismatch between census data (2010) and burglary data (2012-2016).,NA,Temporal mismatch affects social barrier and control variables.,NA,The findings are specific to arrested burglars in ZG city and may not generalize to all burglars in the city or to other contexts.,"The study's findings are specific to the Chinese context, particularly the distinction between local residents and domestic migrant workers.","The study uses census data from 2010 for analysis of data from 2012 to 2016, introducing a temporal mismatch that limits comparisons across time periods.",Consider the impact of physical and social barriers at various scales.,Include more direct measures of wealth and address temporal mismatches in data collection.,Improve analytical approaches by including non-arrested burglars and addressing data limitations.,"Proportion of local residents with ZG city Hukou status; Community categorization by majority population type (local, domestic migrant, mixed); Social barriers based on Hukou status; Limited social network overlap; Number of households in a community",5,"Proportion of houses built after 2000; Average rent price; Rent categories (no rent, low, medium, high); Number of households",4,Proportion of high-rise buildings; Proportion of houses built after 2000; Natural log of the number of households; Average rent price,4,Physical Barriers; Distance Measure; Accessibility Measure,3,Time Period; Distance; Affluence Measures; Building Type; Household Count,5,21
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,2006-2009,2006-2009,Police information system of the greater The Hague Police Service; population registration data (BRP); LISA database; Statistics Netherlands,Data not specifically sampled for co-offending; only police arrest data on cleared offences used; potential issues with incomplete data on offender groups,"Average population size of 7,000","""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b), it is plausible that those living in or frequently visiting such an area will be familiar with it.""",Admin convenience / Practical constraint,"Chosen due to design for minimal travel restrictions, making them practical and convenient for analysis.",The Netherlands,The greater The Hague region,2.96 km² (average size of four-digit postal code areas),"Various (most common: burglary, theft, public disorder crimes, assault)",NA,"2,926 groups of offenders.","6,283 crimes, with 3,612 co-offended.","4,654 offenders.","Started with a sample of 10,000 offenders from previous reports and excluded those not meeting specific criteria.",142 four-digit postal code areas of the greater The Hague region.,Geographical set of postal code areas.,"Excluded non-felony crimes, offenders under 12, those without valid addresses in the study area or at the time of the offense.",NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Current home location, previous home locations, previous crime locations.",Areas known to multiple offenders are more likely to be targeted.,"The paper notes that using a four-digit postal code area as the spatial unit of analysis could be considered large, and smaller units like six-digit postal code areas could be used.",Not mentioned.,Not explicitly mentioned.,"The use of a four-digit postal code area is noted as potentially large, and smaller units could increase spatial interdependence issues.",Not mentioned.,Police arrest data may over-represent co-offending; data biased due to differences between arrested and non-arrested offenders.,Lack of data on non-arrested offenders; potential overestimation of shared awareness space.,Reliance on police arrest data; only includes cleared offenses.,Awareness space measured using only home and crime locations; misses other areas like work or school.,Study limited to crimes between 2006 and 2009.,NA,"Limited to the greater The Hague region, which restricts generalizability to other areas.",Findings are specific to the greater The Hague region and may not apply elsewhere.,No direct comparisons across different contexts or time periods.,Study larger areas to generalize findings.,Interview offenders to gather more detailed information about their awareness spaces and co-offending networks.,Use more detailed spatial units or incorporate additional data sources.,Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Population density,4,"Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Number of retail stores; Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities",5,Retail stores; Hotels; Restaurants; Bars; Schools; Cultural facilities; Health care institutions; Sport and leisure facilities; Population density,9,Home Location; Previous Home Location; Previous Crime Location,3,Area Characteristics; Home Location; Previous Home Location; Previous Crime Location; Shared Awareness Space,5,26
Co-offending and the Choice of Target Areas in Burglary,1996-2004,1996-2004,Police force that services the greater The Hague area,Limited by a low detection rate of 7%,4952 residents,NA,Not specified,"The use of residential neighborhoods as spatial units is likely due to data availability and administrative convenience, although not explicitly justified in the paper.",Netherlands,The Hague,89 neighborhoods with an average area of 0.65 square kilometers each,Residential burglary,NA,1174 residential burglaries.,1174 residential burglaries.,750 unique offenders.,Comprehensive sampling of detected residential burglaries in The Hague from 1996 to 2004.,Neighborhoods as potential target areas based on distance from offender's home.,Based on distance and neighborhood characteristics like physical accessibility and social disorganization.,Detected residential burglaries by offenders living in The Hague; detection rate of 7%.,NA,Cross-sectional,Conditional logit,Maximum likelihood,Not mentioned (no comparisons between different model specifications),Not mentioned (no discussion on how sample size affected model performance),NA,"Physical accessibility, proximity to the home neighbourhood.",Increase choice probability.,"The study uses neighbourhoods as the spatial unit of analysis, with an average area of 0.65 square kilometers. Distance decay patterns and preferences for nearby neighbourhoods as targets are noted.",Not mentioned.,Not mentioned.,The study is limited by not accounting for burglaries committed outside the city boundaries.,Not mentioned.,Low detection rate (7%) could bias results if related to location choice criteria.,Potential incompleteness of police data on number of offenders involved.,Reliance on police data with low detection rate and potential incompleteness.,Potential underestimation of co-offenders due to incomplete data.,"Study covers 1996-2004, but no specific temporal issues mentioned.",NA,Findings may not be generalizable to other cities or contexts.,Findings are specific to The Hague and may not apply to other cities or regions.,The study does not provide a basis for comparison across different cities or contexts.,Focus on neighborhood-level analysis.,Improve data on co-offending dynamics and non-arrested accomplices.,Address low detection rates and their impact.,Residential Mobility; Ethnic Heterogeneity; Number of Properties; Average Neighbourhood Area; Number of Residents,5,Average Value of Residential Properties; Percentage of Owner-Occupied Properties; Mean Income per Resident,3,[Architectural_Features; [Public_Facilities; [Residential_Units; [Physical_Accessibility; [Social_Accessibility,5,Home-to-crime distance; Distance to city centre; Physical accessibility,3,Number of properties in a neighbourhood,1,17
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"June 1st, 2014 to May 30th, 2016","Wednesday, December 28, 2016 (for mobile phone data)",Crime data from police authorities of ZG City; Mobile phone location data from a major mobile phone service provider in China,Limited by exclusion of cases due to lack of geographic detail; Only 4G users' data from one mobile phone network provider,"Average 5956, range 245-51,450","""because census units have a size similar to those in comparable studies, because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""",Prior research / Theory–method,"Census units were chosen for their similarity in size to previous studies, equal size, and homogeneity in population composition, aligning with theoretical and methodological considerations.",China,ZG City,More than 3000 km²,Theft from the person (TFP),NA,3436 cases of TFP.,3436.,"Not explicitly mentioned, but originally 12,670 offenders.","Census units were used as spatial units; initially 1891 units, but 275 were excluded due to limited mobility data, leaving 1616 units.",1616 census units as alternatives.,Based on crime generators and mobility flows.,"Solitary offenders, weekdays, valid location information.",NA,Cross-sectional,Conditional logit,Not mentioned (likely maximum likelihood),Distance outperforms mobility flow; both outperform crime generators,NA,NA,"Distance, mobility flows, subway stations, cinemas, hospitals, proportion of non-locals.",Stronger mobility flows increase targeting probability; distance remains significant despite reduced effect.,"The study uses census units as the spatial unit of analysis, with an average size of 1.62 km^2 and a mean population of 5956. This choice is justified by comparing with other studies and ensuring uniform size and population homogeneity.",Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Exclusion of cases due to lack of geographic detail.,Exclusion of February data due to Chinese Spring Festival.,Use of data from only one mobile phone network provider.,Exclusion of co-offending groups.,Analysis only on weekdays; ignoring temporal variation.,NA,"The findings might be applicable to other countries, but this is tentative and requires further research.","The study is conducted in a specific Chinese context, which might not be directly comparable to other settings.",The study is limited to theft from the person and does not explore other types of crimes.,Not explicitly mentioned.,Use cell phone data to measure population mobility and potentially incorporate time use data.,Incorporate temporal variation and additional data types to improve analytical approaches.,Population size; Proportion of non-locals; Hukou status,3,NA,0,Primary schools; Middle schools; Hospitals; Basic stores; Markets; Supermarkets; Restaurants; Cinemas; Bars; Banks; Subway stations; Bus stops,12,Median Distance; Average Crime Trip Distance; Euclidean Distance; Relative Mobility,4,Exclusion of February; Selection of weekdays; Clearance rate of theft from the person; Geographical location of study area; Size of census units; Mean population; Exclusion of census units due to limited mobility data; Euclidean distances between census units,8,27
Discrete choice analysis of spatial attack sites,Third quarter of 1997,"Not explicitly mentioned, but implied to be from existing records for 1997",Richmond City Records Management Center; publicly available GIS layers; census information,NA,NA,"""The resolution of the grid used must be fine enough to capture the variance of spatial features.""",Practical constraint / Scale optimization,Practical consideration for capturing spatial feature variance,United States,"Richmond, Virginia",NA,Breaking and entering,NA,Training set: 425 crime events; Test set: 212 crime events.,637 distinct spatial selections.,Not mentioned.,"All reported breaking and entering crimes in Richmond, VA, for the year 1997, with a focus on the third quarter.","Grid over Richmond with 4,895 centroids as alternatives.",Crimes mapped to nearest grid cell centroid.,Only residential breaking and entering crimes from the third quarter of 1997.,NA,Cross-sectional,Multinomial logit,Maximum likelihood,Paired t test to evaluate relative effectiveness,NA,NA,"Proximity measures (u30), density measurements (u66).","Proximity (u30) is attractive (negative coefficient), density (u66) is positively associated with selection likelihood.",The resolution of the grid used must be fine enough to capture the variance of spatial features.,The choice of grid resolution depends on the nature of features used.,Grid resolution should be finer than the aggregation area for areal features and smaller than the minimum distance between locations for proximity measures.,Not mentioned.,Not mentioned.,Potential for multicollinearity among features.,Limited dataset to residential breaking and entering crimes in the third quarter of 1997.,"Limited to City of Richmond, VA, for the year 1997.",Use of grid system and aggregated demographic variables.,Limited to third quarter of 1997.,NA,Limited to urban crime dataset; may not generalize to other contexts.,"Findings specific to breaking and entering crimes in Richmond, VA, 1997.",No direct comparison across contexts or time periods.,Not mentioned.,Not mentioned.,Refine spatial hierarchy models to reduce complexity while maintaining interpretability.,Demographic Profile Variables,1,NA,0,u30; u66,2,u 26; u 27; u 30,3,NA,0,6
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2017-2018,October 2019 (for mobility flows),Police arrest records; Mobile phone mobility data; Point of interest data; Community-level socio-demographic data; Street view images from Baidu Map,NA,"Average population of 5,957","""These communities with relatively high resident homogeneity are comparable to prior studies in terms of geographic and population sizes.""",Prior research / Data availability,The communities were chosen due to their role as the smallest administrative units for data collection and their comparability to prior studies.,China,ZG (city in southeast China),Average community size of 0.958km²,Burglary,NA,"1,972 burglary cases","1,972 burglary cases",NA,Focus on central urban area with available street view images,Conditional logit model evaluating utility of target neighborhoods based on attributes,Based on characteristics of residential and target neighborhoods,Exclusion of communities without street view images,NA,Cross-sectional,Conditional logit,Maximum likelihood (implied),NA,NA,NA,"Physical disorder, distance from home, population size, presence of newer buildings, transportation facilities like subway stations.","Physical disorder in non-disadvantaged neighborhoods increases likelihood for disadvantaged burglars, decreases it for non-disadvantaged burglars. Distance from home reduces likelihood more for non-disadvantaged burglars. Population size increases likelihood for both groups. Newer buildings and subway stations increase risk.","The study uses communities as the unit of analysis, with an average size of 0.958km^2. Spatial knowledge moderates the relationship between social contexts and physical disorder, particularly in places different from residential spaces.","The study does not explicitly discuss how results varied with different spatial scales, but the use of communities as the unit of analysis suggests a focus on this scale.",The paper does not provide explicit recommendations about optimal spatial scales.,"The study acknowledges limitations related to other structural conditions that could affect decision-making, suggesting a need for further exploration of different spatial scales or units.",The paper does not compare findings with studies using different scales.,"Lack of consideration of other neighborhood structural conditions such as social cohesion, ecological networks, and collective efficacy.",Difficulty in obtaining the history of criminals' activity space locations.,NA,Use of log(mobility flow+1) and reliance on robust standard errors for confidence intervals.,Not explicitly mentioned.,NA,"The study is conducted in a specific city in China, which may not be representative of other urban or rural areas. The findings might not generalize to different cultural or socioeconomic contexts.","The study is specific to the city of ZG in southeast China, and the findings may be influenced by local factors such as urban planning, policing strategies, and cultural norms.","The study does not provide a direct comparison with other cities or countries, which limits the ability to generalize findings across different contexts.",Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,Population (log); Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Low educational attainment,4,"Unemployment rate; Low educational attainment; Share of non-locals; Overcrowding; Share of renters; Average rent price; Access to tap water, bath, and kitchen; Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Number of subway stations; Number of entertainment venues",11,Physical Disorder; Newer Buildings; Parks; Entertainment Venues,4,Distance from Burglar's Home; Subway Stations; Bus Stops,3,Time period; Mobility flows; Distance from home; Population size; Newer buildings; Subway stations; Bus stops; Parks; Entertainment venues,9,31
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",2012-2016,2012-2016,ZG City Public Security Bureau,Confidential,NA,Not specified,Not specified,"Neighborhood units used as spatial scale, but specific reasons not detailed.",China,ZG city,1971 neighborhood units with an average area of 1.62 km²,Street robbery,NA,7860 choice observations (street robberies).,7860 street robberies.,4358 unique offenders.,"Spatial sampling using neighborhood units in ZG city, China.",Each robbery geocoded into one of 1971 neighborhood units.,Neighborhoods where robberies occurred serve as alternatives.,"Street robberies between 2012 and 2016 in ZG city, China.",NA,Cross-sectional,Conditional logit,NA,NA,NA,NA,"Cybercafés, transportation hubs, schools, distance of journey to crime.",Cybercafés increase choice probability for juvenile and young adult robbers; transportation hubs increase it for young adult and adult robbers; schools have a positive effect on all age groups with a marginal age decay effect; distance of journey to crime decreases choice probability.,"The study uses a spatial unit of analysis (SUoA) of neighborhood units with an average area of 1.62 km^2. The distance of journey to crime plays a significantly negative role in an offender's target choice, with the greatest impact in the youngest age group.",Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Confidentiality of data may limit verification or sharing.,"Additional attributes of offenders (e.g., household registration, socioeconomic status) are not included.",Confidential data may restrict access or sharing.,Odds ratios in models are not as high as desired.,NA,NA,Limited to a large Chinese city; may not generalize to other contexts or countries.,"Findings are specific to the Chinese context, particularly in terms of social disorganization and routine activity nodes.",Focus on street robbery in a specific Chinese context; not directly comparable to other crime types or contexts.,NA,NA,Include additional attributes of offenders in future studies.,"Proportion of migrants; Proportion of young adults; Age groups (juvenile, young adult, adult); Social cohesion",4,Proportion of migrants; Proportion of young adults,2,Cybercafés; Schools; Wholesale markets; Bars and clubs; Routine activity nodes,5,Distance of Journey to Crime; Bus Stops; Subway Stations,3,Bus stops; Subway stations; Malls and supermarkets; Car parks,4,18
Do Migrant and Native Robbers Target Different Places?,2012 to 2016,Arrest data: 2012 to 2016; POI data: 2014; Traffic road network vector map data: 2014; Bus stop data: 2015; Mobile phone data: May 2016; Census data: 2010,Arrest data from ZG City's Public Security Department; POI data from Daodaotong Map; Traffic road network vector map data from Daodaotong Map; Bus stop data from Baidu API; Mobile phone data (source not disclosed); Social and economic data from the National Bureau of Statistics of China,Limited due to agreement restrictions on crime data and mobile phone data,NA,NA,Not specified,"The spatial units are neighborhoods, likely chosen due to data availability and administrative convenience.",China,ZG City,1971 neighborhoods with an average area of 1.62 square kilometers,Street robbery,NA,4358 street robbers (708 randomly selected migrant robbers and 708 native robbers).,7860 records involving 7124 unique offenders.,"7124 unique offenders (3650 migrant robbers, 708 native robbers).","Arrest data from 2012 to 2016, focusing on street robbers within ZG City.","Neighborhood characteristics data including POI, traffic road network, and mobile phone data.",Based on domicile attributes and household registration attributes.,Excluded records of robbers outside the study area or with no fixed residence.,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Wholesale markets, sports stadiums, transportation hubs, subway stations.",Wholesale markets increase choice probability for migrant robbers; sports stadiums decrease choice probability for migrant robbers; transportation hubs and subway stations increase choice probability for migrant robbers.,The study uses a spatial scale of neighborhoods with an average area of 1.62 square kilometers.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Exclusion of data due to residence outside the study area or unknown residence.,Unavailability of data on family disruption and poverty.,Use of 'pinyin' codes for place names due to confidentiality agreements.,Potential oversimplification in measuring journey to crime distances.,Data limited to 2012-2016.,NA,The study is specific to ZG City and may not be representative of other cities or countries.,Findings are specific to the context of ZG City and the Hukou system.,The study does not provide comparisons across different cities or regions.,Not explicitly mentioned.,Improve data collection to address underreporting issues.,Not explicitly mentioned.,Gender; Ethnicity; Education level; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Daily human mobility; Migration status,8,Wholesale markets; Proportion of migrants; Socioeconomic heterogeneity,3,Labor-intensive industrial cluster; Old urban areas and urban villages; Wholesale markets; Sports stadiums; Malls and supermarkets; Grocers; Bars and clubs; High schools; ATMs and banks; Carparks; Bus stops; Density of road network,12,Distance of Journey to Crime,1,Arrest data; POI data; Traffic road network vector map data; Bus stop data; Mobile phone data; Distance of journey to crime; Ambient population; Crime prevention; Proportion of migrants,9,33
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,1996 to 1998,1996 to 1998,Chicago Police Department; U.S. Census; marketing research firm,NA,Not specified,Not explicitly stated,Prior research / Scale optimization,Census blocks are used due to their appropriateness for detailed spatial analysis and data availability,United States,Chicago,Approximately 483.62 km²,Street robbery,NA,"11,999 (daily variation), 7,999 (weekly variation)","12,938",NA,Sampling of alternatives technique,Chosen census block plus a random sample of other census blocks,Random sampling of census blocks,Limited to cleared robberies by Chicago residents within the city,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Cash economies, illegal markets, accessibility, restaurants and fast-food outlets, liquor stores.","Generally positive, increasing the likelihood of robbery.","The paper uses census blocks as the spatial unit of analysis, with a median size of approximately 140x140 meters. The focus on distance from offenders' homes to crime locations suggests relevance of this scale for understanding crime dynamics.",Not explicitly discussed; the paper notes the importance of spatial scale but does not explore sensitivity to different scales.,Not provided; the paper does not offer recommendations on optimal spatial scales.,The paper acknowledges the modifiable areal unit problem but does not explore it due to space limitations.,Not discussed; the paper does not compare findings with studies using different spatial scales.,The data did not allow for the identification of offenders across multiple robberies.,The data excluded robberies committed by non-residents and those on expressways or college campuses.,The business data lacked information on opening and closing hours.,Time was used as a proxy for physical presence and business hours.,The study did not measure actual business hours or human presence.,NA,Findings may not be generalizable to other cities or contexts.,Findings are specific to Chicago's context.,Focus on Chicago limits comparisons with other studies or contexts.,The study suggests using fine-grained spatial units like census blocks.,Utilize new technologies for data collection on human presence.,Conduct sensitivity analyses for temporal bandwidth.,Gender; Racial and Ethnic Background; Age; Total Population; Racial and Ethnic Composition; Ethnic Diversity; Presence of High Schools,7,Presence of legal cash economies; Presence of illegal cash economies; Business density; Accessibility; Block population; Racial/ethnic composition,6,"Presence of legal cash economies; Presence of illegal cash economies; High schools; Bars and clubs; Restaurants, fast-food outlets, and food stands; Barber shops and beauty salons; Liquor stores; Grocery stores; General merchandise shops; Gas stations; Laundromats; Pawnshops, currency exchange, and check-cashing services; Non-residential census blocks",13,Distance between offender homes and robbery locations within census block; Euclidean distances between offender homes and census block midpoints; Accessibility: Block on main street; Accessibility: Block with El station; Home-crime distance distribution; Negative log of distance,6,Time of Day; Day of Week; Distance from Home; Random Sampling; Conditional Logit Model,5,37
