Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""SCALE EFFECTS & SPATIAL FINDINGS""",quotes,num_quotes
"(Marchment & Gill, 2019)",Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),0.15,Northern Ireland,"- ""Areal unit boundaries are arbitrary and lack ecological meaning (Bursik, 1986) and the characteristic data used may not be an accurate representation of the perceptions of those living in the areas (Coulton et al., 2001).""
  - ""However, larger areal units such as small areas relax the effects of independence of irrelevant alternatives (IIA) which is a consideration of the conditional logit estimation.""
  - ""The theoretical notions apply to much smaller units and the street block is the most appropriate unit for analysis (Taylor, 1997).""
  - ""As well as the necessity of replicating this study using other cities in Northern Ireland where PIRA were in operation, further studies should examine different terrorist groups to identify how transferable the effects are to different contexts.""
  - ""Smaller units would enable factors such as the effects of social disorganisation to be touched upon, if the data was available.""",,5
"(Johnson & Summers, 2015)",Lower_Super_Output_Area,Theft,0.2,United Kingdom,"- ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA). For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""
  - ""LSOAs are somewhat smaller than the areas used in most (but not all; for example, Bernasco et al., 2013) previous studies of this kind.""
  - ""Using a Geographical Information System (GIS), the police data were ""related"" to maps of the area to determine origindestination flows.""
  - ""The influence of the road network on adult offender spatial decision making is a particularly novel result and this finding, along with those concerned with the impact of routine activity nodes on offender spatial decision making, has potential policy implications for those involved in the development of urban spaces.""
  - ""The fact that younger offenders did not appear to exhibit a preference for targeting areas that were closer to the city center, but appeared to prefer those located further away is a potentially puzzling finding.""
  - ""Follow-up analyses provide some support for this by showing that on average younger offenders lived further (4.4 km) from the city center than did their older counterparts (3.8 km).""
  - ""The use of the latter will undoubtedly be necessary if hypotheses such as those articulated above are to be tested in the future.""",,7
"(Baudains et al., 2013)",Lower_Super_Output_Area,Riot-Related Incidents,0.33,United Kingdom,"- ""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""
  - ""One issue with using smaller areas is that failing to account for potential spillover effects may lead to errors of inference. Spillover effects occur if an offender chooses a location to offend based on the characteristics of nearby areas rather than on the area itself.""
  - ""The results were consistent with the model with no spatial lag, and hence, the results were not included in this study.""
  - ""The estimates of population churn rates and ethnic heterogeneity were derived using data from the 2001 U.K. Census.""
  - ""The results also were found to be consistent when the standard errors Considering overall model fit, as is observed from table 5, the average McFadden pseudo R-squared across all days of rioting is about .34.""
  - ""The results presented are robust to the inclusion of two other variables: a measure of police strength and a measure of police relations in the destination areas.""",,7
"(Rowan, Appleby & McGloin, 2022)",Census_block_group,Group Crime,0.37,United States,"- ""The current study extends crime pattern theory and addresses this gap in the co-offending literature by considering whether the distribution of co-offences across census block groups in Baltimore City (Maryland) is related to measures of activity nodes and 'connected' street networks, net of the solo crime rate.""
  - ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""The average census block group in Baltimore has 2.4 census blocks, is .14 square miles, and has an average of 953 residents.""
  - ""We conduct a series of spatially lagged negative binomial regression models to analyze our data because the total count of group crime incidents exhibits over-dispersion""
  - ""To account for the spatial clustering of group crime rates, we estimate the following model:

where y is an N × 1 vector of observations on the group crime rate for each census block group j, X is an N × K matrix of independent variables including activity nodes, density, and control variables, β is a K × 1 vector of regression coefficients, W is a row-standardized first-order contiguity neighbourhood matrix using queen contiguity, in which spatially adjacent communities in all directions are considered contiguous to a particular census block group j, ρ is the spatial lag operator that was generated using GeoDa 1.14.0 (http://geoda.uiuc.edu), and ε is a vector of error terms""
  - ""There are several limitations to the current study that warrant consideration. First, the study relies on data from a single city which limits the generalizability of these findings.""
  - ""Relatedly, the current study's unit of analysis was a census block group. Although prior co-offending research has used similar or larger geographic areas, advances within crime pattern theory have demonstrated the importance of even smaller microunits that may more fully represent Felson (2003) description of convergence spaces""
  - ""It will be important to replicate these findings across different types of locales (i.e., rural, urban, suburban) in order to understand whether connectivity and activity spaces similarly generate conditions conducive to group crime.""",,13
"(Frith, 2019)","Census_output_
areas",Serious Acquisitive Crime (Sac),0.44,United Kingdom,"- ""As such, if larger areas are used, local variations between sub-areas would be unobserved.""
  - ""In general, finer spatial granularity are to be preferred (see also Weisburd et al., 2009). For example, while offenders' mental boundaries between areas are effectively inscrutable, and will, to some degree, vary from offender to offender, larger spatial areas tend to be more heterogeneous.""
  - ""In terms of affluence which had a, on average, significant positive effect in Frith et al. (2017) but was non-significant here and in Townsley et al. (2016), the expected effect is less clear based on theory (and past research). That is, because while acquisitive offenders are assumed to be rational and often financial motivated and so they should prefer more affluent targets where greater proceeds are expected, those targets may also be better protected, and so offenders could also prefer less affluent areas where the targets are expected to be less well protected. As such, and again considering the estimated significant variation over the sample, the disagreement in results may result from slight differences in the samples or study areas and this should be explored.""
  - ""the alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",,6
"(Bernasco et al., 2015)",Lower_Level_Super_Output_Area_(LSOA),Burglary,0.51,United Kingdom,"- ""The study reported here aims to further explore questions of repeat crime location choices and differs in three key aspects from the study by Lammers et al. (2015). First, it used data from another country (United Kingdom). Second, it used a smaller spatial unit of analysis. Whereas Lammers et al. (2015) used areas with an average population of 7,000 residents, the areas used here have an average population of only 1,500, potentially providing for more homogeneous spatial units and enhanced ecological validity.""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary. Whereas the contemporary literature on the geography of crime emphasizes the analytical superiority of small spatial units (e.g., micro-places like face blocks or street segments), the implementation of units of such small size in spatial choice models is fraught with complex issues, including the need to use 'sampling from alternatives' to solve the intractability of the estimation problem, and the requirement to estimate multiple-level spillover effects""
  - ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis. LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""
  - ""Spillover effects can be assessed using either hierarchical spatial nesting structures or spatial proximity structures (Bernasco & Elffers, 2010). Because the boundaries of the UK census areas are designed to optimize social homogeneity in terms of household tenure and dwelling type (Haining, 2012;Sturgis, Brunton-Smith, Kuha, & Jackson, 2013), we preferred the former, and estimated spillover using variables measured at the next higher level of the census geography in the UK, the Middle Layer Super Output Area (MSOA).""
  - ""The estimated effects of prior burglaries in the same MSOA also display a pattern of temporal decay, from an odds ratio of 3.6 for burglaries 0-2 days ago down to an odds ratio of 1.4 for burglaries 6-24 months ago.""
  - ""For each category (e.g., '0-2 days' or '3-6 days') in Table 1 , the LSOA estimate is larger than the MSOA estimate, suggesting that having committed a prior burglary in the same LSOA makes a burglar more likely to target the LSOA than just having committed a prior burglary in the same MSOA.""
  - ""the local effect is stronger than the spillover effect. This is to be expected, because the primary effect of previous burglaries is presumably that the burglar becomes aware of the direct environment of the targeted property (the LSOA). The awareness of the wider environment (the MSOA) is probably more diffuse and more likely to be a secondary effect.""",,12
"(Bernasco, 2006)",Neighborhood,Burglary,0.65,Netherlands,"- ""The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""
  - ""For each burglar-burglary combination, the distance between the offender home and the crime site was calculated using the centroids of both neighbourhoods.""
  - ""The distributions of both solitary offenders and offender groups show a distance decay pattern.""
  - ""The proximity of the potential burglary target neighbourhood to the home neighbourhood of a solitary offender, or the proximity to the closest home neighbourhood of an offender group member.""
  - ""The own neighbourhood and other nearby neighbourhoods are the most likely targets for burglary, not only for solitary burglars, but for burglar groups as well.""
  - ""Although these results are fairly stable, we should note that they are limited by the fact that we have not taken into account the burglaries committed by The Hague residents outside the city boundaries (about 12%).""
  - ""The low detection rate could bias the results if a relationship exists between criteria of location choice and the probability of arrest.""",,7
"(Bernasco & Nieuwbeerta, 2005)",Neighborhood,Burglary,0.65,Netherlands,"- ""The likelihood of a neighbourhood's being selected for burglary is heightened by its ethnic heterogeneity, its percentage of single-family dwellings, and its proximity to where the offender lives.""
  - ""The discrete spatial choice approach applies a general micro-economic framework to discrete choice behaviour.""
  - ""The point of departure of the discrete spatial choice approach is an actor who is faced with a choice amongst a number of discrete spatial alternatives, of which he must choose only one.""
  - ""The estimation results of the conditional logit model that corresponds to equation ( 2) are presented in Table 2""
  - ""The odds of a neighbourhood's being chosen increases by a factor of 1.67 for every kilometre closer to the burglar's home it is located.""
  - ""The discrete spatial choice approach also appears to be applicable to the location choice in offences other than residential burglary.""
  - ""An obvious first suggestion is to apply the approach to the study of burglary in other European and non-European cities.""
  - ""In future applications, the discrete spatial choice approach may also be extended to study more complex questions on the location choice of residential burglars.""",,10
"(Bernasco & Block, 2009)",Census_tract,Robbery,0.7,United States,"- ""Although smaller units of analysis minimize within-unit heterogeneity, the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the ""collective efficacy"" measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""
  - ""In the spatial choice model, the spatial unit of analysis applies to the definition of what it is that offenders choose when they decide where to offend. In line with many other studies of spatial choice (Block and Block, 1995;Boggs, 1965;Velez, 2001), we use the census tract as our unit of analysis of location choice.""
  - ""In future work, it might be advisable to use smaller units of spatial aggregation. Using census tracts, 28 percent of the offenders committed a robbery in their home census tract. Thus, for 28 percent of them, where they live completely explains where they offend. In those as well as other cases, a more refined spatial scale, block groups, or blocks may yield improved insights because more within-tract heterogeneity and withintract distances are incorporated.""
  - ""Furthermore, our reading of the empirical literature that addresses the modifiable area unit problem in the context of crime (e.g., Hipp, 2007; Wooldredge, 2002) is that effects tend to be fairly robust across geographic levels of aggregation.""",,7
"(Vandeviver & Bernasco, 2020)",Statistical_districts,Burglary,0.79,Belgium,"- ""The major contribution of our research is that it investigates burglary target choice at the appropriate level of aggregation-burglars burglarize homes rather than complete neighborhoods-while still considering neighborhood-level attributes that affect these choices and taking into account the home locations of the burglars themselves and their limited action radius.""
  - ""The Census subdivides Ghent in geographical entities called 'statistical districts', of which 193 have a residential function. Throughout this paper we refer to these entities as 'neighborhoods'. The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size (e.g., Lammers et al. 2015;Menting et al. 2016).""
  - ""On average, the 193 residential neighborhoods have a population of 1287 residents (standard deviation [sd] = 1299), 717 residences (sd = 785) and cover an area of 0.79 (sd = 1.00) square kilometers.""
  - ""The analysis of burglary target choice should thus preferably define 'residence' as its main unit of analysis (Bernasco 2010a; Vandeviver et al. 2015a""
  - ""Our results offer support for theoretical accounts of burglary target selection that characterize it as being informed both by attributes of individual properties and attributes of the environment as well as combinations thereof.""
  - ""This spatial decision-making model implies that environmental information at multiple and increasingly finer scales of spatial resolution informs crime site selection.""
  - ""The integrated main effects and the interaction effects models are most relevant for our argument. They also most closely correspond with the rational choice perspective's conceptualization of burglary target selection as a dual-level spatial decision-making model.""
  - ""Our results carry implications for theory and research on offender spatial decision-making. In particular, the results of our study are important for how we should think about burglary target selection and, more generally, offender spatial decision-making.""
  - ""Our study opens up at least two avenues for future research. First, given the well-corroborated finding that burglary risk of a residence is heightened in the wake of a previous burglary (Ellingworth et al. 1995;Farrell and Pease 2001;Polvi et al. 1991), repeated victimization could be reflected in repeated targeting of the same residence by the same offenders.""
  - ""In conclusion, theoretical accounts of offender spatial decision-making have highlighted that target selection may be affected not only by attributes of potential targets but also by attributes of their spatial context. However, few prior empirical tests have taken this possibility into account. None have investigated the combined impact of multiple levels of spatial aggregation.""",,18
"(Curtis-Ham et al., 2025)",Statistical_Area,Burglary,1.2,New Zealand,"- ""The hypothesis (H1) predicts that crime is more likely ""near"" to activity nodes with certain attributes and in crime location choice research, near is often operationalized as meaning ""within the same spatial unit.""""
  - ""This could mean in the same 200 m×200 m grid cell (Bernasco, 2019), the same census block (e.g., Bernasco et al., 2017), or the same neighborhood as identified by postcodes (e.g., Lammers, 2018).""
  - ""We therefore included a range of ""near"" distances and expected the hypothesized associations to be stronger at shorter than at longer distances.""
  - ""The hypothesized differences were most pronounced in the ""within SA2"" distance band, with fewer significant differences when the nearest activity nodes were farther away.""
  - ""As expected, a pattern of distance decay, or a decline in the odds of crime location choice with increasing distance bands, is exhibited in Figure 2""
  - ""The results are illustrated in Figure 2 , which displays the 95% confidence intervals around the ORs.""
  - ""The pattern of declining likelihood of crime with increasing distance-clearest for the high reliability/high relevance activity locations-is also consistent with previous studies (Bernasco, 2019;Bernasco & Block, 2009;Kuralarasan & Bernasco, 2021;Menting et al., 2020).""",,9
"(A. Chamberlain et al., 2022)",Block_groups,Burglary,1.36,United States,"- ""We use block groups to define a neighborhood because these are the smallest unit available where meaningful sociodemographic data are available.""
  - ""The final sample includes 4,920 burglary arrests nested in 6,165 suspects.""
  - ""We employ a discrete choice modeling framework (see Bernasco & Nieuwbeerta, 2005) to determine the likelihood that a suspect will target a specific neighborhood.""
  - ""We geocoded the incident and home addresses using ArcGIS 10.6.""
  - ""We exclude incidents with an unknown or incorrect address, addresses listing a P.O. box or correctional facility, as well as incidents where the suspect lives outside of the city boundaries.""
  - ""The current study expands on prior research in several ways. First, we compare how broader social and demographic characteristics influence juvenile versus adult burglary target locations above and beyond geographic distance.""
  - ""We are unable to account for individual characteristics of suspects. Controlling for information such as the race of the suspect or his criminal history might provide important insights in terms of which types of neighborhoods an individual may target.""
  - ""we are unable to account for different land uses, which may be important for capturing crime attractors (Bernasco & Block, 2009 , 2011)""
  - ""We also could not determine whether a burglary target was residential or commercial, and we are unable to account for temporal variation, though target attractiveness may vary by time of day or by day of the week (Ratcliffe, 2006).""
  - ""Our results generally find that burglars minimize the risk of detection by targeting locations nearby and where social control is low.""",,10
"(Curtis-Ham et al., 2022a)","Statistical_Area_
2",Burglary,1.41,New Zealand,"- ""Selecting the spatial unit involves balancing a range of considerations by the analyst (Bernasco 2010a). These include theoretical relevance (how big is one unit of 'activity space'?), spatial spill-over (if the unit is too small the choice is influenced by the attributes of surrounding units), spatial heterogeneity (if the unit is too big then variation within the unit that could affect the choice is not captured), and computational processing (if there are too many units the capacity of available computing equipment may be exceeded).""
  - ""The median land area of the sampled SA2s was 1.2km 2 (quartiles 0.84, 2.2 km 2 ) on average across the five offences modelled.""
  - ""The small and relatively homogenous size of the sampled SA2s reflects that the vast majority were in urban areas.""
  - ""The patterns of distance decay for different activity nodes evidence the extent of offenders' awareness space around different activity nodes and the likelihood that they will identify criminal opportunities within that space.""
  - ""That home, and to a lesser extent, immediate family homes and prior offence sites, were strongly associated with crime locations even at the 2-5 km distance range could be explained by the relatively low urban population density of New Zealand""
  - ""Our results are likely to generalise to other low population density jurisdictions and imply that studies in such jurisdictions could benefit from using an even longer distance range.""
  - ""The lack of association between work nodes and residential burglary could reflect a lack of residential burglary opportunities around work nodes likely concentrated in non-residential areas.""",,9
"(Song et al., 2019)",Census_unit,Theft,1.62,China,"- ""The census unit was chosen as the spatial unit of analysis because census units have a size similar to those in comparable studies (Bernasco and Block 2009;Clare et al. 2009;Menting et al. 2016), because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""
  - ""The average size of the 1616 census units is 1.62 km 2 . It can be deducted that most of the service area of the cell tower is located within one census unit.""
  - ""The size of census units is 1.62 km 2 on average (standard error 2.99 km 2 , minimum 0.02 km 2 , maximum 31.30 km 2""
  - ""the use of census units does not force us to estimate spillover effects (effects of attributes of nearby units on crime in a focal unit) which is a requirement if small units of analysis are used, such as census blocks or street blocks (Bernasco et al. 2013;Groff and Lockwood 2014).""
  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""
  - ""The mean population is 5956 (standard error 4706, minimum 245, maximum 51,450).""",,6
"(Long et al., 2021)",Community,Robbery,1.62,China,"- ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""
  - ""The dataset included the following information of each arrested robber: the unique offender identifier, the Hukou status, the home address, and the location and time of the robbery.""
  - ""The distance of journey to crime is the Euclidean distance between the offender's residence and the centroid of each of the 1, 971 neighborhood units.""
  - ""The density of road network is used to represent traffic accessibility (Law et al., 2016;Long, Liu, Zhou, et al., 2017;Xiao et al., 2018), and it is measured by the ratio of the total length of road network in a neighborhood to the area of the same neighborhood.""
  - ""The results of discrete spatial choice models (Odds Ratios, Z-scores, Pseudo R 2 , significance level with 95% confidence intervals) are listed in Table 4""
  - ""The explanatory power of these models is explained as follows. Firstly, by comparing Pseudo R 2 between Model 1 and Model 2, it can be concluded that the explanatory power of Model 2 has been improved by 7.20%.""
  - ""Finally, it is particularly noteworthy that Model 4's explanatory power has been improved by roughly 10%.""",,8
