Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""DATA LIMITATIONS & METHODOLOGICAL ISSUES""",quotes,num_quotes
"(Marchment & Gill, 2019)",Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),0.15,Northern Ireland,"- ""As with many quantitative studies of terrorism and political violence there are a number of constraints associated with the data used in this study. Some difficulties were encountered due to the historical nature of the records used.""
  - ""It was not possible to test the function of such factors and others (e.g. affluence levels), as appropriate figures were unavailable.""
  - ""This dataset is a slightly smaller sample in comparison to most previous similar studies of crime. There may be some parameter inflation and there is the possibility of skewing of distributions to values higher than the true odds ratio.""
  - ""Areal unit boundaries are arbitrary and lack ecological meaning (Bursik, 1986) and the characteristic data used may not be an accurate representation of the perceptions of those living in the areas (Coulton et al., 2001).""
  - ""The IIA assumption expresses that if someone is choosing among a set of alternatives, their odds of choosing A over B should not be affected by the presence or absence of an alternative C.""
  - ""As well as the necessity of replicating this study using other cities in Northern Ireland where PIRA were in operation, further studies should examine different terrorist groups to identify how transferable the effects are to different contexts.""
  - ""There are several ways this study could be improved and expanded on through the further disaggregation of data. Initially, we aimed to distinguish between different types of targets (i.e.

attacks on premises and attacks on individuals), as different types of crimes tend to exhibit different spatial patterns (Andresen and Linning, 2012). However, there was insufficient data to do so.""",,8
"(Johnson & Summers, 2015)",Lower_Super_Output_Area,Theft,0.2,United Kingdom,"- ""In line with previous studies (Bernasco, 2006(Bernasco, , 2010;;Bernasco & Block, 2009, 2011;Bernasco & Luykx, 2003;Bernasco et al., 2013;Clare et al., 2009), crimes committed by offenders living outside the study area were excluded from the sample. This is a limitation of the method that applies to all studies of this kind but it is a necessary one.""
  - ""The dependency in the data associated with reoffending has the potential to lead to errors of statistical inference.""
  - ""The use of the latter will undoubtedly be necessary if hypotheses such as those articulated above are to be tested in the future.""
  - ""Second, it is perhaps surprising that the control variables used here-the number of vehicles in an area and the number of car parks-appeared to have little or no influence on offender spatial decision making.""
  - ""However, it is important to consider that the census data concerning the number of vehicles in an area represent the number of registered vehicles, rather than the typical abundance of vehicles on the street, and the two may differ considerably, particularly during the day.""
  - ""The number of car parks is less problematic in this sense, but this variable is a crude indicator that simply represents the number of car parks in an area, rather than the number of actual parking spaces available (or used)-data that were unavailable.""
  - ""Finally, while we examined the influence on offender spatial target choice of some of the routine activity nodes of which offenders might be collectively aware (i.e., city centers, rail stations, and schools), we considered the role of only one that was specific to offenders-the home location.""
  - ""Future research using the discrete choice approach might systematically examine the role of routine activity nodes other than the home location, although this will require the analysis or collection of data other than that recorded by the police.""",,11
"(Baudains et al., 2013)",Lower_Super_Output_Area,Riot-Related Incidents,0.33,United Kingdom,"- ""The results also were found to be consistent when the standard errors Considering overall model fit, as is observed from table 5, the average McFadden pseudo R-squared across all days of rioting is about .34.""
  - ""One potential issue with this finding is that the variable used to estimate the role of recent activity on offender spatial decision making may instead have measured unobserved heterogeneity not otherwise captured in the model.""
  - ""the indices used to estimate neighborhood levels of ethnic diversity and rates of population churn were based on data from the 2001 U.K. Census. These data were used as they are the most recent that are available, and in using them, we assume that the demographics (and changes in them) of an area are relatively stable at least on the time scale of a decade or so.""
  - ""Unfortunately, data regarding police activity were unavailable for analysis, and so we could not estimate the effect of police officer presence, or the number of arrests made in an area during the riots, on offender spatial decision making.""
  - ""The results presented are robust to the inclusion of two other variables: a measure of police strength and a measure of police relations in the destination areas.

The parameter estimates for these variables are not included in this article as they were measured at a level of geographic resolution that was much larger than the LSOAs.""
  - ""the estimates of ethnic diversity and the IMD were divided by ten.""",,8
"(Rowan, Appleby & McGloin, 2022)",Census_block_group,Group Crime,0.37,United States,"- ""the use of this publicly available arrest data inherently precludes the inclusion of criminal events that did not lead to an arrest, and therefore is likely to undercount crime.""
  - ""Is there a notable risk of incorrectly coding incidents as solo crimes because accomplices evaded capture?""
  - ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""a portion of the arrest data from the Baltimore City Open Data Portal did not include or had problematic incident location information leading to incomplete geocoding of arrests.""
  - ""Besides excluding crimes not reported to the police, not all co-offenders involved in a criminal incident may be arrested.""
  - ""the study relies on data from a single city which limits the generalizability of these findings.""
  - ""the current study's unit of analysis was a census block group.""
  - ""Although our quantitative data is suggestive that convergence spaces facilitate co-offending, we cannot rule out other processes, nor fully understand how this mutual discovery process of accomplices unfolds, without rich narrative information from offenders.""",,10
"(Frith, 2019)","Census_output_
areas",Serious Acquisitive Crime (Sac),0.44,United Kingdom,"- ""The first limitation and currently of most interest in crime location research regards = ∀ .

Specifically, that the CL assumes the preferences for each attribute are identical across offenders or that they only systematically differ across specified observable sub-groups of offenders.""
  - ""The CL also implies strict substitution patterns including the independence of irrelevant alternatives [IIA] and that unobserved factors are independent over any repeated choices.""
  - ""The ML however requires the ex-ante specification of the preference distributions, albeit that normal or log-normal (if the sign of the preference is to be restricted) distributions are typically assumed.""
  - ""The study area in these analyses is the city of York (UK), which covers approximately 270km""
  - ""For these analyses, revealed preference data for 1,105 recorded3 and solved4 SAC in York committed by 687 offenders living in York between April 2008 and March 2012 were collected.""
  - ""The non-complete knowledge of offences may also be a particular issue here as the analysis assumes the offenders with one offence in the time-period are not repeat offenders.""
  - ""In this analysis a range of offence types were grouped together. While the offence choice criteria are expected to similarly effect the different types of offenders and this approach has been used in other analysis (e.g. Bernasco, 2010;Lammers et al., 2015), it ignores that some types of offenders may behave differently with respect to these factors.""
  - ""the lack of substantiation of the offending decision process as modelled in these analyses. For example, where revealed preference analyses, such as in this study, rely on accurately numerating the choices including the alternatives and their (perceived) attributes.""
  - ""The computational issue with the ML though could be overcome through sampling from alternatives and taking a random sa mple of the alternatives for each choice occasion.""",,13
"(Bernasco et al., 2015)",Lower_Level_Super_Output_Area_(LSOA),Burglary,0.51,United Kingdom,"- ""the data analyzed here contain detected burglaries only and these can of course be thought of as unsuccessful because they have resulted in arrest.""
  - ""One point of possible critique on our design is that it assumes that burglaries are profitable and therefore provide incentives for returning to the previous target area.""
  - ""The distinction between successful and unsuccessful burglaries is important and future research should therefore assess the extent to which the return of burglars to prior target areas is conditional on the success of the previous burglaries.""
  - ""Another unresolved issue is the potential confounding by patterns of co-offending.""
  - ""As any study that explores the probability of an event as a function of similar prior events, our study suffers from the possibility that unobserved heterogeneity is attributed to state dependent variables.""
  - ""One potential bias is our inability to measure prior home locations of the burglars.""
  - ""the implementation of units of such small size in spatial choice models is fraught with complex issues, including the need to use 'sampling from alternatives' to solve the intractability of the estimation problem, and the requirement to estimate multiple-level spillover effects""",,8
"(Bernasco, 2006)",Neighborhood,Burglary,0.65,Netherlands,"- ""The detection rate for residential burglary in The Hague is 7%. This is a low rate, but not much lower than the detection rates reported elsewhere.""
  - ""The low detection rate could bias the results if a relationship exists between criteria of location choice and the probability of arrest.""
  - ""Another major issue related to the validity of the police data is whether the police information on the offenders involved in a burglary is complete.""
  - ""Although we can be reasonably sure that two people arrested together for the same burglary incident are indeed co-offenders, we may not be so sure that there were only two people involved, instead of three or more.""
  - ""Especially because a natural division of tasks in a burglary group would require not all offenders to enter the property, it may be that we seriously underestimate the number of offenders involved in burglaries, including of course the cases reported here as solitary offenders.""
  - ""Ethnographic research could shed some light on this issue, although the presence of non-arrested accomplices or co-offenders seems to be one of the few things that detained and convicted offenders are not very eager to talk about.""",,9
"(Bernasco & Nieuwbeerta, 2005)",Neighborhood,Burglary,0.65,Netherlands,"- ""The low detection rate could bias the results if a relationship exists between criteria of location choice and the probability of arrest.""
  - ""Separate analyses, however, show no systematic relationship between neighbourhood characteristics and burglary clearance rates.""
  - ""only burglaries committed in the city of The Hague itself were taken into account, whereas burglaries committed in more distant areas were left out (about 15 per cent).""
  - ""This was necessary because information on relevant characteristics of all neighbourhoods in the Netherlands was not available.""
  - ""Although most burglars are locally oriented, this restriction might somewhat bias the effects of neighbourhood and offender characteristics on location choice.""
  - ""The statistical model closely associated with the discrete spatial choice approach-the conditional logit model-is relatively easy to estimate and interpret.""",,8
"(Bernasco & Block, 2009)",Census_tract,Robbery,0.7,United States,"- ""Unfortunately, the current study uses police records and, thus, excludes unreported robberies; therefore, it may underestimate the attraction value of illegal markets for robbers.""
  - ""The collective efficacy measure was created by Sampson and his colleagues (Sampson, Raudenbush, and Earls, 1997) and was provided to us for use in this research. The measure is based on a population survey among a neighborhood cluster sample, in which Chicago residents answered questions on the perceived extent of social cohesion and social control in their local communities (for details of the instrument, see Earls et al., 1997). Note that this survey-based measure was aggregated to the census tract level, and therefore, it has a greater error of measurement than other measures in the analysis (Raudenbush and Sampson, 1999).""
  - ""The data do not allow us to identify with certainty the same robbers across multiple incidents. Thus, we cannot ascertain whether the same person is arrested for multiple robberies.""
  - ""The estimation of discrete choice models requires a considerable amount of computer resources when both the number of observations (choices) and the number of alternatives per choice are large.""
  - ""We have also neglected temporal variation. Great places for robbery in the morning may be pretty useless places at night. An entertainment district may be an excellent place to rob in the weekend, but less so on other days. Temporal variations and temporal constraints are generally neglected in criminological research (Ratcliffe, 2006), and our inquiry is no exception.""
  - ""In future work, it might be advisable to use smaller units of spatial aggregation. Using census tracts, 28 percent of the offenders committed a robbery in their home census tract. Thus, for 28 percent of them, where they live completely explains where they offend.""
  - ""The research presented here confirms the discrete choice model as a useful tool for modeling criminal location choice, in part because it distinguishes the residence of the offender from the place where the offense takes place. Resident area is one explanatory variable to estimate the offender's choice of incident area.""",,8
"(Vandeviver & Bernasco, 2020)",Statistical_districts,Burglary,0.79,Belgium,"- ""Applying these criteria might introduce selectivity in our included sample.""
  - ""Due to lack of personal data on burglars, however, we cannot explore the impact of our selection criteria on the sample of included burglars.""
  - ""Census data are not collected for scientific purposes and consequently do not contain all variables that are potentially relevant predictors for burglary target selection.""
  - ""Certain residential features, such as presence of an alarm, observability, and ease of entry or escape, but also situational cues, such as homeowner presence at the time of the burglary, could not be included in our analyses.""
  - ""our neighborhood and residence data were not measured at the same time of the burglary.""
  - ""The burglary data span the period 2005-2014 but the neighborhood and residence data are for 2011 only.""
  - ""We considered using the nested logit model (Ben-Akiva and Lerman 1985) instead of the conditional logit model.""
  - ""This forced us to resort to the computationally less demanding but less flexible conditional logit model.""
  - ""If the assumption of independence of residences within the same neighborhood is violated, the conditional logit model will still yield unbiased coefficient estimates, but standard errors may be underestimated.""
  - ""our research is subject to similar limitations as prior crime location choice studies, including that we assume that burglary trips start from the offender's home""",,12
"(Curtis-Ham et al., 2025)",Statistical_Area,Burglary,1.2,New Zealand,"- ""Our data thus do not capture all preoffense activity locations for all offenders, but most offenders had at least 10 pre-offense activity locations, following data cleaning and the removal of locations that did not pre-date the offenders' most recent offense.""
  - ""our measures of reliability and relevance-constructed by combining attributes of offenders' activity locations-were proxies for offenders' knowledge; we did not assess their knowledge directly.""
  - ""our method for filling in missing data in the reliability and relevance variables necessarily introduced some imprecision.""
  - ""Frequency was likely overestimated for activity locations such as prior offenses and other event-based nodes where police records only capture a single visit to a location""
  - ""Considering these sources of error, in drawing conclusions we put more emphasis on the general pattern, seen consistently across the crime types, than the specific effect sizes observed.""
  - ""The study illustrates both the opportunities and challenges involved in employing this methodological paradigm with police administrative data.""
  - ""The present dataset enabled us to examine reliability and relevance factors across a more representative array of activity locations.""
  - ""The activity location data included attributes that were used to code the reliability and relevance variables as described below.""
  - ""The outcome variable reflects each offender's choice of crime location: in which of the 2,153 SA2s the reference offense was committed.""
  - ""Estimating DSCMs requires a dataset that includes one row for each potentially chosen alternative for each decision-maker.""
  - ""We therefore sampled from alternatives to create a smaller set of alternatives for each offender using stratified importance sampling""
  - ""The results are illustrated in Figure 2 , which displays the 95% confidence intervals around the ORs.""
  - ""The Pseudo R 2 values, ranging from 0.27 to 0.36, indicate a good fit to the data (McFadden, 1973) and are comparable with previous DSCM studies.""",,18
"(A. Chamberlain et al., 2022)",Block_groups,Burglary,1.36,United States,"- ""we rely on arrest data for burglaries, which on average have a clearance rate of about 14% in the US""
  - ""Our results generally find that burglars minimize the risk of detection by targeting locations nearby and where social control is low. It is possible that we are underestimating burglars who target locations further way, and therefore less likely to be apprehended.""
  - ""We are unable to account for individual characteristics of suspects. Controlling for information such as the race of the suspect or his criminal history might provide important insights in terms of which types of neighborhoods an individual may target.""
  - ""we are unable to account for temporal variation, though target attractiveness may vary by time of day or by day of the week""
  - ""we are unable to account for different land uses, which may be important for capturing crime attractors""
  - ""although we cannot account for all of the burglaries in our study site, there is little evidence that their omission would impact our findings.""
  - ""We also could not determine whether a burglary target was residential or commercial,""",,7
"(Curtis-Ham et al., 2022a)","Statistical_Area_
2",Burglary,1.41,New Zealand,"- ""The data are therefore a sample of each offender's true population of activity locations.""
  - ""Not all family members will have address records in the database; 'links' between family members are not always recorded.""
  - ""Employment and education records were more rarely on file.""
  - ""Crime, victimisation, and incident locations depend on these being reported to the police.""
  - ""The lack of association between work nodes and residential burglary could reflect a lack of residential burglary opportunities around work nodes likely concentrated in non-residential areas.""
  - ""The lack of association between prior victim/witness events and commercial robbery indicates that these events were not conducive to the acquisition of knowledge of commercial robbery opportunities.""
  - ""The few negative associations-at longer distances-were marginally significant and small.""
  - ""Several limitations of this study affect how our results can be interpreted.""
  - ""First, although the results demonstrate the ability of police data to indicate crime-salient elements of offenders' activity spaces, we may have missed or understated theoretically important relationships for under-represented nodes.""
  - ""To the extent that these activity nodes are missing from police data, our results underestimate the association between activity node proximity and crime location choice.""
  - ""Second, because we studied solved cases-albeit a common practice in discrete crime location choice researchthe results may not generalise to all offenders""
  - ""Future research could supplement police data with other administrative datasets that comprehensively capture these locations,""
  - ""Lastly, variation may exist between offenders within offence types.""
  - ""Future research could separately examine relationships between different activity nodes and crime location choice for specific subtypes of offences and groups of offenders,""",,17
"(Song et al., 2019)",Census_unit,Theft,1.62,China,"- ""Unfortunately, as in many other studies (e.g., Vandeviver et al. 2015) a substantive percentage of cases had to be excluded from the analysis for lack of geographic detail.""
  - ""The month of February in both 2015 and 2016 was excluded, because during this the Chinese Spring Festival takes place, and a large proportion of the population leaves ZG city to celebrate the lunar new year with their families in their hometowns.""
  - ""Because data on the daily mobility patterns of the urban population was only available on weekdays, only TFPs on weekdays were selected for the analysis.""
  - ""The clearance rate of theft from the person in ZG City was 5.2% in 2014, which implies that approximately 1 in every 20 thefts leads to the arrest of an offender.""
  - ""The fact that offenders outnumber offences implies that some TFPs are committed by co-offending groups.2""
  - ""only the data of 4G users of one mobile phone network provider is available in our research.""
  - ""Although the 4G network is very popular in China, the sample of users whose phones were tracked may not be fully representative of the population of ZG City.""
  - ""only theft from the person was studied here.""
  - ""As any study, ours is limited in various ways, and some caveats must be made. First, our analysis ignores temporal variation.""
  - ""Second, we did not explore any differences between co-offending and single offending.""
  - ""Third, only the data of 4G users of one mobile phone network provider is available in our research.""
  - ""Fourth, only theft from the person was studied here.""",,13
