Citation,Year.x,Name_of_the_unit,Crime_Type,spatial_unit_quote,spatial_unit_reasoning
"(Bernasco et al., 2017)",2017,Census_block,Robbery,"- ""The spatial units of analysis are census blocks.""
  - ""As robberies can be committed anywhere in outdoor public space, all census blocks are included in the analyses.""
  - ""About 98.5 percent of these addresses were successfully geocoded and assigned to 1 of the 24,594 census blocks in the city of Chicago.""
  - ""The mean age was 23.9 years (SD ¼ 8.8), 89.7 percent were male, 78.4 percent were African American, 15.6 percent were Hispanic, and 5.5 percent were White.""
  - ""The data also include information on the offenders who were arrested for committing these street robberies, including gender, racial and ethnic background, age, and residential address at the time of the robbery.""
  - ""The analysis is limited to cleared robberies because only for cleared robberies offender addresses are available, and distance from the offender home location is by far the most important predictive factor in crime location choice""","- The paper specifies that the spatial units of analysis are ""census blocks,"" which is a common administrative unit used in urban studies.
- The size of these census blocks is described as having a median size of 19,680 m², which is approximately 140 × 140 m.
- The total number of census blocks used in the study is 24,594.
- The rationale for using census blocks is not explicitly stated in terms of ""because,"" ""due to,"" or similar phrases, but it is implied that they are used because they are the smallest administrative units available for analysis, which allows for detailed spatial analysis.
- The use of census blocks is consistent with prior research in criminology, where such units are often used for spatial analysis due to their availability and relevance to urban crime patterns.
- The justification for using census blocks can be inferred as being due to their appropriateness for detailed spatial analysis and the availability of data at this scale."
"(Bernasco, 2006)",2006,Neighborhood,Burglary,"- ""The Hague comprises of 89 residential neighbourhoods.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""Each residential burglary and each offender address was assigned to one of the 89 residential neighbourhoods of The Hague.""
  - ""The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""","- The paper specifies that the study area is divided into ""89 residential neighbourhoods,"" which indicates the type of spatial unit used.
- The size of each spatial unit is described as having an ""average area of 0.65 square kilometres,"" providing the size of the spatial units.
- The description of each spatial unit includes the number of residents and residential units, offering a detailed description of the spatial units.
- The total number of spatial units is explicitly stated as ""89 residential neighbourhoods.""
- The average population per unit is given as ""4952 residents.""
- The rationale for choosing these spatial units is not explicitly justified in terms of why this scale was chosen, but it is implied that the use of administrative units like neighborhoods is due to data availability and administrative convenience."
"(Bernasco, 2010a)",NA,Postal_code_area,Multiple Types,"- ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands.""
  - ""There are approximately 4,000 postal code areas nationwide, with an average population size of 4,900 and an average number of households of 2,100.""
  - ""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""
  - ""postal code boundaries have been designed with post delivery services in mind. This design ensures that minimal physical restrictions on travel are in place within the postal code area and that the areas invite local travel by foot and bicycle (which is how post generally is delivered in the Netherlands).""
  - ""the size of postal code areas is related inversely to the level of urbanization. Postal codes in urban areas usually cover less than half a square mile, whereas postal codes in more rural regions are larger (less than 2 square miles).""
  - ""Throughout the remainder of this article, where ""area of residence"" is used to describe empirical findings, it means ""postal code area of residence.""""","- The paper uses postal code areas as the spatial units of analysis (SUoA Type: Administrative unit).
- The size of these units varies inversely with urbanization, with urban areas being smaller and rural areas larger (SUoA Size: varies).
- The description of these units highlights their design for postal delivery, which minimizes travel restrictions and encourages local familiarity (SUoA Description).
- There are approximately 4,000 postal code areas in the study (Number of Units).
- The average population per unit is about 4,900 (Population per Unit).
- The rationale for choosing postal code areas is based on their design and the inverse relationship with urbanization, which makes them a useful approximation for areas of familiarity (Quoted Rationale).
- The rationale category is a combination of data availability and practical convenience, as the data are readily available at this scale and it aligns with administrative boundaries (Rationale Category).
- The justification summary is that postal code areas are used because they are a practical and data-rich scale that reflects local familiarity and travel patterns (Justification Summary)."
"(Bernasco, 2010b)",NA,Postal_code_area,Burglary,"- ""The empirical analysis distinguishes small residential areas approximately the size of a football field, containing only 18 residential units and 40 residents on average.""
  - ""The postal code system was created with the facilitation of postal delivery services in mind. Therefore, a single postal code is nearly always on the same street, applies to adjacent properties, and is not subdivided by physical barriers that impede pedestrian or car transportation.""
  - ""the study area (Greater The Hague Area) measures 400 sq. km, and houses a population of 1,000,000 residents in 460,000 residential units. This area comprises 26,214 postal code areas.""
  - ""For the present study on residential burglary, only the 23,984 postal codes areas (91.5%) were used that contain at least 3 residential units and at least 3 residents""
  - ""The postal codes in the area comprise 18 addresses on average.""
  - ""The geographic position of a postal code is calculated as the geographic mean of these addresses.""
  - ""the qualifications of a behavior setting (Barker 1968;Wicker 1987) or setting (Wikstro ¨m 2006) seem to fit the postal code area unit well.""
  - ""the main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory""
  - ""Many contemporary scholars in geographic criminology advocate the use of much smaller spatial units of analysis (Groff et al. 2009;Oberwittler and Wikstro ¨m 2009;Smith et al. 2000)""
  - ""The first reason to favor small spatial units is the generic principle in all sciences that to understand the characteristics and behavior of an object of inquiry, it is helpful to understand the characteristics and the behavior of its constituting elements, as well as the nature of the relations between these constituting elements.""","- The spatial units of analysis (SUoA) used in the study are described as ""small residential areas approximately the size of a football field,"" which indicates the size of these units.
- The SUoA type is identified as ""postal code areas,"" which are used as the spatial units for analysis.
- The number of units is specified as 23,984 postal code areas, which were selected based on containing at least 3 residential units and 3 residents.
- The population per unit is described as containing ""18 residential units and 40 residents on average.""
- The rationale for choosing these spatial units is justified by the need to match the theory being tested and the preference for smaller units to understand constituting elements and their relationships.
- The justification category is primarily based on ""Theory–method"" and ""Prior research,"" as indicated by the references to matching the theory and following contemporary scholars' recommendations for smaller spatial units."
"(Bernasco, 2019)",2019,Grid_cell,Multiple Types,"- ""The model fit measure is the rank number of the grid cell where the crime was actually committed, divided by the total number of 4558 grid cells, averaged over all crimes.""
  - ""Following [8], the predictability of an individual's whereabouts was derived from entropy measures of the sequence of 96 locations (i.e., 200 × 200m grid cells) reported in the space-time budget.""
  - ""the offender chooses a single location from the full choice set of 4558 locations (67 × 67 = 5092 grid cells of 200x200m each, minus 544 grid cells completely located on the North Sea).""
  - ""The values of β 1 to β 17 are parameters that are estimated from the data.""
  - ""the characteristic size of the area covered by the mobility of a single person up to time t is indicated by his or her radius of gyration""","- The paper uses a grid cell system as the spatial unit of analysis (SUoA Type: Grid cell).
- Each grid cell is 200x200m in size (SUoA Size: 200m x 200m).
- The total number of grid cells used in the study is 4558 (Number of Units: 4558).
- The paper does not provide specific information on the population per unit or a detailed description of the spatial units beyond their size and number.
- The rationale for choosing this spatial scale is not explicitly stated in terms of ""because,"" ""due to,"" or similar phrases, but it is implied that the choice is consistent with prior research and practical constraints, as indicated by the reference to other studies and the use of a discrete spatial choice approach.
- The justification summary is that the grid cell system was likely chosen for its consistency with prior research and practical constraints, although this is not explicitly stated."
"(Cai et al., 2024)",2024,Community,Burglary,"- ""We use communities (juweihui or cunweihui) as the unit of analysis. Communities are the smallest administrative unit where population census and major survey data are collected.""
  - ""These communities with relatively high resident homogeneity are comparable to prior studies in terms of geographic and population sizes (Bernasco and Block 2009;Song et al. 2019).""","- The paper specifies that the spatial units of analysis are ""communities (juweihui or cunweihui),"" which are administrative units.
- The size of these units is described as having an average geographic area of 2.813km² for all communities, but the analytical sample has an average size of 0.958km².
- The number of units in the study is 1,652 after excluding those without street view images.
- The average population per unit is 5,957.
- The rationale for choosing these units is implied by their use as the smallest administrative units for census and survey data collection, suggesting a practical convenience and data availability rationale.
- The mention of comparability to prior studies indicates a consideration of consistency with previous research."
"(Clare et al., 2009)",2009,Residential_suburb,Burglary,"- ""The city of Perth is located in the south-west of Western Australia at the coast of the Indian Ocean. The estimated residential population of Perth in 2001 was 1,381,298 people. Perth is the largest city in Western Australia, with suburbs that sprawl along the coast for approximately 100 km and extend inland from the coast by up to 40 km.""
  - ""A total of 291 residential suburbs were selected as members of the possible choice set for the residential burglaries examined here.""
  - ""It is important to note here that the term suburb as used in Western Australia has a different meaning to other parts of the world (particularly the United States and Canada), and is more akin to a neighbourhood in these areas.""
  - ""The overall geographic placement of these suburbs in relation to the Swan River, selected major roads, and the location of the railway line are displayed in Figure 1""
  - ""The essential elements involved with the application of discrete spatial choice are: (a) defining the boundaries of the choice set, (b) capturing the unique attributes of the decision-makers and (c) modelling the interaction between the individual chooser's characteristics and choice for the whole population (McFadden, 1974).""
  - ""The final dataset contained 1,761 singleoffender (actual or attempted) residential burglaries committed between January 1, 2001, and December 31, 2002 , where the offender resided in the city of Perth.""
  - ""The advantage of the discrete spatial choice approach is that it places realistic constraints on those 'bounded rational choices' that rational choice theorists discuss (Cornish & Clarke, 1986).""
  - ""A further issue concerns the selection of the spatial scale for burglary analysis in this case. This is a complex problem and there may be no solution that is applicable across the ecology of different cities.""","- The paper uses ""residential suburbs"" as the spatial units of analysis (SUoA Type).
- The average size of these suburbs is given as 6.76 km² (SUoA Size).
- The suburbs are described as having a mean population of 4,669 residents and 1,791 dwellings (SUoA Description).
- There are 291 residential suburbs in the study (Number of Units).
- The average population per unit is 4,669 residents (Population per Unit).
- The rationale for choosing suburbs as the spatial unit is not explicitly justified with a direct quote, but it is implied that suburbs are used because they are a natural administrative unit in Western Australia and are consistent with the data available from the Australian Bureau of Statistics (Quoted Rationale).
- The rationale category is likely ""Data availability"" and ""Admin convenience"" since suburbs are a standard administrative unit in Western Australia and data is readily available at this level (Rationale Category).
- The justification summary is that suburbs were chosen as the spatial unit because they are a standard administrative unit in Western Australia, aligning with available data and administrative convenience (Justification Summary)."
"(Curtis-Ham et al., 2022a)",NA,"Statistical_Area_
2",Burglary,"- ""The median land area of the sampled SA2s was 1.2km 2 (quartiles 0.84, 2.2 km 2 ) on average across the five offences modelled.""
  - ""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""
  - ""Selecting the spatial unit involves balancing a range of considerations by the analyst (Bernasco 2010a). These include theoretical relevance (how big is one unit of 'activity space'?), spatial spill-over (if the unit is too small the choice is influenced by the attributes of surrounding units), spatial heterogeneity (if the unit is too big then variation within the unit that could affect the choice is not captured), and computational processing (if there are too many units the capacity of available computing equipment may be exceeded).""","- The spatial unit of analysis (SUoA) used in the study is the ""Statistical Area 2"" (SA2), which is a type of administrative unit.
- The size of these units is described as typically containing 2000-4000 residents in urban areas and 1000-3000 residents in rural areas, with a median land area of 1.2 km².
- The number of units is not explicitly mentioned, but it is implied that there are multiple SA2s used in the study.
- The rationale for choosing SA2s includes their comparability to units used in other studies and the need to balance theoretical relevance, spatial spill-over, spatial heterogeneity, and computational processing.
- The justification category is a mix of prior research and practical constraint, as the choice is influenced by both the comparability to other studies and the practical considerations of data analysis."
"(Curtis-Ham et al., 2022b)",NA,Statistical_Area,Burglary,"- ""In this study we used the NZ Census Statistical Area 2 (SA2) as the set of locations from which an offense location could be chosen.""
  - ""There were 2153 SA2s, with land areas of 0.063km 2 to 12,042.36km 2 , reflecting the relative population density in urban and rural areas (median 1.962km 2""
  - ""SA2s roughly equate to neighborhoods and typically contain 2000-4000 residents in metropolitan areas (1000-5000 in rural areas).""
  - ""SA2s are comparable to the units used in other crime location choice studies (e.g., Clare et al. 2009;Townsley et al. 2015).""","- The paper specifies that the spatial units of analysis (SUoA) used in the study are the New Zealand Census Statistical Area 2 (SA2).
- The size of these units is described in terms of land area, ranging from 0.063 km² to 12,042.36 km², with a median of 1.962 km².
- The number of SA2s used in the study is given as 2153.
- The population per unit is described as typically containing 2000-4000 residents in metropolitan areas and 1000-5000 in rural areas.
- The rationale for choosing SA2s is implied by their comparability to units used in other crime location choice studies, suggesting a basis in prior research and consistency with established methodologies."
"(Curtis-Ham et al., 2025)",2025,Statistical_Area,Burglary,"- ""In the present study the alternatives are the neighborhoods (""Statistical Area 2"" Census Units, or ""SA2s"") from which offenders are selecting when deciding where to commit crime.""
  - ""Consistent with previous studies (e.g., Clare et al., 2009;Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""
  - ""using SA2s balances the risk of ignoring spatial spill-over mechanisms-where choices between small units are affected by nearby units-and the risk of ignoring spatial heterogeneity-where the use of large units may fail to capture important variation within those units.""","- The paper specifies that the spatial units of analysis are ""Statistical Area 2"" Census Units, or ""SA2s,"" which are a type of administrative unit.
- The size of these units is described as having a median land area of 1.2 km², with a range of 0.84 to 2.2 km².
- The number of units is not explicitly mentioned in the provided text, but it is implied that there are 2,153 SA2s in total, as mentioned in the context of sampling.
- The population per unit is given as typically containing 2,000-4,000 residents, with a lower range in rural areas.
- The rationale for choosing SA2s is based on consistency with previous studies and the balance between avoiding spatial spill-over and capturing spatial heterogeneity.
- The justification category is ""Prior research"" and ""Theory–method,"" as the choice is consistent with previous studies and aligns with theoretical considerations for spatial analysis."
