Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""THEORETICAL FRAMEWORK & OBJECTIVES""",quotes,num_quotes
"(Marchment & Gill, 2019)",Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),0.15,Northern Ireland,"- ""This is the first study to apply a discrete choice model to understand terrorist spatial decision making.""
  - ""The findings support the proposition that terrorists make decisions that are guided by rationality and act in a similar way to urban criminals.""
  - ""A conditional logistic regression ascertained which characteristics increased the likelihood that an area would be selected as a target, using a dataset of attacks carried out by the Provisional Irish Republican Army in Belfast over a twentyyear period.""
  - ""Increasingly, studies examine the behaviours underpinning a terrorist attack using approaches developed for the study of the ordinary criminal""
  - ""Much like ordinary criminals, they make a series of costbenefit analyses to judge whether a particular offense is worth committing.""
  - ""The discrete choice approach (McFadden, 1974) can appropriately model between a set of two or more discrete alternatives, based on the utility the offender expects to derive from each alternative""
  - ""The findings are very promising and provide further support that terrorists behave similarly to 'traditional' criminals in terms of spatial decision making when selecting targets.""
  - ""The results demonstrate the characteristics of the target SAs as well as the properties of their likely journey to the target influenced the location of PIRA attacks.""
  - ""The model indicated that three of the variables affected the likelihood of a SA being chosen as a target.""
  - ""The results provide support that decisions made by terrorists are guided by rationality, are similar to those made by traditional criminals, and are affected by associated risks and rewards.""",,10
"(Johnson & Summers, 2015)",Lower_Super_Output_Area,Theft,0.2,United Kingdom,"- ""This study examines how the characteristics of neighborhoods and their proximity to offender home locations affect offender spatial decision making.""
  - ""Using a discrete choice model and data for detected incidents of theft from vehicles (TFV), we test predictions from two theoretical perspectives-crime pattern and social disorganization theories.""
  - ""In the present article, we examine spatial patterns of a high-volume acquisitive crime that has received little attention in the academic literature-theft from vehicle (TVF)and do so using a discrete spatial choice approach""
  - ""In what follows, we review relevant theoretical perspectives and discuss existing research that has examined offender mobility.""
  - ""we consider two different (but compatible) theoretical perspectives: crime pattern and social disorganization theory.""
  - ""The aim of so doing was twofold. First, to test theories of spatial decision making for a different type of crime that is committed under different conditions to those examined hitherto, thereby testing the generality of the theoretical perspectives considered.""
  - ""Second, to examine particular expectations suggested by theoretical models that had not been tested so far.""
  - ""Research demonstrates that crime is spatially concentrated. However, most research relies on information about where crimes occur, without reference to where offenders reside.""
  - ""The implications for criminological theory and crime prevention are discussed.""
  - ""the present study provides further evidence to support crime pattern and social disorganization theory in explaining offender spatial decision making.""",,13
"(Baudains et al., 2013)",Lower_Super_Output_Area,Riot-Related Incidents,0.33,United Kingdom,"- ""In the current study, we derive and test a set of expectations regarding rioter spatial decision making developed from theories originally intended to explain patterns of urban crime when law and order prevail—crime pattern and social disorganization theory—and consider theories of collective behavior and contagion.""
  - ""The results demonstrate that rioter target choices were far from random and provide support for all three types of theory, but for crime pattern theory in particular.""
  - ""To examine this issue, we explore the spatial distribution of the riots that occurred in London during August 2011.""
  - ""The aim of the current article was to advance understanding of the spatial decision making of rioters and to consider the utility of different theoretical accounts.""
  - ""the findings provide insight into the types of areas that may be most vulnerable during riots and why this is the case, and when particular areas are likely to be at an elevated risk of this type of disorder.""
  - ""The results also provide some support for theories of social disorganization as influencing the spatial decision making of rioters.""
  - ""the current study provides further support to suggest that the choices made by rioters are not irrational.""",,7
"(Rowan, Appleby & McGloin, 2022)",Census_block_group,Group Crime,0.37,United States,"- ""Research has yet to directly test whether areas characterized by a high degree of convergence spaces indeed generate higher levels of group crime, but there are three key studies that provide some indirect evidence to support Felson's arguments.""
  - ""The few scholars who have integrated neighbourhood context into co-offending inquiries demonstrated that there are insights to be gained (e.g., Schaefer 2012;Schaefer et al. 2014), but it remains the case that a seminal argument about the role of spatial structure in producing group crime has yet to be held to direct empirical scrutiny.""
  - ""Felson (2003) proposed that offenders find and interact with accomplices-a basic precondition of co-offending-based on routine activities through the environment.""
  - ""The current study extends crime pattern theory and addresses this gap in the co-offending literature by considering whether the distribution of co-offences across census block groups in Baltimore City (Maryland) is related to measures of activity nodes and 'connected' street networks, net of the solo crime rate.""
  - ""Based on arguments forwarded by Felson, the current study argues these environmental features also facilitate convergence spaces that promote interaction among offenders that increase the likelihood of group crime.""",,10
"(Frith, 2019)","Census_output_
areas",Serious Acquisitive Crime (Sac),0.44,United Kingdom,"- ""One of the central topics in crime research, and one in which discrete choice modelling has been relatively recently introduced, is the study of where offenders choose to commit crime.""
  - ""this study uses the latent class (and mixed and conditional logit) to examine the offence location choices of serious acquisitive crime offenders in York (UK).""
  - ""This study also finds that the latent class and mixed logit equally fit the data though there are some differences in the results.""
  - ""This article furthers this growing area of research through the introduction and testing of the LCL and comparing it to the equivalent CL and ML models.""
  - ""This study therefore contributes to the criminological literature by: 1. By estimating the presence and scale of preference variation, including for the first time using the LCL, across a different sample of offenders.""
  - ""2. By testing the extent to which the heterogeneity in this sample is better represented by discrete distributions in the LCL rather than continuous distributions in the ML.""
  - ""3. Because offender characteristics can be related to class membership in LCL, by investigating observable but not currently hypothesised potential sources of heterogeneity more nuanced than they can be captured using interactions with broad groupings in CL and ML.""
  - ""Although many of these studies have investigated acquisitive crimes such as residential burglary (e.g. Bernasco and Nieuwbeerta, 2005;Bernasco, 2006), robbery (e.g. Bernasco and Block 2009;Bernasco et al., 2013) and theft from vehicles (Bernasco, 2010;Johnson and Summers, 2015), others have analysed offences such as violence (Summers, 2012) and terrorism (Marchment and Gill, 2019) and found the offenders generally behaviour similarly.""
  - ""In all but three of these analyses the conditional logit [CL] (McFadden, 1974) has been used. This model assumes that offender preferences are homogenous, or that they only systematically differ between broad sub-groups, for example between juvenile and adult offenders.""
  - ""As such, three more recent studies (Townsley et al., 2016;Frith et al., 2017;Long et al. 2018) acknowledge that offender preferences are likely to vary including in subtle or unobservable ways.""",,11
"(Bernasco et al., 2015)",Lower_Level_Super_Output_Area_(LSOA),Burglary,0.51,United Kingdom,"- ""Informed by a growing literature on space-time patterns of repeat and near repeat burglary victimization, a crime location choice model was used to test whether burglars are attracted to areas they previously targeted.""
  - ""Human behavior in space is remarkably regular and predictable. For example, Song, Qu, Blumm, and Barabasi (2010) showed that knowing a person's recent locations greatly helps to predict their future whereabouts.""
  - ""More than two decades of research shows that past burglary victimization best predicts future burglary victimization risk (Pease, 1998).""
  - ""Our burglary location choice model builds on prior work (Cornish & Clarke, 1986 ) that was inspired by rational choice theory, which claims that when people make decisions they choose the alternative from which they expect most utility (benefits minus costs, or pleasure minus pain).""
  - ""The study reported here aims to further explore questions of repeat crime location choices and differs in three key aspects from the study by Lammers et al. (2015).""
  - ""In sum, we develop explicit hypotheses on how the time and location of past burglaries affect a burglar's subsequent decisions of where to commit burglaries, and integrate the theory that motivates these into a more general model of burglary location choice.""
  - ""How do offenders decide where to commit a burglary, and how do times, places and other characteristics of their prior burglaries enter into that decision?""
  - ""The theoretical inspiration for these studies was informed by crime pattern theory (Brantingham & Brantingham, 2008), in particular the concept of criminal awareness space, and how this might shape crime location choices.""
  - ""This paper addressed the question of whether having burgled in a particular area, a burglar is more likely to target the same area again, and if so, whether this effect depends on the recency of the prior burglaries and whether it spills over to nearby areas.""",,10
"(Bernasco, 2006)",Neighborhood,Burglary,0.65,Netherlands,"- ""In developing a theoretical framework that could help answer these questions, the initial focus will be on general issues of criminal location choice in burglary.""
  - ""Ethnographic research shows that, as compared to other types of offences, residential burglary is an offence that is often prepared for and committed in a relatively purposeful and calculated way""
  - ""Johnson and Bowers (2004) describe the target search of burglars in terms of the foraging theory, a theory in behavioural ecology that explains the foraging behaviour of animals""
  - ""The metaphor of foraging behaviour may even be fruitfully extended here, because the optimal foraging theory also addresses questions pertaining to solitary foraging versus flock (group) foraging in animals, questions that bear similarity to questions on solitary offending versus co-offending that are the subject matter of the present paper.""
  - ""The first question has been the subject of numerous studies, including recently Bernasco and Nieuwbeerta (2005), but scarcely any attention has been devoted to the second question.""
  - ""The results support the postulated relevance of physical accessibility and proximity to the offenders' homes for both single offenders and co-offending groups.""
  - ""The focus is thus exclusively on the issue of how target neighbourhoods for burglary are chosen, not on why and how offender groups are formed.""
  - ""the research does not answer the question why people burgle; it does not study how the motivation to burgle emerges and develops.""
  - ""The results of these tests partially support the general theory on burglary target area choice, but do not provide evidence for the postulated differences.""",,10
"(Bernasco & Nieuwbeerta, 2005)",Neighborhood,Burglary,0.65,Netherlands,"- ""This paper introduces the discrete spatial choice approach to the study of criminal target choice.""
  - ""The approach is used to assess whether residential burglars are attracted to target areas that are affluent, accessible, and poorly guarded.""
  - ""The theory is tested using data on 548 residential burglaries, committed by 290 burglars from the city of The Hague, the Netherlands.""
  - ""The problem of criminal location choice is a classical one in criminology.""
  - ""In the literature, answers to the latter question have involved two general notions that have usually been dealt with separately.""
  - ""The first is the notion that for a crime to occur, a motivated offender must find a suitable target, in the absence of a capable guardian (Cohen and Felson 1979).""
  - ""The second is the notion that crimes tend to occur close to where the offender lives (Baldwin and Bottoms 1976: 78-98; Wiles and Costello 2000;Ratcliffe 2003).""
  - ""This paper combines these two notions, in an attempt to answer the question of how residential burglars select their target areas.""
  - ""The likelihood of a neighbourhood's being selected for burglary is heightened by its ethnic heterogeneity, its percentage of single-family dwellings, and its proximity to where the offender lives.""
  - ""The results and prospects of the discrete spatial choice approach for spatial target selection research are discussed.""
  - ""Any theory of criminal choice should address at least two issues. It should define the set of relevant alternatives that offenders choose from, and it must specify the various decision criteria that offenders use when selecting a target.""
  - ""The discrete spatial choice approach applies a general micro-economic framework to discrete choice behaviour.""
  - ""The point of departure of the discrete spatial choice approach is an actor who is faced with a choice amongst a number of discrete spatial alternatives, of which he must choose only one.""
  - ""In conclusion, the three approaches discussed above have relevance for the problem of criminal location choice, but each of them has disadvantages when it comes to testing theories.""
  - ""In this paper, we apply an approach that combines the advantages of these prior approaches, but lacks their disadvantages: the discrete spatial choice approach.""",,18
"(Bernasco & Block, 2009)",Census_tract,Robbery,0.7,United States,"- ""The model draws on various theoretical and empirical traditions, which include environmental criminology, journey to crime research, gang research, and social disorganization theory.""
  - ""To answer these questions, a model is developed of how robbers choose target areas.""
  - ""Our empirical investigation of robbery location choice in Chicago builds on theoretical approaches and empirical studies that deal with the selection of attractive targets, the length of the journey to crime, the effects of racial and ethnic barriers to urban travel, the spatial aspects of gang territoriality, and the collective efficacy of residential communities.""
  - ""The approach we take assumes that committing robberies is purposeful behavior and that the choice of locations and victims is not random but is guided by some form of rationality.""
  - ""The model is estimated using a unique set of data on cleared robbery cases in Chicago and the offenders involved in them, on the communities where the offenders reside, and on those where they attack their victims.""
  - ""We unify these diverse topics in a single framework and derive a set of testable hypotheses.""
  - ""The research presented here confirms the discrete choice model as a useful tool for modeling criminal location choice, in part because it distinguishes the residence of the offender from the place where the offense takes place.""",,7
"(Vandeviver & Bernasco, 2020)",Statistical_districts,Burglary,0.79,Belgium,"- ""The major contribution of our research is that it investigates burglary target choice at the appropriate level of aggregation-burglars burglarize homes rather than complete neighborhoods-while still considering neighborhood-level attributes that affect these choices and taking into account the home locations of the burglars themselves and their limited action radius.""
  - ""Our results offer support for theoretical accounts of burglary target selection that characterize it as being informed both by attributes of individual properties and attributes of the environment as well as combinations thereof.""
  - ""Theoretically, it speaks to the rational choice perspective, in particular to the untested claim that burglars' target selection is informed both by attributes of individual properties and attributes of their environment (Cornish and Clarke 1986).""
  - ""Understanding how burglars select targets has practical relevance for burglary prevention.""
  - ""The main assumption of rational choice theory is that offenders engage in a nominally rational cost-benefit analysis when they commit crimes and when they select crime targets (Cornish and Clarke 2008;Nee and Meenaghan 2006).""
  - ""Crime pattern theory addresses where offenders search for suitable targets.""
  - ""In this paper, we combine elements of both rational choice theory and crime pattern theory to explain residential burglars' target selection, and derive hypotheses on which area and residence attributes affect burglars' target choices.""
  - ""Our results carry implications for theory and research on offender spatial decision-making.""
  - ""the adopted model of target selection is not burglary specific. It is a generic model that is applicable to offending in both instrumental and expressive crimes (see Brantingham and Brantingham 1978, 1984)""
  - ""Our study opens up at least two avenues for future research.""",,14
"(Curtis-Ham et al., 2025)",Statistical_Area,Burglary,1.2,New Zealand,"- ""This paper examines the recently theorized roles of the reliability and relevance of offenders' knowledge of locations in their crime location choices.""
  - ""The results support a recent extension of crime pattern theory and highlight the importance of including both reliability and relevance factors when modeling or predicting offenders' crime location choices.""
  - ""According to crime pattern theory, people commit crime where their awareness space-the areas they know around activity locations where they live, work, and socialize-overlaps with crime opportunities""
  - ""To address this question, Curtis-Ham et al. (2020) recently proposed a theoretical model whereby attributes of individuals' activity locations influence crime location choice via two psychological mechanisms reflecting how their activities generate knowledge of crime opportunities.""
  - ""The hypothesis (H1) predicts that crime is more likely ""near"" to activity nodes with certain attributes and in crime location choice research, near is often operationalized as meaning ""within the same spatial unit.""""
  - ""This study aimed to advance our ability to explain and predict where individual offenders will commit crime, by testing the hitherto untested contributions of the reliability and relevance constructs theorized in the model proposed by Curtis-Ham et al. (2020).""
  - ""However, because prior research has focused on specific attributes of activity locations in isolation (as elaborated below), this theory has not been empirically validated.""
  - ""To enhance the empirical support for this theory and improve our ability to explain and predict crime locations, we explored the roles of reliability and relevance using data on burglary, robbery, and extra-familial sex offenses in New Zealand.""
  - ""The present findings build on prior studies that employed DSCMs to study individual reliability and relevance variables in isolation (e.g., Bernasco, 2019;Ruiter, 2017;van Sleeuwen et al., 2021), by demonstrating how these variables operate collectively.""
  - ""Our findings broaden the empirical evidence base for crime pattern theory (Brantingham & Brantingham, 1991, 1993a) and its extension in the model proposed by Curtis-Ham et al. (2020)""",,14
"(A. Chamberlain et al., 2022)",Block_groups,Burglary,1.36,United States,"- ""While prior research has consistently found that adults and juveniles travel different distances to commit crime, few studies have looked at how neighborhood context may affect those patterns.""
  - ""This study has shown that not only are neighborhood characteristics important above and beyond distance, but that their relative influence varies across adults and juveniles.""
  - ""Second, few residence-to-distance studies have examined whether burglaries committed as a group or individually are differentially impacted by neighborhood characteristics, and we are not aware of any that has specifically examined differences between groups of adults and groups of juvenile offenders.""
  - ""The current study expands on prior research in several ways. First, we compare how broader social and demographic characteristics influence juvenile versus adult burglary target locations above and beyond geographic distance.""
  - ""The relative influence of neighborhood conditions on target decisions may be further complicated depending on whether an individual is engaging in crime alone or with others as part of a group.""
  - ""We test whether offending patterns among adult and juvenile burglars vary based on distances traveled, the types of neighborhoods targeted, and whether suspects acted alone or in a group.""
  - ""The current study assesses how neighborhood socioeconomic and demographic characteristics might differentially influence which neighborhoods are ultimately selected for crime between adults and juveniles, and whether group-offending dynamics alter these selections.""",,9
"(Curtis-Ham et al., 2022a)","Statistical_Area_
2",Burglary,1.41,New Zealand,"- ""Understanding the relationships between individual offenders' crime locations and their prior activity locations is important to enable individual level predictions to support crime prevention and investigation strategies.""
  - ""This study examined a wider range of crimes and activity locations than included in previous studies, to determine whether offenders are more likely to commit crime near some types of activity locations than others.""
  - ""The observed patterns for different activity locations and crime types broadly support a recently proposed extension to crime pattern theory and illustrate the benefits of differentiating activity location and crime types when examining criminal spatial behaviour.""
  - ""We know from routine activity theory (Cohen and Felson 1979) and crime pattern theory (Brantingham and Brantingham 1991, 1993a ) that crimes occur where opportunity (i.e., the presence of a suitable and available target) overlaps with offenders' awareness spaces: the locations known to offenders through their routine noncriminal activities such as where they live, work, or socialise with family or friends.""
  - ""Recent theoretical development suggests that some types of activity locations are more salient to offenders' crime location choices than others (Curtis-Ham et al. 2020).""
  - ""But despite the practical importance of being able to predict-at an individual level-where a person will commit crime, given knowledge of their different activity locations, little research has explored empirically the extent to which various types of activity locations differ in their effects on crime location choices.""
  - ""This study leverages a large national dataset of offenders' pre-crime activity locations recorded in a police database, in a previously unresearched context (New Zealand)""
  - ""the main aim of this paper was to expand our understanding of how these associations differ between activity locations.""
  - ""The results have implications for offender risk assessment and management, and geographic profiling in police investigations.""",,12
"(Song et al., 2019)",Census_unit,Theft,1.62,China,"- ""Objective According to routine activity theory and crime pattern theory, crime feeds on the legal routine activities of offenders and unguarded victims.""
  - ""the present study investigates whether daily mobility flows of the urban population help predict where individual thieves commit crimes.""
  - ""The key question is thus one that precisely describes the criminal location choice approach (Bernasco and Nieuwbeerta 2005): Given the home location of an offender motivated to commit a crime and given the locations of all potential targets, can we understand and predict where the offender commits the offense?""
  - ""the main research question of the present study is whether daily mobility flows of the general population, as measured by tracked mobile phone data, help us explain and predict where individual offenders commit thefts from the person.""
  - ""If the answer is positive, an additional question is whether the inclusion of mobility flows adds to the effects of the distance and crime generators, or rather replaces them.""
  - ""Our findings not only add to the testing and development of opportunity theories, they also contribute to a growing body of research that aims to test in other cultures and on other continents crime theories that have been developed in the USA, Europe and Australia.""
  - ""The present study was inspired by this assumption. Its purpose was to explore whether knowledge of the daily mobility pattern of the population across urban space furthers the explanation of where offenders choose to commit thefts from the person.""
  - ""The present study aims to test this key assumption of opportunity theories.""",,8
"(Long et al., 2021)",Community,Robbery,1.62,China,"- ""Based on the literature, this study integrates ambient population and surveillance cameras data, from the perspective of guardianship.""
  - ""The discrete spatial choice modeling is used to test the impact of their guardianship role on street robbers' crime location choice, accounting for accessibility and proximity, crime attractors and generators, and social disorganization.""
  - ""Research on offender's crime location choice is often guided by routine activity theory, crime pattern theory, and social disorder theory.""
  - ""The first research question is: Does ambient population have a guardianship role in street robbers' crime location choice?""
  - ""The second research question is: Do surveillance cameras play a guardianship role in curbing street robbers' crime location choice?""
  - ""The third research question is: Does the integration of ambient population and surveillance cameras increase the explanatory power of the location choice model for street robbery?""
  - ""previous research on offenders' crime location choice did not consider the impacts of ambient population and surveillance cameras on street robbery.""
  - ""To fill this gap, this study integrates ambient population and surveillance cameras in assessing street robbers' decision making in ZG City of China, by using discrete spatial choice modeling.""
  - ""The findings of this study may provide scientific insight to the city government on urban planning and deployment of surveillance cameras for crime prevention.""",,9
