Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""SPATIAL UNITS - DESCRIPTION & JUSTIFICATION""",quotes,num_quotes
"(Baudains et al., 2013)",Lower_Super_Output_Area,Riot-Related Incidents,0.33,United Kingdom,"- ""Data exist across the complete set of 4,765 LSOAs in the Greater London area, and each LSOA typically consists of around 1,500 residents.""
  - ""In executing our research design, we are interested in offender decision making at the area level, and our chosen unit of analysis is the U.K. census LSOA.""
  - ""The results presented are robust to the inclusion of two other variables: a measure of police strength and a measure of police relations in the destination areas.""
  - ""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""
  - ""The estimates of population churn rates and ethnic heterogeneity were derived using data from the 2001 U.K. Census.""",,5
"(Rowan, Appleby & McGloin, 2022)",Census_block_group,Group Crime,0.37,United States,"- ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""Data include street connectivity measures from the Environmental Protection Agency and publicly available arrest information from Baltimore City (2013-16).""",,2
"(Frith, 2019)","Census_output_
areas",Serious Acquisitive Crime (Sac),0.44,United Kingdom,"- ""the alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""
  - ""The study area in these analyses is the city of York (UK), which covers approximately 270km""
  - ""In general, finer spatial granularity are to be preferred (see also Weisburd et al., 2009). For example, while offenders' mental boundaries between areas are effectively inscrutable, and will, to some degree, vary from offender to offender, larger spatial areas tend to be more heterogeneous.""
  - ""For these analyses, revealed preference data for 1,105 recorded3 and solved4 SAC in York committed by 687 offenders living in York between April 2008 and March 2012 were collected.""",,4
"(Bernasco et al., 2015)",Lower_Level_Super_Output_Area_(LSOA),Burglary,0.51,United Kingdom,"- ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""
  - ""Spillover effects can be assessed using either hierarchical spatial nesting structures or spatial proximity structures (Bernasco & Elffers, 2010). Because the boundaries of the UK census areas are designed to optimize social homogeneity in terms of household tenure and dwelling type (Haining, 2012;Sturgis, Brunton-Smith, Kuha, & Jackson, 2013), we preferred the former, and estimated spillover using variables measured at the next higher level of the census geography in the UK, the Middle Layer Super Output Area (MSOA).""
  - ""LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""
  - ""LSOAs are smaller than the postal code areas used in some other crime location choice studies (Bernasco, 2010b;Lammers et al., 2015) but larger than the micro-scale places used in others (Bernasco, 2010a;Bernasco et al., 2013).""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary.""",,7
"(Bernasco, 2006)",Neighborhood,Burglary,0.65,Netherlands,"- ""The Hague comprises of 89 residential neighbourhoods.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""Each residential burglary and each offender address was assigned to one of the 89 residential neighbourhoods of The Hague.""
  - ""The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""",,4
"(Bernasco & Nieuwbeerta, 2005)",Neighborhood,Burglary,0.65,Netherlands,"- ""The average neighbourhood has a surface of 0.65 square kilometres, is home to 4,952 residents and contains 2,380 residential units (DSO 2001).""
  - ""In order to test hypotheses on burglary location choice in The Hague, we introduced a new approach, i.e. the discrete spatial choice approach.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""The Hague comprises 89 residential neighbourhoods.""",,4
"(Bernasco & Block, 2009)",Census_tract,Robbery,0.7,United States,"- ""In line with many other studies of spatial choice (Block and Block, 1995;Boggs, 1965;Velez, 2001), we use the census tract as our unit of analysis of location choice.""
  - ""Although smaller units of analysis minimize within-unit heterogeneity, the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the ""collective efficacy"" measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""
  - ""Furthermore, our reading of the empirical literature that addresses the modifiable area unit problem in the context of crime (e.g., Hipp, 2007; Wooldredge, 2002) is that effects tend to be fairly robust across geographic levels of aggregation.""
  - ""Finally, there is also an empirical aspect to the question of the appropriate unit of analysis. No less than 73 percent of the Chicago robberies were committed outside the census tract in which the offender lived.""
  - ""Data on the population size and the racial and ethnic composition of the 865 census tracts in the city of Chicago in 2000 were taken from the public files of the U.S. Census Bureau.""
  - ""Tracts with a population below 100 were not used in the analysis, which applies to 21 tracts (2.4 percent); the other 844 census tracts are considered in the analysis.""
  - ""In future work, it might be advisable to use smaller units of spatial aggregation. Using census tracts, 28 percent of the offenders committed a robbery in their home census tract. Thus, for 28 percent of them, where they live completely explains where they offend.""",,9
"(Vandeviver & Bernasco, 2020)",Statistical_districts,Burglary,0.79,Belgium,"- ""The Census subdivides Ghent in geographical entities called 'statistical districts', of which 193 have a residential function. Throughout this paper we refer to these entities as 'neighborhoods'.""
  - ""The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size (e.g., Lammers et al. 2015;Menting et al. 2016).""
  - ""The Census identified 138,321 residences in Ghent. For each residence, Statistics Belgium provided a unique identification number and five variables.""
  - ""The analysis of burglary target choice should thus preferably define 'residence' as its main unit of analysis (Bernasco 2010a; Vandeviver et al. 2015a""
  - ""On average, the 193 residential neighborhoods have a population of 1287 residents (standard deviation [sd] = 1299), 717 residences (sd = 785) and cover an area of 0.79 (sd = 1.00) square kilometers.""",,5
"(Curtis-Ham et al., 2025)",Statistical_Area,Burglary,1.2,New Zealand,"- ""In the present study the alternatives are the neighborhoods (""Statistical Area 2"" Census Units, or ""SA2s"") from which offenders are selecting when deciding where to commit crime.""
  - ""Consistent with previous studies (e.g., Clare et al., 2009;Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""
  - ""using SA2s balances the risk of ignoring spatial spill-over mechanisms-where choices between small units are affected by nearby units-and the risk of ignoring spatial heterogeneity-where the use of large units may fail to capture important variation within those units.""",,7
"(A. Chamberlain et al., 2022)",Block_groups,Burglary,1.36,United States,"- ""we include demographic and economic data from the US Census for all 334 block groups in the city.""
  - ""We use block groups to define a neighborhood because these are the smallest unit available where meaningful sociodemographic data are available.""
  - ""a handful of block groups were removed due to missing data on some Census variables, leaving the total number of neighborhoods analyzed at 304.""",,3
"(Curtis-Ham et al., 2022a)","Statistical_Area_
2",Burglary,1.41,New Zealand,"- ""The median land area of the sampled SA2s was 1.2km 2 (quartiles 0.84, 2.2 km 2 ) on average across the five offences modelled.""
  - ""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""
  - ""Selecting the spatial unit involves balancing a range of considerations by the analyst (Bernasco 2010a). These include theoretical relevance (how big is one unit of 'activity space'?), spatial spill-over (if the unit is too small the choice is influenced by the attributes of surrounding units), spatial heterogeneity (if the unit is too big then variation within the unit that could affect the choice is not captured), and computational processing (if there are too many units the capacity of available computing equipment may be exceeded).""",,4
"(Song et al., 2019)",Census_unit,Theft,1.62,China,"- ""Using census units as spatial units of analysis implies that we aggregate numbers of crime generators to the census unit level, and thus sum the numbers of schools, restaurants, bus stops and other facilities per census unit.""
  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""
  - ""The census unit was chosen as the spatial unit of analysis because census units have a size similar to those in comparable studies (Bernasco and Block 2009;Clare et al. 2009;Menting et al. 2016), because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""
  - ""The mean population is 5956 (standard error 4706, minimum 245, maximum 51,450).""",,4
"(Long et al., 2021)",Community,Robbery,1.62,China,"- ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""
  - ""The data matrix of dependent variables is constructed by using these cases. The calculation of dependent variables in discrete spatial choice modeling refers to the method by Bernasco et al. (2013) and Johnson and Summers (2015). This paper assumes that a street robber chose one for robbery among 1971 communities (1971 alternative sets).""
  - ""The selected neighborhood is recorded as ""1""; otherwise, the non-selected one is recorded as ""0"". Therefore, for each case, it has 1971 rows of data with a ""1"" and 1970 ""0"".""
  - ""The dataset included the following information of each arrested robber: the unique offender identifier, the Hukou status, the home address, and the location and time of the robbery.""",,5
"(Long & Liu, 2021)",Neighborhood,Robbery,1.62,China,"- ""The second type of data is a dataset coupled with individual factors (distance of journey to crime variables) and key neighborhood factors, including 2014 POI data (point coordinates), 2014 traffic road network vector map data, 2015 bus stop data (point coordinates) crawled based on Baidu API, within one week of 12 to 18 May 2016 ZG City's mobile phone data and the sixth census data of ZG city in 2010 (Table 3""
  - ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City. The first type of data is the arrest data of street robbers in ZG City from 2012 to 2016 provided by ZG City's Public Security Department.""
  - ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City.""
  - ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""",,4
"(Long & Liu, 2022)",Neighborhood,Robbery,1.62,China,"- ""the locations of the robbery were geocoded into one of 1971 neighborhoods as the dependent variable.""
  - ""The data in this paper and those of Long et al. (2021) are derived from the same dataset for ZG City, but they have different research questions.""",,2
"(Long et al., 2018)",Community,Robbery,1.62,China,"- ""The characteristics (sex and age) about the sample of street robbers are reported in Table 1 . For example, street robbers are almost exclusively men (98.67%), and there are only 7 females (1.33%). At the same time, teenagers and adult robber are the overwhelming majority (96.77%), and 51 and older robbers are the minority (3.23%).""
  - ""Finally, a total of 527 street robbers involving 1262 street robberies are screened out for further analysis.""
  - ""The data includes 11,455 cleared robberies, among which 67 percent were committed by a single robber without accomplices, 17 percent were committed by two robbers, and 16 percent were committed by three or more robbers.""
  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""",,4
"(Kuralarasan & Bernasco, 2022)",Wards,Theft,2.18,India,"- ""Contemporary work on crime at places (Lee et al. 2017;Weisburd et al. 2009) emphasizes the heterogeneity of such large units and suggests that crime better be studied at more fine-grained resolutions, such as streets, street segments or parcels, as this could better reflect the very local nature of crime attractors and generators and guardianship.""
  - ""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere (i.e., Long et al. 2018;Townsley et al. 2015), but due to the high population density in Chennai, the population sizes of wards are larger than those in most other studies.""
  - ""The study area for the present research is the Greater Chennai City Corporation, a metropolitan area with a population of over 6.6 million during the latest census in 2011. It consists of 201 wards with an average surface area of 2.18 km 2 (quartiles 0.97, 1.61 and 2.53) and an average population of 33,195 (quartiles 21,451, 36,560 and 43,622)""",,4
"(S. van Sleeuwen et al., 2021)",Neighborhood,Multiple Types,2.63,Netherlands,"- ""In order to determine the adequate spatial and temporal resolution for our unit of analysis, we first checked the reported level of accuracy for the seven routine activity domains and the five different reported types of crime. Spatial accuracy was generally higher for the reported routine activity nodes than for the crimes. However, for all 12 categories combined, more than three-quarters of the locations were indicated to be reported at least at the neighbourhood level.""
  - ""The dependent variable crime committed in neighbourhood (1 = yes; 0 = no) indicates whether or not an offence was committed in a specific neighbourhood.""",,3
"(Menting et al., 2020)",Neighborhood,Theft,2.63,Netherlands,"- ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""
  - ""Given their size and homogeneous character, Dutch neighbourhoods are expected to be well known to those who regularly visit them.""
  - ""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""",,3
"(Xiao et al., 2021)",Community,Burglary,2.74,China,"- ""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""
  - ""All residential burglaries were geocoded to one of the 2643 communities in ZG city.""
  - ""Community size has a skew distribution though, with half of all communities smaller than 0.92 kmsq., but the smallest area only 0.01 km-sq. and the largest 82.49 km-sq.""
  - ""Communities in the downtown area are generally smaller with a higher population density, whereas communities in the suburbs often have a lot of farmland or woodland and are thus usually bigger in size with relatively low numbers of residents.""",,6
"(Yue et al., 2023)",Community,Theft,2.81,China,"- ""Finally, 1636 communities remain in this study.""
  - ""This study is conducted in ZG city, a megacity in southeast China. With an urbanization rate of 86.46%, the population of permanent residents in the city amounted to 15.30 million in 2019. There are 2643 communities in the ZG city, and this study takes the community as the spatial unit of analysis.""
  - ""The main aim of this study is to investigate how the presence of people on the street and the streetscape's physical environment affect criminals' crime location choices. First, this study collected a set of finegrained SVIs in a megacity in China. Then, using integrated deep learning networks, we detected on-street population and streetscape physical environment features from these images. A discrete spatial choice model is finally constructed to investigate the effect of streetscape features on offenders' crime location choices. Residence-crime proximity, crime attractors, generators, detractors, and socioeconomic attributes of communities are accounted for, as these factors also influence crime location choice.""
  - ""Because of the high urbanization rate, buildings and roads do generally not change significantly from one year to another. Being situated in a sub-tropical region, trees and bushes remain green throughout the year. Therefore, street view images in ZG, unlike those in high latitude cities, do not have much seasonal variations.""",,7
"(Lammers et al., 2015)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Therefore, four-digit postal code areas are the spatial unit of analysis to indicate ""crime locations"" (crime target areas) and ""areas of residence.""""
  - ""Most other studies on crime location choice analyzed areas of similar or larger size (e.g., Bernasco, 2010b; Bernasco and Block, 2009;Bernasco and Nieuwbeerta, 2005;Clare, Fernandez, and Morgan, 2009;Townsley et al., 2014). Only two crime location choice studies used smaller units of analysis (Bernasco, 2010a; Bernasco, Block, and Ruiter, 2013), but these were designed with very different objectives in mind (e.g., the identification of micro hot spots for robbery and the estimation of spillover effects) than the current study, in which the focus is on the personal geographic experience of offenders.""",,2
"(Lammers, 2017)",Postal_code_area,Burglary,2.96,Netherlands,"- ""the choice set consists of 142 four-digit postal code areas in the greater The Hague region.""
  - ""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b) , it is plausible that those living in or frequently visiting such an area will be familiar with it.""",,3
"(Menting et al., 2016)",Postal_code_area,Not Specified,2.96,Netherlands,"- ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco, 2010: 398)""
  - ""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""",,2
"(S. E. M. van Sleeuwen et al., 2018)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""the alternatives represent the 142 different four-digit postal code areas of the study region, the greater The Hague area in the Netherlands.""
  - ""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle (Bernasco 2010:398)""
  - ""Hence, most people who live in or regularly visit an area should be familiar with that area.""",,6
"(Bernasco, 2010a)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands.""
  - ""There are approximately 4,000 postal code areas nationwide, with an average population size of 4,900 and an average number of households of 2,100.""
  - ""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""
  - ""postal code boundaries have been designed with post delivery services in mind. This design ensures that minimal physical restrictions on travel are in place within the postal code area and that the areas invite local travel by foot and bicycle (which is how post generally is delivered in the Netherlands).""
  - ""the size of postal code areas is related inversely to the level of urbanization. Postal codes in urban areas usually cover less than half a square mile, whereas postal codes in more rural regions are larger (less than 2 square miles).""
  - ""Throughout the remainder of this article, where ""area of residence"" is used to describe empirical findings, it means ""postal code area of residence.""""",,7
"(Bernasco, 2010b)",Postal_code_area,Burglary,2.96,Netherlands,"- ""The empirical analysis distinguishes small residential areas approximately the size of a football field, containing only 18 residential units and 40 residents on average.""
  - ""The postal code system was created with the facilitation of postal delivery services in mind. Therefore, a single postal code is nearly always on the same street, applies to adjacent properties, and is not subdivided by physical barriers that impede pedestrian or car transportation.""
  - ""the study area (Greater The Hague Area) measures 400 sq. km, and houses a population of 1,000,000 residents in 460,000 residential units. This area comprises 26,214 postal code areas.""
  - ""For the present study on residential burglary, only the 23,984 postal codes areas (91.5%) were used that contain at least 3 residential units and at least 3 residents""
  - ""The postal codes in the area comprise 18 addresses on average.""
  - ""The geographic position of a postal code is calculated as the geographic mean of these addresses.""
  - ""the qualifications of a behavior setting (Barker 1968;Wicker 1987) or setting (Wikstro ¨m 2006) seem to fit the postal code area unit well.""
  - ""the main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory""
  - ""Many contemporary scholars in geographic criminology advocate the use of much smaller spatial units of analysis (Groff et al. 2009;Oberwittler and Wikstro ¨m 2009;Smith et al. 2000)""
  - ""The first reason to favor small spatial units is the generic principle in all sciences that to understand the characteristics and behavior of an object of inquiry, it is helpful to understand the characteristics and the behavior of its constituting elements, as well as the nature of the relations between these constituting elements.""",,10
"(Bernasco & Kooistra, 2010)",Postal_code_area,Robbery,2.96,Netherlands,"- ""The third source of data is a database containing demographic, social and economic information on all postal code areas in the Netherlands.""
  - ""There are 4006 postal code areas nationwide; they have an average population size of 4900 and an average number of households of 2100.""
  - ""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""
  - ""Its boundaries have been designed with post delivery services in mind, physical restrictions on travel within the area are minimal, and it invites local travel by foot and bicycle, modes of travel that provide ample opportunities to learn about the environment.""",,4
"(Clare et al., 2009)",Residential_suburb,Burglary,6.7,Australia,"- ""The city of Perth is located in the south-west of Western Australia at the coast of the Indian Ocean. The estimated residential population of Perth in 2001 was 1,381,298 people. Perth is the largest city in Western Australia, with suburbs that sprawl along the coast for approximately 100 km and extend inland from the coast by up to 40 km.""
  - ""A total of 291 residential suburbs were selected as members of the possible choice set for the residential burglaries examined here.""
  - ""It is important to note here that the term suburb as used in Western Australia has a different meaning to other parts of the world (particularly the United States and Canada), and is more akin to a neighbourhood in these areas.""
  - ""The overall geographic placement of these suburbs in relation to the Swan River, selected major roads, and the location of the railway line are displayed in Figure 1""
  - ""The essential elements involved with the application of discrete spatial choice are: (a) defining the boundaries of the choice set, (b) capturing the unique attributes of the decision-makers and (c) modelling the interaction between the individual chooser's characteristics and choice for the whole population (McFadden, 1974).""
  - ""The final dataset contained 1,761 singleoffender (actual or attempted) residential burglaries committed between January 1, 2001, and December 31, 2002 , where the offender resided in the city of Perth.""
  - ""The advantage of the discrete spatial choice approach is that it places realistic constraints on those 'bounded rational choices' that rational choice theorists discuss (Cornish & Clarke, 1986).""
  - ""A further issue concerns the selection of the spatial scale for burglary analysis in this case. This is a complex problem and there may be no solution that is applicable across the ecology of different cities.""",,10
