Title,Study_Period,Data_Collection_Period,Country,City_Region,Study_Area_Size,Crime_Type,Sample_Size,Number_of_Crimes_Analyzed,Study_Design,Discrete_Choice_Model,Significant_Predictors,Effect_Directions,Data_Quality_Issues,Generalizability,Context_Specificity,Spatial_Scale_Recommendations
Burglar Target Selection: Netherlands Study (The Hague),NA,NA,Netherlands,The Hague,NA,Residential burglary,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).",Cross-sectional,Conditional logit,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.",Use consolidated models for statistical comparisons across different environments.
Burglar Target Selection: United Kingdom Study (Birmingham),NA,NA,United Kingdom,Birmingham,NA,Residential burglary,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).",Cross-sectional,Conditional logit,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Birmingham, UK context due to differences in target densities and Super Output Area characteristics.",Use consolidated models for statistical comparisons across different environments.
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,January 2012 to June 2016,January 2012 to June 2016,China,ZG city,Average community size is 2.74 km-sq,Residential burglary,3860 choice observations or events.,3860 residential burglaries.,Cross-sectional,Conditional logit,"Distance from home, physical barriers (rivers and major roads), social barriers (local vs. nonlocal communities).",Physical barriers decrease targeting likelihood; being closer to home increases targeting likelihood.,"Limited to arrested burglars, which may not represent all burglars.",The findings are specific to arrested burglars in ZG city and may not generalize to all burglars in the city or to other contexts.,"The study's findings are specific to the Chinese context, particularly the distinction between local residents and domestic migrant workers.",Consider the impact of physical and social barriers at various scales.
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,2006-2009,2006-2009 (inferred from study period),The Netherlands,The greater The Hague region,2.96 km² (average size of four-digit postal code areas),"Various (most common: burglary, theft, public disorder crimes, assault)","2,926 groups of offenders.","6,283 crimes, with 3,612 co-offended.",Cross-sectional,Conditional logit,"Current home location, previous home locations, previous crime locations.",Areas known to multiple offenders are more likely to be targeted.,Police arrest data may over-represent co-offending; data biased due to differences between arrested and non-arrested offenders.,"Limited to the greater The Hague region, which restricts generalizability to other areas.",Findings are specific to the greater The Hague region and may not apply elsewhere.,Study larger areas to generalize findings.
Co-offending and the Choice of Target Areas in Burglary,1996-2004,1996-2004,Netherlands,The Hague,89 neighborhoods with an average area of 0.65 square kilometers each,Residential burglary,1174 residential burglaries.,1174 residential burglaries.,Cross-sectional,Conditional logit,"Physical accessibility, proximity to the home neighbourhood.",Increase choice probability.,Low detection rate (7%) could bias results if related to location choice criteria.,Findings may not be generalizable to other cities or contexts.,Findings are specific to The Hague and may not apply to other cities or regions.,Focus on neighborhood-level analysis.
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"June 1st, 2014 to May 30th, 2016","Wednesday, December 28, 2016 (for mobile phone data)",China,ZG City,More than 3000 km²,Theft from the person (TFP),3436 cases of TFP.,3436.,Cross-sectional,Conditional logit,"Distance, mobility flows, subway stations, cinemas, hospitals, proportion of non-locals.",Stronger mobility flows increase targeting probability; distance remains significant despite reduced effect.,Exclusion of cases due to lack of geographic detail.,"The findings might be applicable to other countries, but this is tentative and requires further research.","The study is conducted in a specific Chinese context, which might not be directly comparable to other settings.",Not explicitly mentioned.
Discrete choice analysis of spatial attack sites,Third quarter of 1997,"Not explicitly mentioned, but implied to be from existing records for 1997",United States,"Richmond, Virginia",NA,Breaking and entering,Training set: 425 crime events; Test set: 212 crime events.,637 distinct spatial selections.,Cross-sectional,Multinomial logit,"Proximity measures (u30), density measurements (u66).","Proximity (u30) is attractive (negative coefficient), density (u66) is positively associated with selection likelihood.",Potential for multicollinearity among features.,Limited to urban crime dataset; may not generalize to other contexts.,"Findings specific to breaking and entering crimes in Richmond, VA, 1997.",Not mentioned.
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2017-2018,October 2019 (for mobility flows),China,ZG (city in southeast China),Average community size of 0.958km²,Burglary,"1,972 burglary cases","1,972 burglary cases",Cross-sectional,Conditional logit,"Physical disorder, distance from home, population size, presence of newer buildings, transportation facilities like subway stations.","Physical disorder in non-disadvantaged neighborhoods increases likelihood for disadvantaged burglars, decreases it for non-disadvantaged burglars. Distance from home reduces likelihood more for non-disadvantaged burglars. Population size increases likelihood for both groups. Newer buildings and subway stations increase risk.","Lack of consideration of other neighborhood structural conditions such as social cohesion, ecological networks, and collective efficacy.","The study is conducted in a specific city in China, which may not be representative of other urban or rural areas. The findings might not generalize to different cultural or socioeconomic contexts.","The study is specific to the city of ZG in southeast China, and the findings may be influenced by local factors such as urban planning, policing strategies, and cultural norms.",Not explicitly mentioned.
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",2012-2016,2012-2016,China,ZG city,1971 neighborhood units with an average area of 1.62 km²,Street robbery,7860 choice observations (street robberies).,7860 street robberies.,Cross-sectional,Conditional logit,"Cybercafés, transportation hubs, schools, distance of journey to crime.",Cybercafés increase choice probability for juvenile and young adult robbers; transportation hubs increase it for young adult and adult robbers; schools have a positive effect on all age groups with a marginal age decay effect; distance of journey to crime decreases choice probability.,Confidentiality of data may limit verification or sharing.,Limited to a large Chinese city; may not generalize to other contexts or countries.,"Findings are specific to the Chinese context, particularly in terms of social disorganization and routine activity nodes.",NA
Do Migrant and Native Robbers Target Different Places?,2012 to 2016,Arrest data: 2012 to 2016; POI data: 2014; Traffic road network vector map data: 2014; Bus stop data: 2015; Mobile phone data: May 2016; Census data: 2010,China,ZG City,1971 neighborhoods with an average area of 1.62 square kilometers,Street robbery,4358 street robbers (708 randomly selected migrant robbers and 708 native robbers).,7860 records involving 7124 unique offenders.,Cross-sectional,Conditional logit,"Wholesale markets, sports stadiums, transportation hubs, subway stations.",Wholesale markets increase choice probability for migrant robbers; sports stadiums decrease choice probability for migrant robbers; transportation hubs and subway stations increase choice probability for migrant robbers.,Exclusion of data due to residence outside the study area or unknown residence.,The study is specific to ZG City and may not be representative of other cities or countries.,Findings are specific to the context of ZG City and the Hukou system.,Not explicitly mentioned.
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,1996 to 1998,1996 to 1998,United States,Chicago,Approximately 483.62 km²,Street robbery,"11,999 (daily variation), 7,999 (weekly variation)","12,938",Cross-sectional,Conditional logit,"Cash economies, illegal markets, accessibility, restaurants and fast-food outlets, liquor stores.","Generally positive, increasing the likelihood of robbery.",The data did not allow for the identification of offenders across multiple robberies.,Findings may not be generalizable to other cities or contexts.,Findings are specific to Chicago's context.,The study suggests using fine-grained spatial units like census blocks.
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",1996-2001,1996-2001,Netherlands,The Hague,Not explicitly provided; average neighborhood size is 0.65 square kilometers,Residential burglary,89 neighborhoods.,"Approximately 26,000 residential burglaries.",Cross-sectional,NA,"Proximity to burglars' homes, proximity to the CBD, lack of territoriality, and affluence.",These variables increase the likelihood of burglary in neighborhoods.,SWEBER measure does not link offenders' homes to crime locations; low clearance rate might make apprehended burglars unrepresentative.,"The study's findings are based on data from a single city, which may not generalize to other urban environments or contexts.","The study's findings are specific to The Hague, Netherlands, and may not apply to other cities with different demographic, economic, or spatial characteristics.",Use spatially weighted measures for optimal spatial units.
Effects of residential history on commercial robbers' crime location choices,2004-2005,2004,Netherlands,Nationwide,4006 postal code areas,Commercial robbery,276 robberies used for hypothesis testing.,4657 initial robberies; 398 solitary offender robberies; 276 used for analysis.,Cross-sectional,Conditional logit,"Duration of residence in current and former areas, recency of residence in former areas.",Longer durations and more recent residences increase choice probability.,Inaccuracies in residential addresses in the GBA system; data unreliability masking real effects.,Findings may not generalize to other types of crimes or geographical contexts.,Findings are specific to commercial robberies in the Netherlands.,Explore other spatial scales or units for analysis.
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,2009-2018,2009-2018 (inferred from study period),New Zealand,Not specified,Median of 1.2 km² (range: 0.84 to 2.2 km² for 50% of areas),Residential burglaries,NA,"17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, 4,421 extra-familial sex offenses",Cross-sectional,Conditional logit,Presence of H f H s nodes.,H f H s nodes increase choice probability.,Data does not capture all pre-offense activity locations; imprecision in filling missing data; overestimation of frequency for certain activity locations.,"Findings likely generalize beyond included crimes, but further research is needed; the study supports generalizability across contexts.","Findings are based on New Zealand data, which may have unique characteristics; further testing is needed for other contexts.",Not mentioned.
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,2006-2009,2006-2009 (inferred from study period),Netherlands,Greater The Hague area,2.96 km²,Not specified,"19,420 offenses.","19,420.",Cross-sectional,Conditional logit,Current and former residential areas of family members.,Current familial residential areas increase the probability of being targeted more than former familial residential areas.,Indirect measurement of awareness spaces based on family visits.,Findings may not generalize to other geographical areas or populations due to the specific urban context.,Findings are specific to the urban context of The Hague.,Research should be conducted in larger geographical areas.
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"January 1, 2001, to December 31, 2002",2001 and 2002,Australia,Perth,6.76 km² (average size of suburbs),Residential burglary,"1,761 single-offender burglary incidents.","1,761.",Cross-sectional,Conditional logit,"Physical barriers (rivers and major roads), connectors (train lines), distance, and age.","Barriers decrease choice probability; connectors increase it. Distance decreases choice probability, with a greater effect for juveniles.",Low detection rate may have influenced outcomes in a nonrandom way.,Exclusion of suburbs outside Perth metropolitan area limits generalizability.,"Findings are specific to Perth, Western Australia.",Use more uniform areas for analysis.
Go where the money is: modeling street robbers' location choices,1996-1998,1996-1998,United States,Chicago,Not explicitly mentioned in km² or other units,Street robbery,6000 robberies,"12,938 cleared cases",Cross-sectional,"Multinomial logit, Universal logit","Presence of legal businesses (e.g., pawn shops, grocery stores), illegal businesses (e.g., drug dealing), accessibility (e.g., main streets, El stations), racial/ethnic composition matching the robber's background.",These predictors increase the probability of a block being chosen for robbery.,Inability to identify offenders across multiple robberies.,The study's findings might not generalize to other cities or contexts.,The findings are specific to the context of Chicago.,Use smaller spatial units like census blocks for detailed analysis.
Graffiti Writers Choose Locations That Optimize Exposure,NA,November 2017,Belgium,Ghent,NA,Graffiti writing,"12,655 graffiti instances across 2,233 street segments","12,655 graffiti instances",Cross-sectional,Conditional logit,"Presence of bars, night shops, residential units, schools, and street network centrality.","Increased probability for bars, night shops, residential units, schools, and street network centrality; decreased probability for trees.",Focus primarily on exposure; exclusion of variables due to inter-rater reliability issues.,The findings are specific to the urban context of Ghent and may not generalize to other cities or contexts due to differences in graffiti culture and public perceptions.,"The findings are highly context-specific, as they are derived from a specific urban environment and may not apply to other settings.",Not mentioned.
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,1996-2001,1996-2001,Netherlands,The Hague,Approximately 57.85 square kilometers,Residential burglary,548 single-offender burglaries.,548.,Cross-sectional,Conditional logit,"Ethnic heterogeneity, percentage of single-family dwellings, proximity to the offender's home, number of residential units.","Increased ethnic heterogeneity and percentage of single-family dwellings increase the likelihood of selection. Proximity to the offender's home increases the likelihood, while proximity to the city center decreases it.",Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.,Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.,Findings specific to The Hague; results may be influenced by unique city characteristics.,The study suggests using neighborhood-level data for analysis.
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,2017-2018,"2016, 2017, 2019",China,"ZG city, southeast China",NA,Street theft crime,"2,519,440 observations.",1540 street theft crimes.,Cross-sectional,Conditional logit,"Number of people on the street, fences, plants, grasses, sidewalks, and proximity to the offender's residence.","More people on the street, fences, and plants increase choice probability; more grasses and sidewalks decrease it.",SVIs are static and cannot capture dynamic changes in on-street population.,"The findings are generally aligned with previous studies, but the study's focus on a specific city in China may limit generalizability to other contexts.","The study's findings are specific to the context of ZG city, and the use of Baidu Street View images may not be applicable in other regions where such data is not available or is less detailed.",Focus on community-level analysis.
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,January 2007 to December 2012,First two years (2007-2008) for past burglaries; remaining years (2009-2012) for subsequent choices,United Kingdom,West Midlands,Not explicitly mentioned in km²; described in terms of population and households within LSOAs,Residential burglary,"3,337 detected burglaries.","3,337 detected burglaries.",Longitudinal,Multinomial logit,"Recency of prior burglaries, spatial proximity to previous targets, distance from burglar's residence, number of households, house price, ethnic diversity, population turnover.",Recent prior burglaries and proximity increase choice probability; distance from residence decreases it.,Detected burglaries only; considered unsuccessful due to arrests.,The study's findings might not generalize to other types of crimes or to different geographical contexts.,The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.,Not explicitly mentioned.
Location Choice of Snatching Offenders in Chennai City,August 2010 to July 2017,"Not explicitly mentioned, but implied to be during the study period",India,Chennai City,2.18 km² (average surface area of 201 wards),Snatching (snatch theft),1573 snatching offenses.,1573.,Cross-sectional,Conditional logit,"Distance from home, prior offending locations.",Shorter distances and prior offending locations increase choice probability.,Police-recorded thefts grossly underestimate real numbers due to low reporting rates.,High underreporting and potential selectivity jeopardize generalizations; findings may not be representative of all snatching incidents.,Findings are specific to Chennai City; need for replication in other contexts.,Analyze the impact of spatial units on findings systematically.
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,2002-2007,2002-2007 (inferred from study period),Netherlands,Greater The Hague Area,400 sq. km,Residential burglary,"1,871 journey-to-burglary trips","1,311 burglaries",Cross-sectional,Multinomial logit,"Number of residential properties, proximity (negative log distance), ethnic composition.",Proximity increases choice probability; native Dutch burglars avoid ethnically mixed areas.,Selective sample of cleared cases may introduce bias.,Limited by geographic specificity to the Greater The Hague area.,Findings specific to the Greater The Hague area and its spatial dynamics.,Use small spatial units like postal code areas for future research.
Modelling taste heterogeneity regarding offence location choices,April 2008 to March 2012,April 2008 to March 2012,United Kingdom,York,270km²,Serious Acquisitive Crime (SAC),"1,105 offence location choices.","1,105 SAC incidents.",Cross-sectional,"Latent class logit (LCL), Mixed logit (ML), Conditional logit (CL)","Distance from home, distance to city centre, socioeconomic heterogeneity, and previous offence locations.",Distance and distance to city centre generally have negative effects; socioeconomic heterogeneity and previous offence locations have positive effects.,"The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.",Grouping different offense types together may limit generalizability to specific types of offenders.,"Findings may be specific to the study context (York, UK).",Use smaller spatial units for more accurate insights into social organization.
Modelling the spatial decision making of terrorists: the discrete choice approach,1969-1989,1970-1989,Northern Ireland,Belfast,NA,Terrorist attacks by the Provisional Irish Republican Army (PIRA),150 attacks.,150 attacks.,Cross-sectional,Conditional logit,"Distance from home, presence of major roads, presence of military bases or police stations.","Increased distance from home decreases choice probability; presence of major roads, military bases, or police stations increases choice probability.",Difficulties due to historical nature of records.,Limited to Belfast and PIRA members; replication needed in other cities and with different groups.,Findings specific to Belfast and PIRA context.,Use smaller areal units to capture more detailed social context factors.
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,2009-2018,"Not explicitly mentioned, but inferred to be during the study period",New Zealand,Not specified (national scope),Median land area of SA2s = 1.2 km²,Residential burglaries,"38,120","38,120",Cross-sectional,Conditional logit,"Proximity to activity nodes, frequency of visits, type of activity node (e.g., home vs. family homes).",Positive for proximity to activity nodes; offenders more likely to commit crimes closer to these locations.,"The data is a sample of each offender's true population of activity locations, indicating potential issues with data completeness and reliability.",The results are likely to generalize to low population density jurisdictions but may not apply to other contexts.,The findings are specific to New Zealand's low population density context.,Use of SA2s as spatial units.
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,January 2000 through September 2012,January 2000 through September 2012,United States,"Tampa, Florida",NA,Burglary,"5,182 incidents.","7,124 burglary arrests.",Cross-sectional,Conditional logit,"Percentage of Black residents, concentrated disadvantage, residential stability, ethnic heterogeneity, distance from home.","Neighborhoods with more Black residents, higher disadvantage, lower residential stability are more likely to be targeted.",Lack of information on 80% of burglaries not cleared; potential bias in arrest data.,"The study is limited to the City of Tampa, Florida, which may not be representative of other cities or contexts.","The study's focus on Tampa, Florida, makes findings context-specific and not easily applicable to other areas.",Use block groups as a spatial unit for analysis.
Residential burglary target selection: An analysis at the property-level using Google Street View,2009,Around 2009,Netherlands,The Hague,NA,Residential burglary,"300 single houses (150 burglarized, 150 non-burglarized)",221 break and enter events during daylight hours,Cross-sectional (case-control design),Conditional logistic regression,"Surveillability, accessibility, ease of escape.",Increased surveillability decreases burglary likelihood; increased accessibility and ease of escape increase burglary likelihood.,"The study acknowledges limitations in capturing isolated properties due to Google Street View's inability to access these areas, leading to a biased sample.",Limited generalizability due to non-representative sample and context-specific data collection methods.,"Findings may be specific to The Hague, Netherlands, and single-family homes.",Focus on micro-spatial scales.
"Right place, right time? Making crime pattern theory time-specific",2017,May to August 2019,Netherlands,The Hague and North-Holland,"Median area of neighbourhoods: 3.37 km², 14.5 km², 55.6 km²",Multiple types,71 crimes.,71 unique crimes.,Cross-sectional,Conditional logit,Neighborhoods routinely visited at the same time of day as the crime event.,Increased likelihood of committing crimes in neighborhoods visited at the same time of day.,Uncertainty in recall accuracy from respondents' memory.,Findings may not generalize to broader offender population or other regions.,Findings specific to minor offences and offenders in western Netherlands.,Use detailed spatial scales such as neighborhoods to analyze crime patterns.
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,04/01/2004 to 03/31/2014,2011,United Kingdom,"High Wycombe, Beaconsfield, Marlow",approximately 150 km²,Residential burglary,459 choice observations (residential burglaries).,459 residential burglaries.,Cross-sectional,Mixed logit,"Idiosyncratic betweenness, idiosyncratic farness, nonlocal pedestrian traffic, local pedestrian traffic, vehicular traffic.",Increased travel time decreases choice probability; increased familiarity increases choice probability; nonlocal pedestrian traffic increases burglary risk; local pedestrian traffic decreases burglary risk; vehicular traffic decreases choice probability.,Not all crimes are recorded or cleared by the police.,Replication is needed to establish external validity.,The study's focus on a specific geographic area and time period may make the findings context-specific.,Use finer spatial scales like street segments for more accurate analysis.
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,2013-2016,Not explicitly mentioned (inferred to be during or shortly after 2013-2016),United States,"Baltimore City, Maryland",.14 square miles (average size of a census block group),Group crime,"68,393","6,249 incidents",Cross-sectional,Not applicable (uses spatially lagged negative binomial regression),"Number of bars, pedestrian-oriented street density, poverty, racial/ethnic heterogeneity.",Number of bars and pedestrian-oriented street density increase group crime rates; poverty increases group crime rates; racial/ethnic heterogeneity decreases group crime rates.,Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.,Findings are limited by focus on a single city and may not generalize to other contexts.,Findings may be specific to Baltimore City's unique design and connectivity.,Use smaller microunits than census block groups.
Spatial analysis with preference specification of latent decision makers for criminal event prediction,"July 1, 1997 to October 31, 1997","July 1, 1997 to October 31, 1997",United States,"Richmond, VA",NA,Residential Breaking and Entering (B & E),Over 1200 crime observations,Over 1200,NA,Multinomial logit,Feature values attached to spatial alternatives and specified preferences of decision makers.,Increase probability of correct location choice.,Limited toolsets for analysis.,"Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.",The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,August 2011,August 2011 (implied),United Kingdom,London,Not explicitly mentioned in km²,Riot-related incidents,"2,299 records with both residential and offense locations.","3,914 total riot-related incidents.",Cross-sectional,Conditional logit,"Proximity to home, schools, transport hubs, retail facilities, previous rioting activity, deprivation, population churn.","Increased likelihood for areas close to home, with schools, transport hubs, retail facilities, and previous rioting; decreased likelihood for crossing the Thames River.",Use of 2001 census data for estimating ethnic diversity and population churn.,The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.,The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.,Use smaller spatial units like LSOAs for more representative data.
Target Selection Models with Preference Variation Between Offenders,2006-2009,2006-2009,Australia,Brisbane,158 Statistical Local Areas (SLAs),Residential burglary,2844 detected residential burglaries,2844,Cross-sectional,Mixed logit,Affluence was statistically significant in the mixed logit model. Residential mobility had different effects in the two models.,Proximity variables increased choice probability. Affluence increased choice probability in the mixed logit model. Residential mobility decreased choice probability in the mixed logit model.,Recorded crime data only reflects cleared residential burglaries.,Specific to Brisbane; use of secondary data sources may limit generalizability.,"Findings specific to Brisbane, Australia, during the study period.",Smaller spatial units or scales might be more effective in future work.
