master_title,clean_title,match_type
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,exact_normalized
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,exact_normalized
Do Migrant and Native Robbers Target Different Places?,Do Migrant and Native Robbers Target Different Places?,exact_normalized
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Do juvenile, young adult, and adult offenders target different places in the Chinese context?",exact_normalized
Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",exact_normalized
Location Choice of Snatching Offenders in Chennai City (Wards),Location Choice of Snatching Offenders in Chennai City,exact_normalized
Right place  right time? Making crime pattern theory time-specific,"Right place, right time? Making crime pattern theory time-specific",exact_normalized
The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey,THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,exact_normalized
Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,exact_normalized
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,exact_normalized
Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice,"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",exact_normalized
Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?,CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,exact_normalized
Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*,FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,exact_normalized
A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices,A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,exact_normalized
A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice,A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,exact_normalized
Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places,Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,exact_normalized
Effects of Residential history on Commercial Robbers' Crime Location Choices,Effects of residential history on commercial robbers' crime location choices,exact_normalized
Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,exact_normalized
Target Selection Models with Preference Variation Between Offenders,Target Selection Models with Preference Variation Between Offenders,exact_normalized
Where Do Dealers Solicit Customers and Sell Them Drugs,Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,fuzzy_contained
Adolescent offenders' current whereabouts predict locations of their future crime,Adolescent offenders' current whereabouts predict locations of their future crimes,fuzzy_contained
A discrete spatial choice model of burglary target selection at the house-level,a_discrete_spatial_choice_model_of_burglary_target.pdf,word_overlap_67%
Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",word_overlap_90%
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,word_overlap_83%
divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,word_overlap_86%
Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,word_overlap_92%
