Study_Title,PDF_File,Output_File,Total_Quotes,Highlighted_Quotes,Success_Rate,Error
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,43_co-offenders_crime_location_choice.pdf,43_co-offenders_crime_location_choice_highlighted.pdf,227,53,23.348017621145374,
Co-offending and the Choice of Target Areas in Burglary,19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,19_cooffending_and_the_choice_of_target_areas_in_bur_highlighted.pdf,163,70,42.944785276073624,
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,29_crime_feeds_on_legal_activities_daily_mobility_fl.pdf,29_crime_feeds_on_legal_activities_daily_mobility_fl_highlighted.pdf,173,12,6.9364161849710975,
Discrete choice analysis of spatial attack sites,09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,09_discrete_choice_analysis_of_spatial_attack_sites_1_highlighted.pdf,122,54,44.26229508196721,
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,25_divergent_decision-making_in_context_neighborhood.pdf,25_divergent_decision-making_in_context_neighborhood_highlighted.pdf,209,63,30.14354066985646,
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",33_do_juvenile_young_adult_and_adult_offenders_target_different_places.pdf,33_do_juvenile_young_adult_and_adult_offenders_target_different_places_highlighted.pdf,143,6,4.195804195804196,
Do Migrant and Native Robbers Target Different Places?,32_do_migrant_and_native_robbers_target_different_places.pdf,32_do_migrant_and_native_robbers_target_different_places_highlighted.pdf,151,49,32.450331125827816,
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,06_do_street_robbery_location_choices_vary_over_time.pdf,06_do_street_robbery_location_choices_vary_over_time_highlighted.pdf,167,113,67.66467065868264,
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",21_effect_attractiveness_opportunity_and_accessibility.pdf,21_effect_attractiveness_opportunity_and_accessibility_highlighted.pdf,265,18,6.7924528301886795,
Effects of residential history on commercial robbers' crime location choices,48_effects_of_residential_history_on_commercial_robbe.pdf,48_effects_of_residential_history_on_commercial_robbe_highlighted.pdf,152,12,7.894736842105263,
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,26_familiar_locations_and_similar_activities_examining.pdf,26_familiar_locations_and_similar_activities_examining_highlighted.pdf,247,136,55.06072874493927,
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,44_family_matters_effects_of_family_members_residen.pdf,44_family_matters_effects_of_family_members_residen_highlighted.pdf,151,55,36.423841059602644,
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,49_formal_evaluation_of_the_impact_of_barriers_and_connectors.pdf,49_formal_evaluation_of_the_impact_of_barriers_and_connectors_highlighted.pdf,176,111,63.06818181818182,
Go where the money is: modeling street robbers' location choices,05_go_where_the_money_is_modeling_street_robbers_lo.pdf,05_go_where_the_money_is_modeling_street_robbers_lo_highlighted.pdf,236,149,63.13559322033898,
Graffiti Writers Choose Locations That Optimize Exposure,03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,03_graffiti_writers_choose_locations_that_optimize_exposure_highlighted.pdf,177,15,8.47457627118644,
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,18_how_do_residential_burglars_select_target_areas.pdf,18_how_do_residential_burglars_select_target_areas_highlighted.pdf,201,144,71.64179104477611,
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,41_investigating_the_effect_of_people_on_the_street.pdf,41_investigating_the_effect_of_people_on_the_street_highlighted.pdf,201,16,7.960199004975125,
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations_highlighted.pdf,162,14,8.641975308641975,
Location Choice of Snatching Offenders in Chennai City,37_location_choice_of_snatching_offenders_in_chennai.pdf,37_location_choice_of_snatching_offenders_in_chennai_highlighted.pdf,178,16,8.98876404494382,
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,47_modeling_micro-level_crime_location_choice_applic.pdf,47_modeling_micro-level_crime_location_choice_applic_highlighted.pdf,181,78,43.0939226519337,
Modelling taste heterogeneity regarding offence location choices,16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,16_modelling_taste_heterogeneity_regarding_offence_lo_highlighted.pdf,179,19,10.614525139664805,
Modelling the spatial decision making of terrorists: the discrete choice approach,12_modelling_the_spatial_decision_making_of_terrorist.pdf,12_modelling_the_spatial_decision_making_of_terrorist_highlighted.pdf,155,12,7.741935483870968,
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,28_relationships_between_offenders_crime_locations.pdf,28_relationships_between_offenders_crime_locations_highlighted.pdf,174,16,9.195402298850574,
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,24_relative_difference_and_burglary_location.pdf,24_relative_difference_and_burglary_location_highlighted.pdf,154,69,44.8051948051948,
Residential burglary target selection: An analysis at the property-level using Google Street View,02_residential_burglary_target_selection_property_level.pdf,02_residential_burglary_target_selection_property_level_highlighted.pdf,219,85,38.81278538812785,
"Right place, right time? Making crime pattern theory time-specific",39_right_place_right_time_making_crime_pattern_theory.pdf,39_right_place_right_time_making_crime_pattern_theory_highlighted.pdf,170,5,2.941176470588235,
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,08_role_of_the_street_network_in_burglars_spatial_de.pdf,08_role_of_the_street_network_in_burglars_spatial_de_highlighted.pdf,189,67,35.44973544973545,
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,15_situating_crime_pattern_theory_into_the_explanation.pdf,15_situating_crime_pattern_theory_into_the_explanation_highlighted.pdf,239,27,11.297071129707113,
Spatial analysis with preference specification of latent decision makers for criminal event prediction,11_spatial_analysis_with_preference_specification_of.pdf,11_spatial_analysis_with_preference_specification_of_highlighted.pdf,133,78,58.64661654135338,
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,14_target_choice_during_extreme_events_a_discrete_sp.pdf,14_target_choice_during_extreme_events_a_discrete_sp_highlighted.pdf,165,94,56.96969696969697,
Target Selection Models with Preference Variation Between Offenders,51_target_selection_models_with_preference_variation.pdf,51_target_selection_models_with_preference_variation_highlighted.pdf,180,52,28.888888888888886,
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,13_testing_ecological_theories_of_offender_spatial_de.pdf,13_testing_ecological_theories_of_offender_spatial_de_highlighted.pdf,176,15,8.522727272727272,
The Importance of Importance Sampling,35_the_importance_of_importance_sampling_exploring_m.pdf,35_the_importance_of_importance_sampling_exploring_m_highlighted.pdf,211,33,15.639810426540285,
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,38_the_influence_of_activity_space_and_visiting_frequ.pdf,38_the_influence_of_activity_space_and_visiting_frequ_highlighted.pdf,208,19,9.134615384615383,
"The UGent Institutional Repository is the electronic archiving and dissemination platform for all UGent research publications. Ghent University has implemented a mandate stipulating that all academic publications of UGent researchers should be deposited and archived in this repository. Except for items where current copyright restrictions apply, these papers are available in Open Access",NOT_FOUND,,52,0,0.0,PDF file not found
The usefulness of past crime data as an attractiveness index for residential burglars,07_the usefulness of past crime data as an attractive.pdf,07_the usefulness of past crime data as an attractive_highlighted.pdf,194,100,51.546391752577314,
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,27_traveling_alone_or_together_neighborhood_context.pdf,27_traveling_alone_or_together_neighborhood_context_highlighted.pdf,206,21,10.194174757281553,
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,04_where_do_dealers_solicit_customers_and_sell_them_drugs_highlighted.pdf,190,15,7.894736842105263,
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,22_where_offenders_choose_to_attack_a_discrete_choice_model_highlighted.pdf,225,131,58.22222222222222,
