Study_ID,Citation,Year,Title_of_the_study,DOI,Journal,Volume,Issue,ISSN,match_type,Unit_size_km2,Size_of_the_unit,Unit,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,Country,City_Region,Study_Area_Size_km2,Population_per_Unit_Numeric,Crime_Type_Standardized,Crime_Type,Number_of_Crimes_Numeric,Number_of_Offenders_Numeric,Data_Collection_Period,Study_Period,Discrete_Choice_Model,Sampling_Approach,Estimation_Method,Study_Design,Choice_Set_Definition,Alternative_Selection,Model_Comparison_Status,Sample_Size_Effects_Status,Robustness_Checks_Status,Scale_Recommendations_Status,Scale_Limitations_Status,Cross_Scale_Comparisons_Status,Justification_Summary,Quoted_Rationale,Rationale_Category,Data_Sources,Data_Availability,Significant_Predictors,Effect_Directions,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Total_Variables,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Publication_Year,Jurisdiction,Anglo_Saxon,Crime_Type_Clean,Unit_Type,Time_Period,Log_Unit_size,Has_Choice_Model,Has_Sampling,Has_Controls,Has_Estimation_Method,Research_Sophistication,Has_Unit_Justification,Total_Variables_Numeric,Demographic_Count_Numeric,Economic_Count_Numeric,Environmental_Count_Numeric,Distance_Count_Numeric,Temporal_Count_Numeric,Variable_Complexity,Has_Demographic_Vars,Has_Economic_Vars,Has_Environmental_Vars,Has_Distance_Vars,Has_Temporal_Vars,Variable_Diversity_Score,Has_Scale_Limitations,Has_Scale_Recommendations,Has_Spatial_Scale_Recommendations,Has_Data_Quality_Issues,Has_Missing_Data_Issues,Has_Data_Source_Limitations,Has_Measurement_Issues,Has_Temporal_Limitations,Has_Generalizability_Issues,Has_Context_Specificity,Has_Comparative_Limitations,Data_Limitation_Score,Data_Limitation_Category,Has_Model_Comparison,Has_Sample_Size_Effects,Has_Robustness_Checks,Has_Cross_Scale_Comparisons,Methodological_Rigor_Score,Study_Quality_Score
11,"(Xue & Brown, 2006)",2006,spatial analysis with preference specification of latent decision makers for criminal event prediction,https://doi.org/10.1016/j.dss.2004.06.007,Decision Support Systems,41,3,NA,exact_normalized,0.062,0.062,km2,small,Grid_cell,2 517,~1200,"he paper does not report the spatial unit size directly but uses a regular grid of 2,517 cells to represent spatial alternatives in Richmond, VA. The average area per grid cell was estimated by dividing the total area of Richmond (155 km²) by the number of grid cells (2,517), resulting in an average of approximately 0.062 km² per grid cell.",United States,"Richmond, Va",NA,NA,Burglary,Residential Breaking And Entering (B & E),1200,NA,1997-1997,1997-1997,Multinomial Logit,Importance sampling technique,Maximum Likelihood,NA,Aggregated into 2517 regular grids,Aggregated into grids and importance sampling,Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Block groups were used due to their alignment with census data availability and their suitability for representing spatial alternatives within the study area.,"""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""",Data Availability,Regional Crime Analysis Program (ReCAP); criminal incident reporting mainframe system (RAMS); census data; calculated distance values,NA,Feature values attached to spatial alternatives and specified preferences of decision makers.,Increase probability of correct location choice.,The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.,Future research should improve data collection and analytical methods to better capture criminal decision-making processes.,The study suggests improving analytical approaches by refining the models and incorporating more detailed spatial data.,12,NA,0,P.CARE.PH; FAM.DENSITY,2,D.HIGHWAY; FAM.DENSITY; P.CARE.PH; D.HOSPITAL,4,D.HIGHWAY; D.HOSPITAL,2,Time; Location; Census Data; Distance Values,4,Limited toolsets for analysis.,Characteristics of individuals and choice sets are not directly observed.,Attributes derived from census data and distance values may be correlated.,Large number of alternatives and attributes makes measurement challenging.,Focus on past data for prediction may imply temporal resolution issues.,"Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.",Limited comparison to hot spot methods; no comprehensive comparison across contexts or time periods.,2006,United States,Anglo-Saxon,Burglary,Grid Cell,2003-2010,-1.207608310501746,TRUE,TRUE,FALSE,TRUE,3,TRUE,12,0,2,4,2,4,Medium (11-20),FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,FALSE,FALSE,FALSE,1,4
12,"(Marchment & Gill, 2019)",2019,Modelling the spatial decision making of terrorists: The discrete choice approach,https://doi.org/10.1016/j.apgeog.2019.01.009,Applied geography,104,NA,0143-6228,exact_normalized,0.15,0.15,km2,small,Small_areas,890,150,"The paper does not report the spatial unit size directly but uses Small Areas (SAs) as the spatial unit. The average area per SA in Belfast was estimated by dividing the total area of Belfast (132 km²) by the number of SAs (890), resulting in an average of approximately 0.15 km² per SA.",Northern Ireland,Belfast,NA,NA,Other Specific Crimes,Terrorist Attacks By The Provisional Irish Republican Army (Pira),150,127,1969-1989,1969-1989,Conditional Logit,Retrospective sampling using existing datasets and newspaper archives.,Maximum Likelihood,Cross-sectional,"Constructed using 4537 ""small areas"" (SAs) in Belfast.",Based on geographical boundary data from NISRA.,Not Specified,Specified,Not Specified,Specified,Specified,Specified,"SAs were chosen due to their suitability for statistical analysis and the lack of sociodemographic data, aligning with data availability and administrative convenience.","""As no sociodemographic variables were included in the analysis, it was deemed that SAs would be appropriate to use""",Data Availability,Existing dataset from social network analysis of PIRA's active core members; The Irish Times newspaper archives; NISRA; Conflict and Politics in Northern Ireland web service (CAIN),Limited by inability to attribute some attacks to specific individuals; smaller sample size compared to other studies,"Distance from home, presence of major roads, presence of military bases or police stations.","Increased distance from home decreases choice probability; presence of major roads, military bases, or police stations increases choice probability.",Use smaller areal units to capture more detailed social context factors.,Gather more comprehensive data on terrorist activities and use mixed logit or latent class models for analysis.,Use spatiotemporal models and consider repeat victimization patterns.,13,Number of PIRA members; Residential segregation; Recognition as strangers,3,NA,0,Major Road; Police Station; Military Base; River,4,Home-to-crime distance; Distance to city center; Euclidean distance; Ghosh distance; Major thoroughfares; River as barrier,6,NA,0,Difficulties due to historical nature of records.,Unavailability of data on affluence levels and residential segregation.,Historical nature of records; unavailability of certain data.,Arbitrary areal unit boundaries; potential inaccuracy in characteristic data.,Retrospective nature limited data availability at small area level.,Limited to Belfast and PIRA members; replication needed in other cities and with different groups.,Findings specific to Belfast and PIRA context.,Restricted to one city and one terrorist group; difficult to compare across contexts or time periods.,2019,Northern Ireland,Other,Other Specific Crimes,Other,2016-2020,-0.8239087409443188,TRUE,TRUE,TRUE,TRUE,4,TRUE,13,3,0,4,6,0,Medium (11-20),TRUE,FALSE,TRUE,TRUE,FALSE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,TRUE,FALSE,TRUE,2,6
13,"(Johnson & Summers, 2015)",2015,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),https://doi.org/10.1177/0011128714540276,Crime and Delinquency,61,3,0011-1287,exact_normalized,0.2,0.2,km2,small,Lower_Super_Output_Area,198,721,"This paper doesnot report the spatial unit size. The average area per LSOA was estimated by assuming similar population density to Bernasco & Nieuwbeerta (2005), where the average unit had 4,952 people and an area of 0.65 km². With an average LSOA population of 1,524, the estimated area per LSOA is approximately 0.20 km².",United Kingdom,County Of Dorset,NA,1524,Theft,Theft,721,263,2001-2005,2001-2005,Conditional Logit,"Data from detected incidents of theft from vehicles (TFV) in Dorset, UK.",Maximum Likelihood,Cross-sectional,U.K. census Lower Super Output Areas (LSOAs) as the unit of analysis.,Based on availability of geographical coordinates for offense and offender home locations.,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Specified,"LSOAs were likely chosen due to their standard use in UK census data and administrative convenience, although not explicitly justified in the paper.","Not explicitly quoted, but implied due to data availability and administrative convenience",Data Availability,Police data for detected crimes; GIS data for origin-destination flows,Crimes committed by offenders living outside the study area were excluded,"Distance, presence of schools, proximity to city center, presence of train stations, connectivity via major roads, population turnover, and social heterogeneity.","Offenders prefer areas closer to home, with schools (for younger offenders), closer to city centers (for adult offenders), with train stations, and with higher connectivity. They also prefer areas with higher population turnover and social heterogeneity.",The study suggests using smaller spatial units like Lower Super Output Areas (LSOAs) for analysis.,Future research should collect data on routine activity nodes beyond home locations.,The study suggests using the discrete choice approach to examine offender decision-making.,17,Population density; Household size/composition; Population turnover,3,Socioeconomic Heterogeneity,1,Schools; City Centers; Major Roads; Train Stations,4,Home-to-crime distance; Distance to city center; Connectivity via major roads; Adjacency,4,Time Frame; Robust Standard Errors; Unit of Analysis; Random Utility Model; Interaction Terms,5,Dependency in data due to reoffending could lead to errors in statistical inference.,Crimes committed by offenders living outside the study area were excluded.,Indirect measures of socioeconomic heterogeneity and population turnover.,Number of registered vehicles and car parks may not reflect actual abundance.,Focus on a 5-year period.,"Study extends external validity by examining a new crime type and location, but exclusion of external crimes and focus on TFV may limit generalizability.","Findings specific to TFV in Dorset, UK; may not apply to other crimes or locations.",No direct comparisons across different contexts or time periods.,2015,United Kingdom,Anglo-Saxon,Theft,Statistical Area,2011-2015,-0.6989700043360187,TRUE,TRUE,TRUE,TRUE,4,TRUE,17,3,1,4,4,5,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,TRUE,1,5
14,"(Baudains et al., 2013)",2013,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),https://doi.org/10.1111/1745-9125.12004,Criminology,51,2,0011-1384,exact_normalized,0.33,0.33,km2,small,Lower_Super_Output_Area,4.765,2299,"The paper does not report the spatial unit size and uses LSOAs (Lower Super Output Areas) as the spatial unit. The average area per LSOA was estimated by dividing the total area of Greater London (1,569 km²) by the number of LSOAs (4,765), resulting in an average of approximately 0.33 km² per LSOA.",United Kingdom,London,NA,1500,Other Specific Crimes,Riot-Related Incidents,3914,NA,August 2011 (implied),August 2011,Conditional Logit,Comprehensive collection of all riot-related incidents detected by the police in London during August 2011.,Maximum Likelihood,Cross-sectional,U.K. census Lower Super Output Areas (LSOA) as alternatives.,LSOAs within Greater London as spatial units for analysis.,Not Specified,Not Specified,Not Specified,Specified,Not Specified,Not Specified,LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics.,"""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""",Data Availability,Metropolitan Police Service; 2001 U.K. Census; Index of Multiple Deprivation (IMD) 2010; U.K. Office for National Statistics,Data regarding police activity was unavailable for analysis,"Proximity to home, schools, transport hubs, retail facilities, previous rioting activity, deprivation, population churn.","Increased likelihood for areas close to home, with schools, transport hubs, retail facilities, and previous rioting; decreased likelihood for crossing the Thames River.",Use smaller spatial units like LSOAs for more representative data.,Include data on police resource allocation and social media influence.,Use discrete choice approaches for analyzing offender spatial decision making.,27,Population Churn Rates; Ethnic Heterogeneity; Number of Schools; Age Distribution; Propinquity; Social Disorganization,6,Index of Multiple Deprivation (IMD),1,Routine Activity Nodes; Transport Hubs; Retail Centers; Schools; River Thames,5,Home-to-crime distance; Distance to city center; Presence of underground station; Thames River barrier; Propinquity; Contagion measure,6,Prior Offenses; Propinquity; Contagion; Discrete Choice Approach; Population Churn Rates; Ethnic Heterogeneity; Deprivation; Population Density; McFadden Pseudo R-squared,9,Use of 2001 census data for estimating ethnic diversity and population churn.,Unavailability of data on police activity.,Reliance on 2001 census data for social demographics.,Potential for unobserved heterogeneity in measuring recent activity.,"Focus on August 6-11, 2011.",The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.,The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.,The study does not compare findings across different riots or contexts.,2013,United Kingdom,Anglo-Saxon,Other Specific Crimes,Statistical Area,2011-2015,-0.4814860601221125,TRUE,TRUE,TRUE,TRUE,4,TRUE,27,6,1,5,6,9,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
15,"(Rowan, Appleby & McGloin, 2022)",2022,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,https://doi.org/10.1093/bjc/azab093,The British Journal of Criminology,62,3,0007-0955,exact_normalized,0.37,0.37,km2,small,Census_block_group,653,6249,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. Baltimore City is divided into 653 census block groups. The average area per block group can be estimated by dividing the total area of Baltimore (238.5 km²) by the number of block groups (653), resulting in an average of approximately 0.37 km² per block group.",United States,"Baltimore City, Maryland",1.4e-5,953,Multiple/Mixed Crime Types,Group Crime,6249,14222,NA,2013-2016,Not applicable (uses spatially lagged negative binomial regression),Publicly available arrest data from Baltimore City (2013-16),Maximum Likelihood,Cross-sectional,Census block groups,All available arrest data within the specified time frame,Not Specified,Not Specified,Not Specified,Specified,Specified,Not Specified,The choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research.,"""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""",Prior Research,Environmental Protection Agency; Baltimore City Police Department; Baltimore City Open Data Portal; U.S. Census Bureau; American Community Survey,Limitations include exclusion of crimes not reported to the police and potential incomplete geocoding of arrests,"Number of bars, pedestrian-oriented street density, poverty, racial/ethnic heterogeneity.",Number of bars and pedestrian-oriented street density increase group crime rates; poverty increases group crime rates; racial/ethnic heterogeneity decreases group crime rates.,Use smaller microunits than census block groups.,Collect qualitative data on co-offending motivations and processes.,Use alternative data sources to overcome official records limitations.,22,Population Density; Ethnic Heterogeneity; Population Turnover; Schools,4,Poverty; Population density; Ethnic heterogeneity,3,Bars; Schools; Transit Stations; Shopping Centers; Pedestrian-Oriented Street Density; Auto-Oriented Street Density,6,Auto-oriented street density; Pedestrian-oriented street density,2,Time Frame; Spatial Lag Operator; Solo Crime Rate; Population Density; Racial/Ethnic Heterogeneity; Population Turnover; Poverty,7,Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.,Incomplete geocoding due to missing or problematic location information.,Publicly available arrest data may not capture all criminal events.,Potential for incorrect coding of incidents as solo crimes.,Data limited to 2013-2016.,Findings are limited by focus on a single city and may not generalize to other contexts.,Findings may be specific to Baltimore City's unique design and connectivity.,No basis for comparison across different locales or time periods.,2022,United States,Anglo-Saxon,Multiple/Mixed Crime Types,Other,2021-2025,-0.431798275933005,TRUE,TRUE,TRUE,TRUE,4,TRUE,22,4,3,6,2,7,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
16,"(Frith, 2019)",2019,Modelling taste heterogeneity regarding offence location choices (Census output area),https://doi.org/10.1016/j.jocm.2019.100187,Journal of choice modelling,33,NA,1755-5345,exact_normalized,0.44,0.44,km2,small,"Census_output_
areas",616,1105,NA,United Kingdom,York,270,NA,Other Specific Crimes,Serious Acquisitive Crime (Sac),1105,498,2008-2012,2008-2012,Conditional Logit,"Revealed preference data collection for SAC in York, UK.",Maximum Likelihood,Cross-sectional,Restricted to output areas (neighbourhoods) within York.,Output areas as smallest units for analysis.,Specified,Not Specified,Not Specified,Specified,Specified,Specified,Chosen based on data availability and preference for finer spatial granularity,"""The alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",Theory-Method,Revealed preference data for SAC; 2011 UK Census; UK Land Registry,Limited to detected crimes within the study period; ignores undetected crimes or those before April 2008,"Distance from home, distance to city centre, socioeconomic heterogeneity, and previous offence locations.",Distance and distance to city centre generally have negative effects; socioeconomic heterogeneity and previous offence locations have positive effects.,Use smaller spatial units for more accurate insights into social organization.,Use stated preference analyses to support findings.,Consider alternative decision rules like regret minimization.,10,Ethnic heterogeneity; Residential Churn; Gender; Age group,4,Affluence; Number of potential targets,2,Number of potential targets,1,Distance from the offender's home; Distance from the city centre; Road network data,3,NA,0,"The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.",The analysis assumes offenders with one offence in the time period are not repeat offenders.,"The study relies on revealed preference data, which may not fully capture the decision-making process.","The study groups different types of offenders together, which may mask differences in behavior.",The study is limited to data from April 2008 to March 2012.,Grouping different offense types together may limit generalizability to specific types of offenders.,"Findings may be specific to the study context (York, UK).",The study's context specificity and dataset may limit comparisons across different contexts or time periods.,2019,United Kingdom,Anglo-Saxon,Other Specific Crimes,Statistical Area,2016-2020,-0.3565473235138126,TRUE,TRUE,TRUE,TRUE,4,TRUE,10,4,2,1,3,0,Low (≤10),TRUE,TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,FALSE,FALSE,TRUE,2,6
17,"(Bernasco et al., 2015)",2015,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),https://doi.org/10.1016/j.apgeog.2015.03.014,Applied geography,60,NA,0143-6228,exact_normalized,0.51,0.51,km2,small,Lower_Level_Super_Output_Area_(LSOA),1687,3337,NA,United Kingdom,West Midlands,NA,1500,Burglary,Burglary,3337,NA,2007-2012,2007-2012,Multinomial Logit,"Data from 3,337 detected burglaries in the West Midlands, UK, between 2007 and 2012.",Maximum Likelihood,Longitudinal,UK Census Lower Level Super Output Area (LSOA) as the basic spatial unit of analysis.,"Each burglary is a discrete choice among 1,687 LSOAs.",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Specified,"LSOAs were chosen for their balance in size and their alignment with social homogeneity measures, allowing for effective analysis of crime location choice and spillover effects.","""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""",Prior Research,Police-recorded burglary data from West Midlands police force; UK Land Registry; Department for Transport; 2001 UK census,NA,"Recency of prior burglaries, spatial proximity to previous targets, distance from burglar's residence, number of households, house price, ethnic diversity, population turnover.",Recent prior burglaries and proximity increase choice probability; distance from residence decreases it.,Not explicitly mentioned.,Offender-based research to measure same-offender involvement.,Address potential unobserved heterogeneity.,30,Population Turnover; Ethnic Diversity; Total Number of Households,3,Average House Price; Total Number of Households; Population Turnover,3,"Affluent neighborhoods; Neighborhoods with high guardianship; Accessible residential properties; Connectors (e.g., transit lines); Barriers (e.g., wide rivers); Street permeability; Higher altitude; Train stations; Total number of households; Average house price; Ethnic diversity; Population turnover; Distance to city center",13,Distance to Offender's Residence; Distance to City Center; Presence of Train Stations; Presence of Bus Stations,4,Temporal Categories; Distance to Residence; Distance to City Center; Total Number of Households; Average House Price; Ethnic Diversity; Population Turnover,7,Detected burglaries only; considered unsuccessful due to arrests.,Success of previous burglaries; prior home locations.,Police-recorded data; may not capture all burglaries.,Success/failure of previous burglaries not accounted for.,Fixed period for past burglaries; may not capture long-term patterns.,The study's findings might not generalize to other types of crimes or to different geographical contexts.,The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.,The study is limited to a specific time period (2007-2012) and does not allow for comparisons across different time periods or contexts.,2015,United Kingdom,Anglo-Saxon,Burglary,Statistical Area,2011-2015,-0.2924298239020636,TRUE,TRUE,TRUE,TRUE,4,TRUE,30,3,3,13,4,7,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,TRUE,1,5
18,"(Bernasco, 2006)",2006,Co-offending and the Choice of Target Areas in Burglary,https://doi.org/10.1002/jip.49,Journal of Investigative Psychology and Offender Profiling,3,3,1544-4759,exact_normalized,0.65,0.65,km2,small,Neighborhood,89,1174,NA,Netherlands,The Hague,89,4952,Burglary,Burglary,1174,750,1996-2004,1996-2004,Conditional Logit,Comprehensive sampling of detected residential burglaries in The Hague from 1996 to 2004.,Maximum Likelihood,Cross-sectional,Neighborhoods as potential target areas based on distance from offender's home.,Based on distance and neighborhood characteristics like physical accessibility and social disorganization.,Not Specified,Not Specified,Not Specified,Not Specified,Specified,Not Specified,"The use of residential neighborhoods as spatial units is likely due to data availability and administrative convenience, although not explicitly justified in the paper.",NA,Not specified,Police force that services the greater The Hague area,Limited by a low detection rate of 7%,"Physical accessibility, proximity to the home neighbourhood.",Increase choice probability.,Focus on neighborhood-level analysis.,Improve data on co-offending dynamics and non-arrested accomplices.,Address low detection rates and their impact.,17,Residential Mobility; Ethnic Heterogeneity; Number of Properties; Average Neighbourhood Area; Number of Residents,5,Average Value of Residential Properties; Percentage of Owner-Occupied Properties; Mean Income per Resident,3,[Architectural_Features; [Public_Facilities; [Residential_Units; [Physical_Accessibility; [Social_Accessibility,5,Home-to-crime distance; Distance to city centre; Physical accessibility,3,Number of properties in a neighbourhood,1,Low detection rate (7%) could bias results if related to location choice criteria.,Potential incompleteness of police data on number of offenders involved.,Reliance on police data with low detection rate and potential incompleteness.,Potential underestimation of co-offenders due to incomplete data.,"Study covers 1996-2004, but no specific temporal issues mentioned.",Findings may not be generalizable to other cities or contexts.,Findings are specific to The Hague and may not apply to other cities or regions.,The study does not provide a basis for comparison across different cities or contexts.,2006,Netherlands,Other,Burglary,Neighborhood,2003-2010,-0.18708664335714442,TRUE,TRUE,TRUE,TRUE,4,TRUE,17,5,3,5,3,1,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
19,"(Bernasco & Nieuwbeerta, 2005)",2005,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,https://doi.org/10.1093/bjc/azh070,The British Journal of Criminology,45,3,1464-3529,exact_normalized,0.65,0.65,km2,small,Neighborhood,89,548,NA,Netherlands,The Hague,57.85,4952,Burglary,Burglary,548,290,1996-2001,1996-2001,Conditional Logit,"Data on residential burglaries from police records in The Hague, 1996-2001.",Maximum Likelihood,Cross-sectional,Each burglary associated with all 89 neighbourhoods in The Hague.,All 89 neighbourhoods considered as potential alternatives for each burglary.,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Chosen based on administrative boundaries and data availability from the municipality of The Hague,Not explicitly quoted,Data Availability,Haaglanden police force; statistical publications of the municipality of The Hague,Limited by a low detection rate of 7%,"Ethnic heterogeneity, percentage of single-family dwellings, proximity to the offender's home, number of residential units.","Increased ethnic heterogeneity and percentage of single-family dwellings increase the likelihood of selection. Proximity to the offender's home increases the likelihood, while proximity to the city center decreases it.",The study suggests using neighborhood-level data for analysis.,The study implies the need for detailed data on neighborhood characteristics and offender attributes.,The use of the conditional logit model is recommended for its ease of estimation and interpretation.,19,Ethnic Heterogeneity; Residential Mobility; Age of Burglar; Ethnic Origin of Burglar; Percentage of Single-Family Dwellings,5,Average Residential Real Estate Value,1,Percentage of single-family dwellings; Number of residential units,2,Proximity to Offender's Home; Proximity to City Centre; Distance Between Neighbourhoods,3,Proximity to City Centre; Proximity to Burglar's Home; Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Number of Residential Units; Age of Burglar; Ethnic Origin of Burglar,8,Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.,Burglaries outside The Hague excluded due to lack of data on neighbourhood characteristics.,Limited to The Hague due to unavailability of data on other areas.,Assumption that all choice criteria are equally important for all burglars.,Not mentioned.,Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.,Findings specific to The Hague; results may be influenced by unique city characteristics.,No comparison across different contexts or time periods.,2005,Netherlands,Other,Burglary,Neighborhood,2003-2010,-0.18708664335714442,TRUE,TRUE,TRUE,TRUE,4,TRUE,19,5,1,2,3,8,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
20,"(Townsley et al., 2015)",2015,Burglar Target Selection: A Cross-national Comparison (NL),https://doi.org/10.1177/0022427814541447,The Journal of Research in Crime and Delinquency,52,1,0022-4278,special_pattern,0.65,0.65,km2,small,Neighborhood,89,548,NA,Netherlands,The Hague,NA,NA,Burglary,Burglary,276,NA,NA,NA,Conditional Logit,Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Maximum Likelihood,Cross-sectional,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,Specified,Not Specified,Not Specified,Specified,Specified,Not Specified,"Spatial units chosen based on equivalence in size of burglar population and number of targets for Netherlands context, likely due to data availability and administrative convenience.","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Netherlands context - Neighborhoods)""",Data Availability,"Municipal Agency for Urban Development (The Hague, Netherlands)",Limited by inconsistency in measuring residential real estate value across regions,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,14,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,2015,Netherlands,Other,Burglary,Neighborhood,2011-2015,-0.18708664335714442,TRUE,TRUE,TRUE,TRUE,4,TRUE,14,2,1,4,4,3,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,FALSE,FALSE,FALSE,1,5
