Study_ID,Citation,Publication_Year,Unit_size_km2,Log_Unit_size,Total_Variables,Total_Variables_Numeric,Jurisdiction,Anglo_Saxon,Crime_Type_Clean,Unit_Type,Research_Sophistication,Time_Period,Has_Unit_Justification,Justification_Summary,Quoted_Rationale,Rationale_Category,Variable_Complexity,Variable_Diversity_Score,Demographic_Count_Numeric,Economic_Count_Numeric,Environmental_Count_Numeric,Distance_Count_Numeric,Temporal_Count_Numeric,Has_Demographic_Vars,Has_Economic_Vars,Has_Environmental_Vars,Has_Distance_Vars,Has_Temporal_Vars,Data_Limitation_Score,Data_Limitation_Category,Has_Data_Quality_Issues,Has_Missing_Data_Issues,Has_Data_Source_Limitations,Has_Measurement_Issues,Has_Temporal_Limitations,Has_Generalizability_Issues,Has_Context_Specificity,Has_Comparative_Limitations,Has_Scale_Limitations,Has_Scale_Recommendations,Has_Spatial_Scale_Recommendations,Scale_Limitations_Status,Scale_Recommendations_Status,Spatial_Scale_Recommendations,Methodological_Rigor_Score,Study_Quality_Score,Has_Model_Comparison,Has_Sample_Size_Effects,Has_Robustness_Checks,Has_Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations
22,"(Bernasco & Block, 2009)",2009,0.7,-0.1549019599857432,29,29,United States,Anglo-Saxon,Robbery,Census Tract,4,2003-2010,TRUE,Chosen due to data availability for collective efficacy measures and computational limitations with smaller units,"""the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the 'collective efficacy' measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""",Data Availability,High (21-30),5,5,4,10,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Use smaller units of spatial aggregation.,1,5,FALSE,FALSE,FALSE,TRUE,Exclusion of unreported robberies may underestimate the attraction value of illegal markets.,Unable to identify repeat offenders across multiple incidents.,Collective efficacy measure has greater error due to aggregation from survey data.,Collective efficacy measure's aggregation may introduce measurement errors.,Neglects temporal variation in robbery patterns.,Limited to Chicago; use of census tracts may affect generalizability.,Findings specific to Chicago's demographic and spatial context.,No direct comparisons across contexts or time periods.
23,"(Vandeviver & Bernasco, 2020)",2020,0.79,-0.10237290870955855,22,22,Belgium,Other,Burglary,Administrative District,4,2016-2020,TRUE,The spatial units were chosen for their comparability to previous studies and their suitability for analyzing burglary target choice at the residence level.,"""The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size.""",Theory-Method,High (21-30),5,6,5,4,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Not explicitly mentioned.,2,6,TRUE,FALSE,FALSE,TRUE,Potential selectivity in the sample due to selection criteria.,Lack of personal data on burglars; absence of certain residential features and situational cues.,Census data lacks relevant variables for burglary target selection.,Neighborhood and residence data not measured at the same time as burglaries.,"Neighborhood and residence data only from 2011, not matching burglary period.","Findings may not be generalizable to other contexts or cities beyond Ghent, Belgium.","Findings are specific to the context of Ghent, Belgium.",Data collection at different times for burglary and neighborhood/residence data limits comparisons across time periods.
24,"(A. W. Chamberlain & Boggess, 2016)",2016,0.88,-0.05551732784983137,30,30,United States,Anglo-Saxon,Burglary,Block-based,4,2016-2020,TRUE,Block groups were chosen to reduce internal variability and ensure data availability.,"""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""",Data Availability,High (21-30),5,7,6,7,3,7,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Use block groups as a spatial unit for analysis.,3,7,TRUE,TRUE,FALSE,TRUE,Lack of information on 80% of burglaries not cleared; potential bias in arrest data.,Age and criminal history of suspects; distinction between residential and commercial burglaries.,Arrest data only includes cleared burglaries.,No temporal variation or land use variations captured.,No temporal variation in neighborhood target attractiveness captured.,"The study is limited to the City of Tampa, Florida, which may not be representative of other cities or contexts.","The study's focus on Tampa, Florida, makes findings context-specific and not easily applicable to other areas.","The study does not account for variations in land use or temporal variations, affecting comparability."
25,"(Cai et al., 2024)",2024,0.958,-0.018634490921455603,31,31,China,Other,Burglary,Neighborhood,4,2021-2025,TRUE,The communities were chosen due to their role as the smallest administrative units for data collection and their comparability to prior studies.,"""These communities with relatively high resident homogeneity are comparable to prior studies in terms of geographic and population sizes.""",Data Availability,Very High (>30),5,4,11,4,3,9,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Not explicitly mentioned.,1,5,FALSE,FALSE,FALSE,TRUE,"Lack of consideration of other neighborhood structural conditions such as social cohesion, ecological networks, and collective efficacy.",Difficulty in obtaining the history of criminals' activity space locations.,NA,Use of log(mobility flow+1) and reliance on robust standard errors for confidence intervals.,Not explicitly mentioned.,"The study is conducted in a specific city in China, which may not be representative of other urban or rural areas. The findings might not generalize to different cultural or socioeconomic contexts.","The study is specific to the city of ZG in southeast China, and the findings may be influenced by local factors such as urban planning, policing strategies, and cultural norms.","The study does not provide a direct comparison with other cities or countries, which limits the ability to generalize findings across different contexts."
26,"(Curtis-Ham et al., 2025)",2025,1.2,0.07918124604762482,12,12,New Zealand,Other,Burglary,Statistical Area,4,2021-2025,TRUE,SA2s were chosen for consistency with previous studies and to balance spatial spill-over and heterogeneity considerations.,"""Consistent with previous studies (e.g., Clare et al., 2009; Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""",Theory-Method,Medium (11-20),5,2,2,4,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Not Specified,Specified,Not mentioned.,0,4,FALSE,FALSE,FALSE,FALSE,Data does not capture all pre-offense activity locations; imprecision in filling missing data; overestimation of frequency for certain activity locations.,Not all pre-offense activity locations captured; missing data required imputation.,Police administrative data may not capture all relevant activity locations.,Reliability and relevance measures are proxies; frequency overestimation for certain activity locations.,Not mentioned.,"Findings likely generalize beyond included crimes, but further research is needed; the study supports generalizability across contexts.","Findings are based on New Zealand data, which may have unique characteristics; further testing is needed for other contexts.",The study does not compare across different contexts or time periods; future research should explore these aspects.
27,"(A. Chamberlain et al., 2022)",2022,1.36,0.13353890837021754,29,29,United States,Anglo-Saxon,Burglary,Block-based,4,2021-2025,TRUE,Block groups were chosen as the spatial unit of analysis because they are the smallest units available for meaningful sociodemographic data.,"""because these are the smallest unit available where meaningful sociodemographic data are available""",Data Availability,High (21-30),5,5,4,8,3,9,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Focus on small-scale urban planning using block groups as neighborhoods.,2,6,TRUE,FALSE,FALSE,TRUE,Reliance on arrest data with low clearance rates may lead to underestimation of burglars targeting distant locations.,"Lack of individual characteristics (race, criminal history), land use data, and residential/commercial target distinction.",Arrest data limited by low clearance rates.,No accounting for temporal variation in target attractiveness.,No consideration of temporal variation in target attractiveness.,"Findings may not generalize to other contexts or populations due to the specific focus on Tampa, Florida, and reliance on arrest data.","Findings are specific to the context of Tampa, Florida, and may not apply to other cities or regions.",Inability to account for different land uses or temporal variations limits comparisons across contexts or time periods.
28,"(Curtis-Ham et al., 2022a)",2022,1.41,0.14921911265537988,19,19,New Zealand,Other,Burglary,Statistical Area,4,2021-2025,TRUE,"SA2s were chosen for their comparability to units used in other studies and to balance theoretical relevance, spatial spill-over, spatial heterogeneity, and computational processing.","""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""",Practical Constraint,Medium (11-20),5,3,4,6,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use of SA2s as spatial units.,0,4,FALSE,FALSE,FALSE,FALSE,"The data is a sample of each offender's true population of activity locations, indicating potential issues with data completeness and reliability.","Not all family members' addresses are recorded, and employment and education records are rare.","Crime and victimization locations depend on police reporting, which may not be comprehensive.",Lack of association between certain nodes and crimes suggests measurement issues or limitations in how these variables were defined or measured.,Not mentioned.,The results are likely to generalize to low population density jurisdictions but may not apply to other contexts.,The findings are specific to New Zealand's low population density context.,"The study does not compare across different contexts or time periods, limiting its ability to generalize findings."
29,"(Song et al., 2019)",2019,1.62,0.20951501454263097,27,27,China,Other,Theft,Other,4,2016-2020,TRUE,"Census units were chosen for their similarity in size to previous studies, equal size, and homogeneity in population composition, aligning with theoretical and methodological considerations.","""because census units have a size similar to those in comparable studies, because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""",Theory-Method,High (21-30),4,3,0,12,4,8,TRUE,FALSE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Not explicitly mentioned.,1,5,TRUE,FALSE,FALSE,FALSE,Exclusion of cases due to lack of geographic detail.,Exclusion of February data due to Chinese Spring Festival.,Use of data from only one mobile phone network provider.,Exclusion of co-offending groups.,Analysis only on weekdays; ignoring temporal variation.,"The findings might be applicable to other countries, but this is tentative and requires further research.","The study is conducted in a specific Chinese context, which might not be directly comparable to other settings.",The study is limited to theft from the person and does not explore other types of crimes.
30,"(Long et al., 2021)",2021,1.62,0.20951501454263097,31,31,China,Other,Robbery,Neighborhood,4,2021-2025,TRUE,Communities are used as spatial units likely due to administrative relevance and data availability.,Not explicitly stated,Data Availability,Very High (>30),5,7,5,9,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,"The study uses community-level data, suggesting that future research should consider similar spatial scales for analyzing crime location choice.",0,4,FALSE,FALSE,FALSE,FALSE,"Only 7860 out of 11,455 arrest records had a home address in the city.",Random selection of one robber to represent multiple robbers in some cases.,Relies on arrest records from the ZG Municipal Public Security Bureau.,Use of mobile phone data to measure ambient population.,Data from 2012 to 2016.,The study's findings are specific to ZG City and may not generalize to other urban areas.,The study is conducted in a specific urban context in China with unique characteristics such as rapid urbanization.,The study does not provide a direct comparison with other cities or regions.
31,"(Long & Liu, 2021)",2021,1.62,0.20951501454263097,33,33,China,Other,Robbery,Neighborhood,4,2021-2025,TRUE,"The spatial units are neighborhoods, likely chosen due to data availability and administrative convenience.",NA,Not specified,Very High (>30),5,8,3,12,1,9,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Not explicitly mentioned.,0,4,FALSE,FALSE,FALSE,FALSE,Exclusion of data due to residence outside the study area or unknown residence.,Unavailability of data on family disruption and poverty.,Use of 'pinyin' codes for place names due to confidentiality agreements.,Potential oversimplification in measuring journey to crime distances.,Data limited to 2012-2016.,The study is specific to ZG City and may not be representative of other cities or countries.,Findings are specific to the context of ZG City and the Hukou system.,The study does not provide comparisons across different cities or regions.
32,"(Long & Liu, 2022)",2022,1.62,0.20951501454263097,18,18,China,Other,Robbery,Neighborhood,3,2021-2025,TRUE,"Neighborhood units used as spatial scale, but specific reasons not detailed.",Not specified,Not specified,Medium (11-20),5,4,2,5,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Not Specified,Not Specified,NA,0,3,FALSE,FALSE,FALSE,FALSE,Confidentiality of data may limit verification or sharing.,"Additional attributes of offenders (e.g., household registration, socioeconomic status) are not included.",Confidential data may restrict access or sharing.,Odds ratios in models are not as high as desired.,NA,Limited to a large Chinese city; may not generalize to other contexts or countries.,"Findings are specific to the Chinese context, particularly in terms of social disorganization and routine activity nodes.",Focus on street robbery in a specific Chinese context; not directly comparable to other crime types or contexts.
33,"(Long et al., 2018)",2018,1.62,0.20951501454263097,39,39,China,Other,Robbery,Neighborhood,3,2016-2020,TRUE,Administrative convenience and data availability,Not explicitly provided,Data Availability,Very High (>30),5,6,3,14,2,14,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Specified,Not Specified,Not explicitly mentioned.,1,4,TRUE,FALSE,FALSE,FALSE,Difficulty in accessing crime data in China.,Omission of un-arrested robbers.,Reliance on official police data.,None explicitly mentioned.,None mentioned.,Findings may not be fully generalizable to other contexts due to unique Chinese social structure and spatial form.,"Findings are specific to ZG City, China, and may not apply universally due to differences in social cohesion and policing strategies.","The study's context is specific to China, limiting comparisons with Western countries due to differences in social structure and policing."
34,"(Menting, 2018)",2018,1.68,0.22530928172586284,24,24,Netherlands,Other,Multiple/Mixed Crime Types,Postal Code,4,2016-2020,TRUE,"Four-digit postal code areas were chosen because they are familiar to residents and visitors, making them suitable for analyzing crime location choice.","""These postal codes are therefore well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""",Theory-Method,High (21-30),5,8,1,2,4,9,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Smaller spatial units may better fit theoretical models.,1,5,FALSE,FALSE,FALSE,TRUE,Not explicitly mentioned.,No data available to precisely map awareness spaces of individual offenders.,Use of four-digit postal codes may be too large for theoretical models.,Study did not include other types of criminal opportunity.,Not explicitly mentioned.,"Limited to three municipalities in the greater The Hague area in the Netherlands; may not be representative of other areas, especially rural ones.",Findings may not be applicable to rural areas.,"Mechanisms may differ between countries, indicating a potential limitation in comparative validity across different national contexts."
35,"(Curtis-Ham et al., 2022b)",2022,1.962,0.2926990030439297,14,14,New Zealand,Other,Burglary,Statistical Area,3,2021-2025,TRUE,"SA2s were chosen because they are comparable to units used in other crime location choice studies, indicating a basis in prior research and methodological consistency.","""SA2s are comparable to the units used in other crime location choice studies""",Prior Research,Medium (11-20),4,0,4,5,1,4,FALSE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use larger datasets with more variables and granular spatial units.,2,5,TRUE,TRUE,FALSE,FALSE,Results may only generalize to identified offenders; data from solved cases may not represent all offenders.,Not all activity nodes of all offenders are included.,Data only includes solved cases.,None explicitly mentioned.,None mentioned.,"The findings may only apply to offenders who have been identified and proceeded against, and are limited by a single data source and country.",The findings are specific to the New Zealand context.,The study does not provide direct comparisons across different contexts or time periods.
36,"(Townsley et al., 2015)",2015,2.04,0.3096301674258988,14,14,United Kingdom,Anglo-Saxon,Burglary,Statistical Area,4,2011-2015,TRUE,"Spatial units chosen based on equivalence in size of burglar population and number of targets for UK context, likely due to data availability and administrative convenience.","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (UK context - Super Output Areas)""",Data Availability,Medium (11-20),5,2,1,4,4,3,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use consolidated models for statistical comparisons across different environments.,1,5,TRUE,FALSE,FALSE,FALSE,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Birmingham, UK context due to differences in target densities and Super Output Area characteristics.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.
37,"(Kuralarasan & Bernasco, 2022)",2022,2.18,0.33845649360460484,20,20,India,Other,Theft,Administrative District,4,2021-2025,TRUE,Wards were used as they are comparable to units used in other crime location studies.,"""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere""",Prior Research,Medium (11-20),4,4,0,8,6,2,TRUE,FALSE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Analyze the impact of spatial units on findings systematically.,1,5,TRUE,FALSE,FALSE,FALSE,Police-recorded thefts grossly underestimate real numbers due to low reporting rates.,Data on snatching offenses only reflect a small fraction of actual offenses due to underreporting.,Police-recorded data may not accurately represent true crime situation.,Google Earth data do not differentiate facilities by size.,Study does not account for temporal variations in crime frequencies or location preferences.,High underreporting and potential selectivity jeopardize generalizations; findings may not be representative of all snatching incidents.,Findings are specific to Chennai City; need for replication in other contexts.,Need for replication in other contexts; operationalization of crime generators and attractors in non-western cultures is a challenge.
38,"(S. van Sleeuwen et al., 2021)",2021,2.63,0.41995574848975786,18,18,Netherlands,Other,Multiple/Mixed Crime Types,Neighborhood,3,2021-2025,TRUE,"Neighbourhoods were chosen due to spatial accuracy and data availability, aligning with the study's theoretical framework","Not explicitly quoted, but implied by spatial accuracy and data availability",Theory-Method,Medium (11-20),3,0,0,10,3,5,FALSE,FALSE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use detailed spatial scales such as neighborhoods to analyze crime patterns.,2,5,FALSE,TRUE,FALSE,TRUE,Uncertainty in recall accuracy from respondents' memory.,Small sample size of 71 offences.,"Data sourced from police register data, potentially not representative of broader offender population.",Retrospective survey with potential memory recall issues.,Tentative conclusions due to small sample size and potential selection bias.,Findings may not generalize to broader offender population or other regions.,Findings specific to minor offences and offenders in western Netherlands.,Limited to specific context; no comparison across different contexts or time periods.
39,"(Menting et al., 2020)",2020,2.63,0.41995574848975786,21,21,Netherlands,Other,Theft,Neighborhood,4,2016-2020,TRUE,"Neighbourhoods were chosen due to data availability from Statistics Netherlands and their homogeneous character, which aligns with the theoretical framework.","""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""",Theory-Method,High (21-30),5,5,2,5,4,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,The study suggests using more detailed spatial units to capture awareness spaces and travel paths.,2,6,TRUE,TRUE,FALSE,FALSE,Accuracy of reported information not always certain; difficulties in remembering details.,Online survey may not have captured all activity nodes; less important or less frequently visited nodes underreported.,Online survey limitations in capturing all relevant data.,Average visiting frequencies may not accurately reflect the time of the offence.,Concerns about accuracy of recalled information over a three-year period.,Limited to young adults and those known to the police; findings may not apply to all offenders.,Findings specific to young adult offenders in urban areas in the western part of the Netherlands.,No direct comparisons across different contexts or time periods.
40,"(Xiao et al., 2021)",2021,2.74,0.437750562820388,21,21,China,Other,Burglary,Neighborhood,4,2021-2025,TRUE,Communities were chosen due to their homogeneous population and consistency with other studies.,"""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""",Data Availability,High (21-30),5,5,4,4,3,5,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Consider the impact of physical and social barriers at various scales.,1,5,TRUE,FALSE,FALSE,FALSE,"Limited to arrested burglars, which may not represent all burglars.",Lack of direct income level data; substituted with indirect measures.,Temporal mismatch between census data (2010) and burglary data (2012-2016).,NA,Temporal mismatch affects social barrier and control variables.,The findings are specific to arrested burglars in ZG city and may not generalize to all burglars in the city or to other contexts.,"The study's findings are specific to the Chinese context, particularly the distinction between local residents and domestic migrant workers.","The study uses census data from 2010 for analysis of data from 2012 to 2016, introducing a temporal mismatch that limits comparisons across time periods."
41,"(Yue et al., 2023)",2023,2.81,0.4487063199050799,31,31,China,Other,Theft,Neighborhood,4,2021-2025,TRUE,Communities are used as spatial units likely due to their relevance for socioeconomic analysis and residence-crime proximity.,Not explicitly stated,Not specified,Very High (>30),5,2,2,20,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Focus on community-level analysis.,1,5,TRUE,FALSE,FALSE,FALSE,SVIs are static and cannot capture dynamic changes in on-street population.,"Small objects like broken windows, litter, and graffiti are not accounted for.",SVIs are limited by their static nature.,Uniform alternative set for offenders may not reflect individual preferences.,SVIs cannot capture temporal changes in on-street population.,"The findings are generally aligned with previous studies, but the study's focus on a specific city in China may limit generalizability to other contexts.","The study's findings are specific to the context of ZG city, and the use of Baidu Street View images may not be applicable in other regions where such data is not available or is less detailed.","The study does not compare across different cities or time periods, which could provide insights into how findings vary in different contexts."
42,"(Lammers et al., 2015)",2015,2.96,0.4712917110589386,23,23,Netherlands,Other,Multiple/Mixed Crime Types,Postal Code,4,2011-2015,TRUE,"Four-digit postal code areas are used because they are considered a familiar scale for individuals and match urbanization patterns, making them appropriate for studying crime location choices.","""A four-digit postal code area is a useful and plausible indication of the area people are expected to be familiar with when for instance living in or (regularly) visiting that area because 1) Dutch postal code areas are designed to have minimal travel restrictions for postal delivery services usually traveling on foot or bicycle, and 2) the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents.""",Theory-Method,High (21-30),5,3,6,7,2,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,The study suggests using larger areas to increase generalizability.,1,5,TRUE,FALSE,FALSE,FALSE,Detection bias due to reliance on cleared offense data.,Crimes committed outside the study area not accounted for.,"Limited to greater The Hague area, largely urban.",Four-digit postal code areas may be too large.,Not explicitly mentioned.,"Findings might not generalize to other regions, especially rural areas.",Findings are specific to the greater The Hague area.,No basis for comparison across different contexts or time periods.
43,"(Lammers, 2017)",2017,2.96,0.4712917110589386,26,26,Netherlands,Other,Burglary,Postal Code,4,2016-2020,TRUE,"Chosen due to design for minimal travel restrictions, making them practical and convenient for analysis.","""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b), it is plausible that those living in or frequently visiting such an area will be familiar with it.""",Data Availability,High (21-30),5,4,5,9,3,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Specified,Not Specified,Study larger areas to generalize findings.,0,4,FALSE,FALSE,FALSE,FALSE,Police arrest data may over-represent co-offending; data biased due to differences between arrested and non-arrested offenders.,Lack of data on non-arrested offenders; potential overestimation of shared awareness space.,Reliance on police arrest data; only includes cleared offenses.,Awareness space measured using only home and crime locations; misses other areas like work or school.,Study limited to crimes between 2006 and 2009.,"Limited to the greater The Hague region, which restricts generalizability to other areas.",Findings are specific to the greater The Hague region and may not apply elsewhere.,No direct comparisons across different contexts or time periods.
44,"(Menting et al., 2016)",2016,2.96,0.4712917110589386,31,31,Netherlands,Other,Multiple/Mixed Crime Types,Postal Code,4,2016-2020,TRUE,"The spatial units were chosen because they are familiar to residents and visitors, aligning with the study's focus on awareness spaces.","""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""",Theory-Method,Very High (>30),5,7,8,5,1,10,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Research should be conducted in larger geographical areas.,0,4,FALSE,FALSE,FALSE,FALSE,Indirect measurement of awareness spaces based on family visits.,No direct data on offenders' time spent in family members' areas.,Reliance on register data without direct activity measures.,Awareness spaces not directly measured.,No consideration of changes in awareness spaces over time.,Findings may not generalize to other geographical areas or populations due to the specific urban context.,Findings are specific to the urban context of The Hague.,The study does not allow for comparisons across different crime types or contexts.
45,"(S. E. M. van Sleeuwen et al., 2018)",2018,2.96,0.4712917110589386,27,27,Netherlands,Other,Multiple/Mixed Crime Types,Postal Code,4,2016-2020,TRUE,"Four-digit postal code areas were chosen because they are well-suited for crime location choice research, providing a practical and familiar scale for analysis.","""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle.""",Practical Constraint,High (21-30),5,3,5,1,5,13,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Not Specified,Specified,NA,2,6,TRUE,TRUE,FALSE,FALSE,Detection bias due to reliance on police data.,Data on nonarrested offenders.,Police data may not capture all crimes.,Assumption of learning from previous experiences not explicitly tested.,Potential issues with temporal resolution of crime timing.,The findings may not generalize to nonarrested offenders due to potential differences in the probability of arrest.,"The study's findings are based on data from the Netherlands, which may have specific cultural, legal, or environmental factors.",The study does not provide direct comparisons across different contexts or time periods.
46,"(Bernasco, 2010a)",2010,2.96,0.4712917110589386,30,30,Netherlands,Other,Multiple/Mixed Crime Types,Postal Code,4,2003-2010,TRUE,Postal code areas are used because they are a practical and data-rich scale that reflects local familiarity and travel patterns,"""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""",Data Availability,High (21-30),4,10,2,0,3,15,TRUE,TRUE,FALSE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Use more detailed data on activity patterns.,2,6,TRUE,TRUE,FALSE,FALSE,Missing information on past home addresses could lead to conservative estimates.,Residential histories for some offenders could only be reconstructed for the last 2 years; exclusions due to missing data on past addresses.,Reliable records of previous addresses are a strength but not common in other countries.,Use of postal code areas as a proxy for familiarity.,Data availability limited to 1994 onward.,Limited to the Netherlands; may not generalize to other countries or contexts.,Findings specific to the Netherlands.,No direct comparisons across contexts or time periods.
