Title,Variable,Source_Column,Study_Index
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Birth | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Death | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Nationality | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Marriage | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Divorce | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Childbirth | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Residential addresses | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Poverty level | Number,ECONOMIC VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Level of urbanization | Index,ECONOMIC VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Distance from home to crime location | Distance,DISTANCE & ACCESSIBILITY VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Home Hypothesis | Binary,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,History Hypothesis | Binary,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Recency Hypothesis | Binary,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Duration Hypothesis | Percentage,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Proximity Hypothesis | Distance,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Population Size | Number,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Percentage of Single-Person Households | Percentage,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Poverty Level | Number,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Level of Urbanization | Number,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Whether Offender Lives in the Area | Binary,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Whether Offender Has Lived in the Area Before | Binary,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Duration of Residence | Percentage,TEMPORAL & CONTROL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Time Since Moved Out of the Area | Binary,TEMPORAL & CONTROL VARIABLES,2
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of residents with a non-Western background | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of single-person households | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of residents with a non-Western background | Percentage,ECONOMIC VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of single-person households | Percentage,ECONOMIC VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Population density | Distance,ECONOMIC VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Number of employees | Number,ECONOMIC VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Presence of facilities | Number,ECONOMIC VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Facilities | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Euclidean distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Distance within same postal code area | Distance,DISTANCE & ACCESSIBILITY VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Accessibility based on distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Spatial boundaries | Number,DISTANCE & ACCESSIBILITY VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Transportation network accessibility | Distance,DISTANCE & ACCESSIBILITY VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location on same weekday | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location on different weekday | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location on same weekend day | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location on different weekend day | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location on different week part | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Previous crime location with a . . . hour difference | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Offender's current or former residence | Binary,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Distance from current residential area to the target area | Distance,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of residents with a non-Western background | Percentage,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Proportion of single-person households | Percentage,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Population density | Distance,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Number of employees | Number,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,Presence of facilities | Number,TEMPORAL & CONTROL VARIABLES,3
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,38 for same weekend day; OR = 25.77 for same weekend day with zero-hour difference. | Number,MAJOR FINDINGS & RESULTS,3
a_discrete_spatial_choice_model_of_burglary_target.pdf,Population size | Number,DEMOGRAPHIC & SOCIAL VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Age of burglars | Number,DEMOGRAPHIC & SOCIAL VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Gender of burglars | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Construction Type | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Central Heating and/or Air-Conditioning System | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Number of Floors | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Presence of Rooftop Living Floor | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Journey-to-crime distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Average journey-to-crime distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Shortest travel path | Distance,DISTANCE & ACCESSIBILITY VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Temporally optimized distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,4
a_discrete_spatial_choice_model_of_burglary_target.pdf,Date of Belgian Land Registry data | Number,TEMPORAL & CONTROL VARIABLES,4
Adolescent offenders' current whereabouts predict locations of their future crimes,Gender | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Ethnic background | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Age structure | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Educational level | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Educational Qualifications | Percentage,ECONOMIC VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Points of Interest | Number,ECONOMIC VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Catering Businesses | Binary,ECONOMIC VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Retail Businesses | Binary,ECONOMIC VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Schools | Binary,ECONOMIC VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Presence of catering businesses | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Presence of retail businesses | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Presence of schools | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Prior crime locations | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Radius of Gyration | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Distance from Activity Space | Distance,DISTANCE & ACCESSIBILITY VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Distance from Prior Crime | Distance,DISTANCE & ACCESSIBILITY VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Contiguity Order | Distance,DISTANCE & ACCESSIBILITY VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Day-of-week weighting | Number,TEMPORAL & CONTROL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Seasonal measurement period | Number,TEMPORAL & CONTROL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Time elapsed since interview | Number,TEMPORAL & CONTROL VARIABLES,5
Adolescent offenders' current whereabouts predict locations of their future crimes,Underreporting of crimes | Percentage,TEMPORAL & CONTROL VARIABLES,5
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Hukou status | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Proportion of migrants | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Proportion of youngsters | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Socioeconomic heterogeneity | Index,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Social cohesion | Index,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Collective efficacy | Index,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Types of housing | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,GDP | Number,ECONOMIC VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Annual Increase Rate | Percentage,ECONOMIC VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Economic Inequality | Number,ECONOMIC VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Proportion of Youngsters | Percentage,ECONOMIC VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Malls and supermarkets | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Grocers and terminal markets | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Bars and clubs | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Cybercafés and sports stadiums | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,High schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,ATMs and banks | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Car parks | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Surveillance cameras | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Ambient population | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Distance of Journey to Crime | Distance,DISTANCE & ACCESSIBILITY VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Density of Road Network | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Bus Stops | Distance,DISTANCE & ACCESSIBILITY VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Transportation Hubs | Distance,DISTANCE & ACCESSIBILITY VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Subway Stations | Distance,DISTANCE & ACCESSIBILITY VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Crime generators and attractors | Number,TEMPORAL & CONTROL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Density of road network | Percentage,TEMPORAL & CONTROL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Distance of journey to crime | Distance,TEMPORAL & CONTROL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Social disorganization | Percentage,TEMPORAL & CONTROL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,Logged distance of journey to crime | Distance,TEMPORAL & CONTROL VARIABLES,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,63 and a maximum VIF of 2.49. | Number,DATA PREPARATION & PROCESSING,6
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"264, Model 2 = 0.285, Model 3 = 0.283, Model 4 = 0.289 | Number",MODEL FIT & PERFORMANCE METRICS,6
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Gender | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Age | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Hukou Status | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Social Cohesion | Number,DEMOGRAPHIC & SOCIAL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Collective Efficacy | Number,DEMOGRAPHIC & SOCIAL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",GDP | Number,ECONOMIC VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Socioeconomic Heterogeneity | Index,ECONOMIC VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Amount of Lost Property or Money | Number,ECONOMIC VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",High schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Shopping malls | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Transportation hubs | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Bars and clubs | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Cybercafés | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Grocery stores | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Hotels | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Restaurants | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",ATMs | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Banks | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Subway stations | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Bus stations | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Surveillance cameras | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Daily human mobility | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Distance of Journey to Prior Robbery | Distance,DISTANCE & ACCESSIBILITY VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Distance of Journey to Subsequent Robbery | Distance,DISTANCE & ACCESSIBILITY VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Time Interval Between Two Robberies | Number,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Distance of Journey to Prior Robbery | Distance,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Not Arrested in the Act of Prior Robbery | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Distance of Journey to Subsequent Robbery | Distance,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Transportation Hubs | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Subway Stations | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Bus Stations | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Bars and Clubs | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Cybercafés | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Malls and Supermarkets | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",High Schools | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Surveillance Cameras | Binary,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Daily Human Mobility | Number,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",Socioeconomic Heterogeneity | Number,TEMPORAL & CONTROL VARIABLES,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","19, 0.23, 0.26 | Number",MODEL FIT & PERFORMANCE METRICS,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",000) | Number,MODEL FIT & PERFORMANCE METRICS,7
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",35 for not being arrested. | Number,MAJOR FINDINGS & RESULTS,7
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Population size | Number,DEMOGRAPHIC & SOCIAL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Collective efficacy | Index,DEMOGRAPHIC & SOCIAL VARIABLES,8
