Variable,Category,Notes
[Architectural_Features | Percentage,,
Hukou Status | Percentage,,
Idiosyncratic Farness | Number,,
Index of Multiple Deprivation (IMD) | Index,,
Indigenous Status | Binary,,
Informal Social Control | Number,,
Interaction Terms | Number,,
Intersections | Distance,,
Jewelry shops | Number,,
Jobs | Number,,
Journey-to-crime | Distance,,
Journey-to-crime distance | Distance,,
Journey-to-Crime Distance | Distance,,
Journey to crime | Distance,,
Jurisdictional Dummies | Binary,,
Labor-intensive industrial cluster | Number,,
Land Use - Population Density | Number,,
Land Use - Suburb Size | Distance,,
Land use and activities | Number,,
Laundromats | Number,,
Lawns | Number,,
Level of urbanization | Index,,
Level of Urbanization | Number,,
Likelihood of successful completion | Number,,
Limited social network overlap | Number,,
Liquor stores | Number,,
Location | Number,,
Logged distance of journey to crime | Distance,,
Low educational attainment | Percentage,,
Major Road | Binary,,
Major Roads | Binary,,
Major thoroughfares | Binary,,
Malls and Supermarkets | Binary,,
Malls and supermarkets | Number,,
Marital Status | Percentage,,
Markets | Number,,
Marriage | Percentage,,
Marriage halls | Percentage,,
Mean housing repayment | Number,,
Mean Income per Resident | Number,,
Mean population | Number,,
Mean value of residential property | Number,,
Median Distance | Distance,,
Median Home Value | Number,,
Median income | Number,,
Median Income | Number,,
Median Nearest Neighbor Distance | Distance,,
Median Residential Population | Number,,
Median Weekly Income Bracket | Number,,
"Medical facilities (hospitals, medical services) | Number",,
Middle schools | Number,,
Migration status | Percentage,,
Military Base | Binary,,
Mixed land-use | Binary,,
Mobile phone data | Number,,
Mobility of burglars | Number,,
Moran's I Statistic | Number,,
Movement Potential | Number,,
Nationality | Percentage,,
Natural log of the number of households | Number,,
Negative log of distance | Distance,,
Neighbourhood Boundaries | Number,,
Neighbourhood disorder | Index,,
Neighbourhood Proximity | Distance,,
Neighbourhood routinely visited at different time of day as crime event | Binary,,
Neighbourhood routinely visited at same time of day as crime event | Binary,,
Neighbourhoods of offenders' activity nodes | Number,,
Network Distance | Distance,,
Newer Buildings | Binary,,
Newer buildings | Number,,
Night Shops | Number,,
Nightclubs | Number,,
Non-residential census blocks | Number,,
Non-Western Background | Percentage,,
Normalization of Data | Number,,
Not Arrested in the Act of Prior Robbery | Binary,,
Number of bars/restaurants/hotels | Rate,,
Number of boundaries shared with public areas | Number,,
Number of business units for industries targeted in commercial robbery | Number,,
Number of business units for targeted industries | Number,,
Number of business units in any industry | Number,,
Number of business units in commercial industries | Number,,
Number of business units in commercial or public industries | Number,,
Number of business units in industry categories | Number,,
Number of cars parked on a parking lot | Number,,
Number of commercial or public business units | Number,,
"Number of Culture, Health-Care, and Sports/Leisure Facilities | Number",,
Number of dwellings | Number,,
Number of employees | Number,,
Number of escape routes | Number,,
Number of Floors | Number,,
Number of Hotels Restaurants Bars | Number,,
"Number of hotels, restaurants, and bars | Number",,
"Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number",,
Number of households | Number,,
Number of Households | Number,,
Number of households in a community | Number,,
Number of households in SA2 | Number,,
Number of households in the SA2 | Number,,
Number of past residential burglaries | Number,,
Number of people on the street | Number,,
Number of people working | Number,,
Number of People Working | Number,,
Number of PIRA members | Number,,
Number of potential targets | Number,,
Number of premises per SA2 | Number,,
Number of Properties | Percentage,,
Number of properties in a neighbourhood | Number,,
Number of Residential Properties | Number,,
Number of residential units | Number,,
Number of Residential Units | Number,,
Number of residential units in postal code areas | Number,,
Number of Residents | Number,,
Number of residents with a non-Western ethnic background | Number,,
Number of retail stores | Number,,
Number of Retail Stores | Number,,
Number of Schools | Number,,
Number of single-person households | Number,,
Number_of_Employees | Number,,
Offender's current or former residence | Binary,,
Offender Residence-Crime Proximity | Distance,,
Old urban areas and urban villages | Number,,
Opportunity | Number,,
Opportunity measures | Number,,
Opportunity Variables | Number,,
P.CARE.PH | Number,,
Parks | Binary,,
Parks | Number,,
Past residential burglary rate | Rate,,
Pawn shops | Number,,
"Pawnshops, currency exchange, and check-cashing services | Number",,
Pedestrian-oriented street density | Distance,,
Pedestrian-Oriented Street Density | Distance,,
Pedestrian Travel Time | Number,,
People Working | Number,,
Percent Black Residents | Percentage,,
Percent Latino Residents | Percentage,,
Percent lowly-rent houses | Percentage,,
Percent migrants | Percentage,,
Percent Occupied Housing Units | Percentage,,
Percentage of Black Residents | Percentage,,
Percentage of Latino Residents | Percentage,,
Percentage of Occupied Units | Percentage,,
Percentage of owner-occupied dwellings | Percentage,,
Percentage of Owner-Occupied Properties | Percentage,,
Percentage of Residents Below Poverty | Percentage,,
Percentage of single-family dwellings | Percentage,,
Percentage of single-person households | Percentage,,
Percentage of Single-Person Households | Percentage,,
Percentage of Unemployed | Percentage,,
"Personal care facilities (barbershops, beauty parlors) | Number",,
Physical accessibility | Percentage,,
Physical Barriers - Major Roads | Binary,,
Physical Barriers - Swan River | Binary,,
Physical Barriers | Number,,
Physical disorder | Number,,
Physical Disorder | Number,,
Plants | Percentage,,
POI data | Number,,
Points of Interest | Number,,
Police Station | Binary,,
Population (log) | Number,,
Population | Number,,
Population Churn Rates | Rate,,
Population density | Distance,,
Population Density | Distance,,
Population density | Number,,
Population Density | Number,,
Population Distribution | Percentage,,
Population percentages of 15-25-year-old | Percentage,,
"Population percentages of 15-25-year-old, foreign-born, and single residents | Percentage",,
Population size | Number,,
Population Size | Number,,
Population turnover | Number,,
Population Turnover | Number,,
Population turnover | Percentage,,
Population Turnover | Percentage,,
Population Turnover | Rate,,
Postal code area characteristics | Number,,
Postal Code Areas | Number,,
Potential Customer Density | Distance,,
Poverty | Percentage,,
Poverty level | Number,,
Poverty Level | Number,,
Presence of activity nodes in SA2 | Binary,,
Presence of Bars | Binary,,
Presence of Bus Stations | Binary,,
Presence of business | Binary,,
Presence of catering businesses | Binary,,
Presence of El stations | Binary,,
Presence of facilities | Number,,
Presence of High Schools | Binary,,
Presence of high schools | Number,,
Presence of illegal cash economies | Binary,,
Presence of illegal cash economies | Number,,
Presence of illegal markets | Number,,
Presence of legal cash economies | Binary,,
Presence of legal cash economies | Number,,
Presence of locks and escape routes | Number,,
Presence of Night Shops | Binary,,
Presence of Nightclubs | Binary,,
Presence of Restaurants | Binary,,
Presence of retail and entertainment businesses | Number,,
Presence of Retail and Entertainment Businesses | Number,,
Presence of retail businesses | Binary,,
Presence of Rooftop Living Floor | Binary,,
Presence of schools | Binary,,
Presence of Schools | Binary,,
Presence of Schools | Number,,
Presence of Train Stations | Binary,,
Presence of Trees | Binary,,
Presence of underground station | Binary,,
Previous crime location | Binary,,
Previous Crime Location | Binary,,
Previous Crime Location | Number,,
Previous crime location on different week part | Binary,,
Previous crime location on different weekday | Binary,,
Previous crime location on different weekend day | Binary,,
Previous crime location on same weekday | Binary,,
Previous crime location on same weekend day | Binary,,
Previous crime location with a . . . hour difference | Binary,,
Previous Home Location | Percentage,,
Primary schools | Number,,
Prior burglary in neighborhood | Binary,,
Prior crime locations | Binary,,
Prior crimes | Number,,
Prior Offenses | Number,,
Property at end of row | Binary,,
Property setback from street | Binary,,
Propinquity | Distance,,
Proportion of buildings built after 2000 | Percentage,,
Proportion of foreigners | Percentage,,
Proportion of high-rise buildings | Percentage,,
Proportion of high-rise residential buildings | Percentage,,
Proportion of houses built after 2000 | Percentage,,
Proportion of local residents with ZG city Hukou status | Percentage,,
Proportion of migrants | Percentage,,
Proportion of newcomers | Percentage,,
Proportion of non-locals | Percentage,,
Proportion of Non-Western Residents | Percentage,,
Proportion of residents with a non-western background | Percentage,,
Proportion of residents with a non-Western background | Percentage,,
Proportion of Residents with a Non-Western Background | Percentage,,
Proportion of residents with a non-Western ethnic background | Percentage,,
Proportion of Residents with a Non-Western Ethnic Background | Percentage,,
Proportion of single-family dwellings | Percentage,,
Proportion of Single-Family Dwellings | Percentage,,
Proportion of single-person households | Percentage,,
Proportion of Single-Person Households | Percentage,,
Proportion of young adults | Percentage,,
Proportion of youngsters | Percentage,,
Proportion of Youngsters | Percentage,,
Proportion rental units | Percentage,,
Prostitution markets | Number,,
Proximity | Distance,,
Proximity Hypothesis | Distance,,
Proximity to Activity Nodes | Binary,,
Proximity to Burglar's Home | Distance,,
Proximity to CBD | Distance,,
Proximity to Central Business District | Distance,,
Proximity to city center | Distance,,
Proximity to City Center | Distance,,
Proximity to City Centre | Distance,,
Proximity to El Stations | Binary,,
Proximity to Offender's Home | Distance,,
Proximity to Residential Area | Binary,,
Pseudo-R 2 | Number,,
Public facilities in the central business district | Percentage,,
Public transport usage | Percentage,,
Racial and Ethnic Background | Percentage,,
Racial and ethnic background of offenders | Binary,,
Racial and ethnic composition | Percentage,,
Racial and Ethnic Composition | Percentage,,
Racial and ethnic composition of the population | Binary,,
Racial and ethnic dissimilarity | Number,,
Racial and ethnic segregation | Binary,,
Racial Composition | Percentage,,
Racial/ethnic composition | Binary,,
Racial/Ethnic Composition | Number,,
Racial/Ethnic Heterogeneity | Index,,
Racial/Ethnic Heterogeneity | Number,,
Radius of Gyration | Percentage,,
Random Sampling | Number,,
Random Utility Model | Number,,
Real Estate Value | Percentage,,
Real Estate Value of Residences | Index,,
Recency Hypothesis | Binary,,
Recency of Prior Crimes | Number,,
Recency Variables | Binary,,
Recognition as strangers | Binary,,
Relative Mobility | Percentage,,
"Religious facilities (temples, churches, mosques) | Percentage",,
"Rent categories (no rent, low, medium, high) | Binary",,
Rental Status | Binary,,
Rental Units | Percentage,,
Residence-crime proximity | Distance,,
Residences | Number,,
Residential addresses | Percentage,,
Residential Area Variables | Percentage,,
Residential Churn | Index,,
Residential density | Distance,,
Residential Density | Distance,,
Residential Instability | Number,,
Residential mobility | Index,,
Residential Mobility | Number,,
Residential mobility | Percentage,,
Residential Mobility | Percentage,,
Residential Mobility | Rate,,
Residential Mobility Rates | Rate,,
Residential Population Density | Distance,,
Residential population density | Percentage,,
Residential Real Estate Value | Number,,
Residential segregation | Percentage,,
Residential Stability | Index,,
Residential Stability | Percentage,,
Residential units' visible cues | Number,,
Residential Units | Number,,
Restaurants | Number,,
"Restaurants, fast-food outlets, and food stands | Number",,
Retail activities | Number,,
Retail Businesses | Binary,,
Retail businesses | Percentage,,
Retail Centers | Number,,
Retail employment | Density,,
Retail stores | Number,,
Retail Stores | Number,,
River | Binary,,
River as barrier | Binary,,
River Thames | Number,,
Road Network Configuration | Percentage,,
Road network data | Distance,,
Road Structure | Rate,,
Robust Standard Errors | Number,,
Routine activities | Number,,
Routine Activities | Number,,
Routine activity nodes | Number,,
Routine Activity Nodes | Number,,
Schools | Binary,,
Schools | Number,,
Seasonal measurement period | Number,,
Seemingly Unrelated Estimation | Number,,
Selection of weekdays | Number,,
Series of Models | Number,,
Sex | Binary,,
Sex of offenders | Number,,
Shared Awareness Space | Percentage,,
Shopping | Number,,
Shopping Centers | Number,,
Shopping malls | Number,,
Shops facing the street | Number,,
Shortest travel path | Distance,,
Sidewalks | Percentage,,
Single-Parent Households | Percentage,,
Single-Person Households | Percentage,,
Single residents | Percentage,,
Social Barriers | Index,,
Social Barriers | Number,,
Social barriers based on Hukou status | Binary,,
Social cohesion | Index,,
Social Cohesion | Index,,
Social cohesion | Number,,
Social Cohesion | Number,,
Social cohesion and collective efficacy | Number,,
Social Control | Number,,
Social Disorder | Number,,
Social Disorganization | Index,,
Social Disorganization | Number,,
Social disorganization | Percentage,,
Social Trust | Number,,
Socially organized areas | Number,,
Socio-Economic Index for Areas (SEIFA) | Index,,
Socioeconomic heterogeneity | Index,,
Socioeconomic Heterogeneity | Index,,
Socioeconomic Heterogeneity | Number,,
Solo Crime Rate | Rate,,
Spatial boundaries | Number,,
Spatial Competition | Percentage,,
Spatial competition variable | Number,,
Spatial Competition Variable | Number,,
Spatial Lag | Binary,,
Spatial Lag Operator | Number,,
Spatial Lags | Distance,,
Spatial Lags | Number,,
Spatial Unit | Number,,
Sport and leisure facilities | Number,,
Sports activities | Number,,
Sports and leisure facilities | Number,,
Sports stadiums | Number,,
Street permeability | Number,,
Street Segment Type | Binary,,
Street Segments | Number,,
Streetlights | Number,,
Structural elements | Number,,
Subway Stations | Binary,,
Subway Stations | Distance,,
Subway stations | Number,,
Subway Stations | Number,,
Supermarkets | Number,,
Surveillability | Distance,,
Surveillance Cameras | Binary,,
Surveillance cameras | Number,,
SWEBER (spatially weighted burglar exposition rate) | Rate,,
T ij | Binary,,
Target Vulnerability | Percentage,,
Temporal Categories | Number,,
Temporal Filter | Number,,
Temporally optimized distance | Distance,,
Territoriality | Number,,
Thames River barrier | Binary,,
Through Movement | Number,,
Time-of-day effects | Binary,,
Time | Number,,
Time and Place of Incident | Number,,
Time elapsed since interview | Number,,
Time Interval Between Two Robberies | Number,,
Time of day | Binary,,
Time of Day | Number,,
Time of Offense | Number,,
Time Since Moved Out of the Area | Binary,,
Total number of business units | Number,,
Total number of households | Number,,
Total Number of Households | Number,,
Total number of residents | Number,,
Total number of residents in the census block | Number,,
Total Population | Number,,
Total Residential Units | Distance,,
Traffic road network vector map data | Number,,
Train Stations | Binary,,
Train stations | Number,,
Trams and Buses | Number,,
Transit Stations | Number,,
Transport hubs | Number,,
Transport Hubs | Number,,
Transportation Hubs | Binary,,
Transportation Hubs | Distance,,
Transportation hubs | Number,,
Transportation network accessibility | Distance,,
Travel Restrictions | Number,,
Trees | Number,,
Type of Street Segment | Binary,,
Types of housing | Binary,,
u 26 | Distance,,
u 27 | Distance,,
u 30 | Distance,,
u30 | Distance,,
u66 | Density,,
Underreporting of crimes | Percentage,,
Unit of Analysis | Number,,
Urban nature of the study area | Number,,
Vehicular Travel Time | Number,,
Victim Suburb Weekly Income | Number,,
Visiting frequency | Rate,,
W ij | Binary,,
Wald Tests | Number,,
Walls | Percentage,,
Ward Area | Percentage,,
Ward Population | Number,,
Wealth | Distance,,
Whether Offender Has Lived in the Area Before | Binary,,
Whether Offender Lives in the Area | Binary,,
Wholesale markets | Number,,
Windows | Percentage,,
Year dummies | Binary,,
