Variable,Frequency,Studies,Source_Columns
Schools | Number,13,11,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
08 (full model) and 2.34 (restricted sample). | Number,1,1,MAJOR FINDINGS & RESULTS
114. | Number,1,1,MAJOR FINDINGS & RESULTS
"13. A 10-unit increase in ethnic heterogeneity increases the odds by a factor of 1.15. A 1-kilometer decrease in distance from the offender's home increases the odds by a factor of 1.67. A 1,000-unit increase in residential units increases the odds by a factor of 1.35. | Distance",1,1,MAJOR FINDINGS & RESULTS
"147), sports stadiums (OR=0.816), transportation hubs (OR=1.052), subway stations (OR=1.038). | Number",1,1,MAJOR FINDINGS & RESULTS
"19, 0.23, 0.26 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
2%; each unit increase in pedestrian-oriented street density increases group crime rate by 2.8%. | Percentage,1,1,MAJOR FINDINGS & RESULTS
22 to 235 times more likely to offend near certain activity nodes. | Number,1,1,MAJOR FINDINGS & RESULTS
25 for both models | Number,1,1,MODEL FIT & PERFORMANCE METRICS
"25, 0.30 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
"264, Model 2 = 0.285, Model 3 = 0.283, Model 4 = 0.289 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
27 to 0.36. | Number,1,1,MODEL FIT & PERFORMANCE METRICS
"3 to 28.4 (× 10 -4 ), indicating better fit than CL and null models. | Number",1,1,MODEL FIT & PERFORMANCE METRICS
"304, Model 2 = 0.479, Model 3 = 0.490 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
35 and 0.42 | Number,1,1,MODEL FIT & PERFORMANCE METRICS
35 for not being arrested. | Number,1,1,MAJOR FINDINGS & RESULTS
38 for same weekend day; OR = 25.77 for same weekend day with zero-hour difference. | Number,1,1,MAJOR FINDINGS & RESULTS
"4%, hospitals by 13.5%, non-locals by 19.8%. | Percentage",1,1,MAJOR FINDINGS & RESULTS
"48 and 4.45, respectively. | Number",1,1,MODEL FIT & PERFORMANCE METRICS
"48), ease of escape (OR = 1.61), accessibility (OR = 1.46). | Distance",1,1,MAJOR FINDINGS & RESULTS
5% of addresses; could not identify offenders across multiple robberies. | Percentage,1,1,DATA PREPARATION & PROCESSING
"6 for same LSOA within 2 days, 3.6 for same MSOA within 2 days; distance from residence decreases odds by 42% per kilometer. | Percentage",1,1,MAJOR FINDINGS & RESULTS
6 million | Number,1,1,STUDY CONTEXT & GEOGRAPHY
"6; OR for very frequently visited nodes = 7,845.3. | Number",1,1,MAJOR FINDINGS & RESULTS
"61 for distance, e  = 1.77 for major roads, e  = 13.78 for military bases or police stations. | Distance",1,1,MAJOR FINDINGS & RESULTS
63 and a maximum VIF of 2.49. | Number,1,1,DATA PREPARATION & PROCESSING
"67 (The Hague), 1.90 (Birmingham), 1.21 (Brisbane); for single-family dwellings: 1.19 (The Hague), 1.12 (Birmingham), 1.13 (Brisbane); for number of households: 1.34 (The Hague), 1.76 (Birmingham), 1.47 (Brisbane). | Number",1,1,MAJOR FINDINGS & RESULTS
"7 for one offender's current home, 44.05 for two/three offenders' current home, 3.01 for one offender's previous home, 4.8 for one offender's previous crime location. | Number",1,1,MAJOR FINDINGS & RESULTS
"70), number of residential units (1.05), proportion of single-family dwellings (1.06), number of past residential burglaries (1.16), past residential burglary rate (1.79). | Percentage",1,1,MAJOR FINDINGS & RESULTS
"87, Model 2 = 17446.9 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
"88), former familial residential areas (OR = 1.37). | Number",1,1,MAJOR FINDINGS & RESULTS
91 for juveniles and 2.77 for adults; native Dutch burglars decrease choice probability by a factor of 0.92 for ethnically mixed areas. | Number,1,1,MAJOR FINDINGS & RESULTS
"958km^2. Spatial knowledge moderates the relationship between social contexts and physical disorder, particularly in places different from residential spaces. | Rate",1,1,SCALE EFFECTS & SPATIAL FINDINGS
993 for Model 2 | Number,1,1,MODEL FIT & PERFORMANCE METRICS
A i/J i | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility | Binary,1,1,ECONOMIC VARIABLES
Accessibility Along Main Streets | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility based on distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility Measure | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility of a block | Binary,1,1,ECONOMIC VARIABLES
Accessibility of the location | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility: Block on main street | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessibility: Block with El station | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Accessible residential properties | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Activity Level | Number,1,1,ECONOMIC VARIABLES
Activity Nodes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Activity spaces | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Affluence Measures | Number,1,1,TEMPORAL & CONTROL VARIABLES
Affluence Measures | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Age | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age Composition | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age Distribution | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age group | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
"Age groups (juvenile, young adult, adult) | Percentage",1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age of burglars | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age structure | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Age structure of offenders | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ambient Guardianship | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Amount of Lost Property or Money | Number,1,1,ECONOMIC VARIABLES
Annual Increase Rate | Percentage,1,1,ECONOMIC VARIABLES
Anonymity | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Area Characteristics | Number,1,1,TEMPORAL & CONTROL VARIABLES
Arrest data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Attractive Targets | Number,1,1,TEMPORAL & CONTROL VARIABLES
Auto-oriented street density | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Auto-Oriented Street Density | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Automatic teller machines (ATMs) | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Availability of potential targets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Average Crime Trip Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Average Distance Replacement | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Average Distance Traveled | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Average house price | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Average journey-to-crime distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Average length of street segments | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Average population per ward | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Average population size | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Average real estate value of residential units | Percentage,1,1,ECONOMIC VARIABLES
Average Residential Real Estate Value | Percentage,1,1,ECONOMIC VARIABLES
Average Value of Properties | Number,1,1,ECONOMIC VARIABLES
Average Value of Residential Properties | Percentage,1,1,ECONOMIC VARIABLES
Barber shops and beauty salons | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Barriers (e.g., wide rivers) | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bars and Clubs | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Bars and taverns | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Bars, clubs, coffeeshops, and smartshops | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bars/nightlife | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Basic stores | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Betweenness | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Birth | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Birthplace | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Block population | Number,1,1,ECONOMIC VARIABLES
Bridges | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Broken Windows | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Building Type | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Building Type | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Buildings along the street | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bus Stations | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Bus stations | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bus stop data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Bus Stops | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Business density | Binary,1,1,ECONOMIC VARIABLES
Carparks | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Cash-intensive businesses (check-cashing outlets, ATMs, pawn shops, bars) | Number",1,1,ECONOMIC VARIABLES
Catering Businesses | Binary,1,1,ECONOMIC VARIABLES
CCTV cameras | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Census Data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Centering of Distance Measures | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Central Heating and/or Air-Conditioning System | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Check-cashing outlets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Childbirth | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Cinemas | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
City Center Proximity | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
City Centers | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Clearance rate of theft from the person | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Closeness Centrality | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Commercial interfaces | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Community categorization by majority population type (local, domestic migrant, mixed) | Binary",1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Concentrated Disadvantage | Percentage,1,1,ECONOMIC VARIABLES
Concentrated Disadvantage | Rate,1,1,TEMPORAL & CONTROL VARIABLES
Concentrated Disadvantage Index | Rate,1,1,ECONOMIC VARIABLES
Concentric zone model | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Connectivity via major roads | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Connectors - Train Network | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
